,title,geolocation is used,gelocation as hospital,geolocation as continent,gelocation as country,geolocation as area
68,Detection of Basal Cell Carcinoma in Whole Slide Images,0,0,0,0,0
69,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,1,1,0,0,0
70,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,1,1,0,0,0
71,DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation,0,0,0,0,0
72,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,0,0,0,0,0
73,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,1,1,0,0,0
74,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,0,0,0,0,0
75,Diffusion-Based Data Augmentation for Nuclei Image Segmentation,0,0,0,0,0
76,DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,0,0,0,0,0
77,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,1,1,0,0,0
78,Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,0,0,0,0,0
79,Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,0,0,0,0,0
80,DULDA: Dual-Domain Unsupervised Learned Descent Algorithm for PET Image Reconstruction,0,0,0,0,0
81,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,0,0,0,0,0
82,Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,0,0,0,0,0
83,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,0,0,0,0,0
84,Efficient Subclass Segmentation in Medical Images,0,0,0,0,0
85,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,0,0,0,0,0
86,Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,0,0,0,0,0
87,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,0,0,0,0,0
88,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,0,0,0,0,0
89,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,1,1,0,0,0
90,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,0,0,0,0,0
91,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,0,0,0,0,0
92,Exploring Unsupervised Cell Recognition with Prior Self-activation Maps,0,0,0,0,0
93,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,0,0,0,0,0
94,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,0,0,0,0,0
95,Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,0,0,0,0,0
96,Fast Reconstruction for Deep Learning PET Head Motion Correction,0,0,0,0,0
97,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,0,0,0,0,0
98,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,0,0,0,0,0
99,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,0,0,0,0,0
100,FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,0,0,0,0,0
101,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,0,0,0,0,0
102,FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,1,0,0,0,0
103,Gall Bladder Cancer Detection from US Images with only Image Level Labels,0,0,0,0,0
104,Gene-Induced Multimodal Pre-training for Image-Omic Classification,0,0,0,0,0
105,Geometric Ultrasound Localization Microscopy,0,0,0,0,0
106,Geometry-Invariant Abnormality Detection,0,0,0,0,0
107,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,0,0,0,0,0
108,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,0,0,0,0,0
109,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,0,0,0,0,0
110,HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation,0,0,0,0,0
111,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,0,0,0,0,0
112,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,0,0,0,0,0
113,Histopathology Image Classification Using Deep Manifold Contrastive Learning,1,1,0,0,0
114,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,0,0,0,0,0
115,Imitation Learning from Expert Video Data for Dissection Trajectory Prediction in Endoscopic Surgical Procedure,1,1,0,0,0
116,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,1,1,0,0,0
117,Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,0,0,0,0,0
118,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,0,0,0,0,0
119,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,1,1,0,0,0
120,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,0,0,0,0,0
121,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,0,0,0,0,0
122,Intraoperative CT Augmentation for Needle-Based Liver Interventions,0,0,0,0,0
123,InverseSR: 3D Brain MRI Super-Resolution Using a Latent Diffusion Model,0,0,0,0,0
124,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,1,1,0,1,1
125,"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",0,0,0,0,0
126,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,0,0,0,0,0
127,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,0,0,0,0,0
128,Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality,0,0,0,0,0
129,Learning Expected Appearances for Intraoperative Registration During Neurosurgery,0,0,0,0,0
130,Learning Reliability of Multi modality Medical Images for Tumor Segmentation via Evidence Identified Denoising Diffusion Probabilistic Models,0,0,0,0,0
131,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,0,0,0,0,0
132,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,0,0,0,0,0
133,Learning with Synthesized Data for Generalizable Lesion Detection in Real PET Images,0,0,0,0,0
134,LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,0,0,0,0,0
135,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,0,0,0,0,0
136,Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,0,0,0,0,0
137,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,0,0,0,0,0
138,Low-Dose CT Image Super-Resolution Network with Dual-Guidance Feature Distillation and Dual-Path Content Communication,0,0,0,0,0
139,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,0,0,0,0,0
140,M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,0,0,0,0,0
141,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,0,0,0,0,0
142,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,0,0,0,0,0
143,Maximum-Entropy Estimation of Joint Relaxation-Diffusion Distribution Using Multi-TE Diffusion MRI,0,0,0,0,0
144,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,0,0,0,0,0
145,Medical Boundary Diffusion Model for Skin Lesion Segmentation,0,0,0,0,0
146,MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,0,0,0,0,0
147,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,0,0,0,0,0
148,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,0,0,0,0,0
149,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,0,0,0,0,0
150,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,0,0,0,0,0
151,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,1,1,0,0,0
152,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,0,0,0,0,0
153,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,1,1,0,0,0
154,Multi-Head Multi-Loss Model Calibration,0,0,0,0,0
155,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,0,0,0,0,0
156,Multi-scale Prototypical Transformer for Whole Slide Image Classification,0,0,0,0,0
157,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,0,0,0,0,0
158,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,0,0,0,0,0
159,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,0,0,0,0,0
160,Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,0,0,0,0,0
161,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,0,0,0,0,0
162,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,0,0,0,0,0
163,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,0,0,0,0,0
164,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,1,1,0,0,0
165,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,0,0,0,0,0
166,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,0,0,0,0,0
167,Non-iterative Coarse-to-Fine Transformer Networks for Joint Affine and Deformable Image Registration,0,0,0,0,0
168,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,0,0,0,0,0
169,Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,0,0,0,0,0
170,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,0,0,0,0,0
171,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,1,1,0,0,0
172,Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,0,0,0,0,0
173,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,0,0,0,0,0
174,Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,0,0,0,0,0
175,Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,1,1,0,0,0
176,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,0,0,0,0,0
177,Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,0,0,0,0,0
178,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,0,0,0,0,0
179,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,0,0,0,0,0
180,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,1,1,0,0,0
181,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,0,0,0,0,0
182,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,0,0,0,0,0
183,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,0,0,0,0,0
184,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,0,0,0,0,0
185,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,0,0,0,0,0
186,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,0,0,0,0,0
187,QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,0,0,0,0,0
188,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,1,1,0,1,0
189,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,0,0,0,0,0
190,Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras,0,0,0,0,0
191,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,0,0,0,0,0
192,Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,0,0,0,0,0
193,Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,0,0,0,0,0
194,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,0,0,0,0,0
195,Revisiting Feature Propagation and Aggregation in Polyp Segmentation,0,0,0,0,0
196,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,0,0,0,0,0
197,Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,1,1,0,0,0
198,Robust T-Loss for Medical Image Segmentation,0,0,0,0,0
199,S2^2ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,0,0,0,0,0
200,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,0,0,0,0,0
201,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,0,0,0,0,0
202,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,0,0,0,0,0
203,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,0,0,0,0,0
204,Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,1,1,0,0,0
205,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,0,0,0,0,0
206,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,0,0,0,0,0
207,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,0,0,0,0,0
208,Self-supervised Learning for Endoscopic Video Analysis,0,0,0,0,0
209,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,0,0,0,0,0
210,Self-supervised Polyp Re-identification in Colonoscopy,0,0,0,0,0
211,Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,0,0,0,0,0
212,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,0,0,0,0,0
213,SFusion: Self-attention Based N-to-One Multimodal Fusion Block,0,0,0,0,0
214,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,0,0,0,0,0
215,SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,0,0,0,0,0
216,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,0,0,0,0,0
217,Simulation of Arbitrary Level Contrast Dose in MRI Using an Iterative Global Transformer Model,0,0,0,0,0
218,Single-subject Multi-contrast MRI Super-resolution via Implicit Neural Representations,0,0,0,0,0
219,Skin Lesion Correspondence Localization in Total Body Photography,0,0,0,0,0
220,SLPD: Slide-Level Prototypical Distillation for WSIs,0,0,0,0,0
221,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,1,1,0,0,0
222,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,1,1,0,0,0
223,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,1,1,0,0,0
224,StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble,0,0,0,0,0
225,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,0,0,0,0,0
226,Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,0,0,0,0,0
227,Structured State Space Models for Multiple Instance Learning in Digital Pathology,0,0,0,0,0
228,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,0,0,0,0,0
229,Surgical Video Captioning with Mutual-Modal Concept Alignment,1,1,0,0,0
230,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,0,0,0,0,0
231,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,0,0,0,0,0
232,Synthetic Augmentation with Large-Scale Unconditional Pre-training,0,0,0,0,0
233,Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,0,0,0,0,0
234,Text-Guided Foundation Model Adaptation for Pathological Image Classification,0,0,0,0,0
235,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,0,0,0,0,0
236,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,1,1,0,0,0
237,Topology-Preserving Computed Tomography Super-Resolution Based on Dual-Stream Diffusion Model,0,0,0,0,0
238,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,1,1,0,0,0
239,Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,0,0,0,0,0
240,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,0,0,0,0,0
241,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,0,0,0,0,0
242,Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,0,0,0,0,0
243,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,0,0,0,0,0
244,TractCloud: Registration-Free Tractography Parcellation with a Novel Local-Global Streamline Point Cloud Representation,0,0,0,0,0
245,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,0,0,0,0,0
246,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,1,1,0,0,0
247,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,0,0,0,0,0
248,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,0,0,0,0,0
249,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,0,0,0,0,0
250,Understanding Silent Failures in Medical Image Classification,1,1,0,0,0
251,Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,1,1,0,1,1
252,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,0,0,0,0,0
253,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,0,0,0,0,0
254,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,0,0,0,0,0
255,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,0,0,0,0,0
256,VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation,0,0,0,0,0
257,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,0,0,0,0,0
258,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,0,0,0,0,0
259,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,0,0,0,0,0
260,What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,0,0,0,0,0
261,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,0,0,0,0,0
262,YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,0,0,0,0,0
