title,header_no,header_title,text,volume
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,2.3,Segmentation and Classification Branches/Tasks,"the segmentation branch in fig. 1 outputs dense mask predictions of bus tumors.
it consists of four up blocks, each with three convolutional layers and one
upsampling layer (with size (2, 2) and stride (2, 2)). the settings of the
convolutional layers are adopted from [3]. in addition, the blocks receive four
skip connections from the mt-estan encoder, i.e., there is a skip connection
from each mt-estan block 1 to 4. the classification branch consists of three
dense layers, a dropout layer (50%), and the final dense layer that predicts the
tumor class into benign or malignant.",4
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,2.4,Loss Function,"we applied a multitask loss function (l mt ) that aggregates two terms: a focal
loss l f ocal for the classification task and dice loss l dice for the
segmentation task. therefore, the composite loss function is l mt = w 1 • l f
ocal + l dice , where the weight coefficient w 1 is set to apply greater
importance to the classification task as the primary task. since in medical
image diagnosis achieving high sensitivity places emphasis on the detection of
malignant lesions, we employed the focal loss for the classification task to
trade off between sensitivity and specificity. because malignant tumors are more
challenging to detect due to greater differences in margin, shape, and
appearance in bus images, focal loss forces the model to focus more on difficult
predictions. specifically, focal loss adds a factor (1 -p i ) γ to the
cross-entropy loss where γ is a focusing parameter, resulting inin the
formulation, α is a weighting coefficient, n denotes the number of image
samples, t i is the target label of the i th training sample, and p i denotes
the prediction. the segmentation loss is calculated using the commonly-employed
dice loss (l dice ) function.",4
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,3.1,Datasets,"we evaluated the performance of hybrid-mt-estan using four public datasets, hmss
[9], busi [10], busis [20], and dataset b [6]. we combined all four datasets to
build a large and diverse dataset with a total of 3,320 b-mode bus images, of
which 1,664 contain benign tumors and 1,656 have malignant tumors. table 1 shows
the detailed information for each dataset. hmss dataset does not provide the
segmentation ground-truth masks, and for this study we arranged with a group of
experienced radiologists to prepare the masks for hmss. refer to the original
publications of the datasets for more details.",4
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,4.0,Conclusion,"in this paper, we introduced the hybrid-mt-estan, a multitask learning approach
for bus image analysis that alleviates the lack of global contextual
infor-mation in the low-level layers of cnn-based approaches. hybrid-mt-estan
concurrently performs bus tumor classification and segmentation, with a hybrid
architecture that employs cnn-based and swin transformer layers. the proposed
approach exploits multi-scale local patterns and global long-range dependencies
provided by mt-esta and aaa transformer blocks for learning feature
representations, resulting in improved generalization. experimental validation
demonstrated significant performance improvement by hybrid-mt-estan in
comparison to current state-of-the-art models for bus classification.",4
SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,1.0,Introduction,"medical image segmentation is a core step for quantitative and precision
medicine. in the past decade, convolutional neural networks (cnns) became the
sota method to achieve accurate and fast medical image segmentation [10,12,21].
nn-unet [12], which is based on unet [21], has achieved top performances on over
20 medical segmentation challenges. parallel to manually created networks such
as nn-unet, dints [10], a cnn designed by automated neural network search, also
achieved top performances in medical segmentation decathlon (msd) [1]
challenges. the convolution operation in cnn provides a strong inductive bias
which is translational equivalent and efficient in capturing local features like
boundary and texture. however, this inductive bias limits the representation
power of cnn models which means a potentially lower performance ceiling on more
challenging tasks [7]. additionally, cnn has a local receptive field and are not
able to capture long-range dependencies unlike transformers. recently, vision
transformers have been proposed, which adopt the transformers in natural
language processing by splitting images into patches (tokens) [6], and use
self-attention to learn features. the self-attention mechanism enables learning
longrange dependencies between far-away tokens. this is intriguing and numerous
works have been proposed to incorporate transformer attentions into medical
image segmentation [2,3,9,23,24,30,32,35]. among them, swinunetr [23] has
achieved the new top performance in the msd challenge and beyond the cranial
vault (btcv) segmentation challenge by pretraining on large datasets. it has a
u-shaped structure where the encoder is a swin-transformer [16].although
transformers have achieved certain success in medical imaging, the lack of
inductive bias makes them harder to be trained and requires much more training
data to avoid overfitting. the self-attentions are good at learning complicated
relational interactions for high-level concepts [5] but are also observed to be
ignoring local feature details [5]. unlike natural image segmentation
benchmarks, e.g. ade20k [34], where the challenge is in learning complex
relationships and scene understanding from a large amount of labeled training
images, many medical image segmentation networks need to be extremely focused on
local boundary details while less in need of highlevel relationships. moreover,
the number of training data is also limited. hence in real clinical studies and
challenges, cnns can still achieve better results than transformers. for
example, the top solutions in the last year miccai challenges hector [19], flare
[11], instance [15,22] and amos [13] are all cnn based. besides lacking
inductive bias and enough training data, one extra reason could be that
transformers are computationally much expensive and harder to tune. more
improvements and empirical evidence are needed before we say transformers are
ready to replace cnns for medical image segmentation.in this paper, we try to
develop a new ""to-go"" transformer for 3d medical image segmentation, which is
expected to exhibit strong performance under different data situations and does
not require extensive hyperparameter tuning. swinunetr reaches top performances
on several large benchmarks, making itself the current sota, but without
effective pretraining and excessive tuning, its performance on new datasets and
challenges is not as high-performing as expected.a straightforward direction to
improve transformers is to combine the merits of both convolutions and
self-attentions. many methods have been proposed and most of them fall into two
directions: 1) a new self-attention scheme to have convolutionlike properties
[5,7,16,25,26,29]. swin-transformer [16] is a typical work in the first
direction. it uses a local window instead of the whole image to perform
self-attention. although the basic operation is still self-attention, the local
window and relative position embedding give self-attention a conv-like local
receptive field and less computation cost. another line in 1) is changing the
self-attention operation directly. coatnet [5] unifies convolution and
self-attention with relative attention, while convit [7] uses gated positional
self-attention which is equipped with a soft convolutional inductive bias. works
in the second direction 2) employs both convolution and self-attention in the
network [3,4,8,20,27,28,30,31,33,35]. for the works in this direction, we
sum-marize them into three major categories as shown in fig. 1: 2.a) dual branch
feature fusion. mobileformer [4], conformer [20], and transfuse [33] use a cnn
branch and a transformer branch in parallel to fuse the features, thus the local
details and global features are learned separately and fused altogether.
however, this doubles the computation cost. another line of works 2.b) focuses
on the bottleneck design. the low-level features are extracted by convolution
blocks and the bottleneck is the transformer, like the transunet [3], cotr [30]
and transbts [27]. the third direction 2.c) is a new block containing both
convolution and self-attention. moat [31] removes the mlp in self-attention and
uses a mobile convolution block at the front. the moat block is then used as the
basic block in building the network. cvt [28] uses convolution as the embedding
layer for key, value, and query. nnformer [35] replaces the patch merging with
convolution with stride. although those works showed strong performances, which
works best and can be the ""to go"" transformer for 3d medical image segmentation
is still unknown. for this purpose, we design the swinunetr-v2, which improves
the current sota swi-nunetr by introducing stage-wise convolutions into the
backbone. our network belongs to the second category, which employs convolution
and self-attention directly. at each resolution level, we add a residual
convolution (resconv) block at the beginning, and the output is then used as
input to the swin transformer blocks (contains a swin block and a shifted window
swin block). moat [31] and cvt [28] add convolution before self-attention as a
micro-level building block, and nnformer has a similar design that uses
convolution with stride to replace the patch merging layer for downsampling.
differently, our work only adds a resconv block at the beginning of each stage,
which is a macro-network level design. it is used to regularize the features for
the following transformers. although simple, we found it surprisingly effective
for 3d medical image segmentation. the network is evaluated extensively on a
variety of benchmarks and achieved top performances on the word [17], flare2021
[18], msd prostate, msd lung cancer, and msd pancreas cancer datasets [1].
compared to the original swin-unetr which needs extensive recipe tuning on a new
dataset, we utilized the same training recipe with minimum changes across all
benchmarks, showcasing the straightforward applicability of swinunetr-v2 to
reach state-of-the-art without extensive hyperparameter tuning or pretraining.
we also experimented with four design variations inspired by existing works to
justify the swinunetr-v2 design.",4
SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,3.0,Experiments,"we use extensive experiments to show its effectiveness and justify its design
for 3d medical image segmentation. to make fair comparisons with baselines, we
did not use any pre-trained weights.datasets. the network is validated on five
datasets of different sizes, targets and modalities:1) the word dataset [17] the
challenge comes from segmenting small tumors from large full 3d ct images. the
pancreas dataset contains 281 3d ct scans with annotated pancreas and tumors (or
cysts). the challenge is from the large label imbalances between the background,
pancreas, and tumor structures. for all three msd tasks, we perform 5-fold
crossvalidation with 70%/10%/20% train, validation, and test splits. these 20%
test data will not overlap with other folds and cover all data by 5 folds.",4
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,1.0,Introduction,"breast cancer is the most common cause of cancer-related deaths among women all
around the world [8]. early diagnosis and treatment is beneficial to improve the
survival rate and prognosis of breast cancer patients. mammography,
ultrasonography, and magnetic resonance imaging (mri) are routine imaging
modalities for breast examinations [15]. recent clinical studies have proven
that dynamic contrast-enhanced (dce)-mri has the capability to reflect tumor
morphology, texture, and kinetic heterogeneity [14], and is with the highest
sensitivity for breast cancer screening and diagnosis among current clinical
imaging modalities [17]. the basis for dce-mri is a dynamic t1-weighted contrast
enhanced sequence (fig. 1). t1-weighted acquisition depicts enhancing
abnormalities after contrast material administration, that is, the cancer
screening is performed by using the post-contrast images. radiologists will
analyze features such as texture, morphology, and then make the treatment plan
or prognosis assessment. computer-aided feature quantification and diagnosis
algorithms have recently been exploited to facilitate radiologists analyze
breast dce-mri [12,22], in which automatic cancer segmentation is the very first
and important step.to better support the radiologists with breast cancer
diagnosis, various segmentation algorithms have been developed [20]. early
studies focused on image processing based approaches by conducting graph-cut
segmentation [29] or analyzing low-level hand-crafted features [1,11,19]. these
methods may encounter the issue of high computational complexity when analyzing
volumetric data, and most of them require manual interactions. recently,
deep-learning-based methods have been applied to analyze breast mri. zhang et
al. [28] proposed a mask-guided hierarchical learning framework for breast tumor
segmentation via convolutional neural networks (cnns), in which breast masks
were also required to train one of cnns. this framework achieved a mean dice
value of 72% on 48 testing t1-weighted scans. li et al. [16] developed a
multi-stream fusion mechanism to analyze t1/t2-weighted scans, and obtained a
dice result of 77% on 313 subjects. gao et al. [7] proposed a 2d cnn
architecture with designed attention modules, and got a dice result of 81% on 87
testing samples. zhou et al. [30] employed a 3d affinity learning based
multi-branch ensemble network for the segmentation refinement and generated 78%
dice on 90 testing subjects. wang et al. [24] integrated a combined 2d and 3d
cnn and a contextual pyramid into u-net to obtain a dice result of 76% on 90
subjects. wang et al. [25] proposed a tumor-sensitive synthesis module to reduce
false segmentation and obtained 78% dice value. to reduce the huge annotation
burden for the segmentation task, zeng et al. [27] presented a semi-supervised
strategy to segment the manually cropped dce-mri scans, and attained a dice
value of 78%.although [27] has been proposed to alleviate the annotation effort,
to acquire the voxel-level segmentation masks is still time-consuming and
laborious, see fig. 1(c). weakly-supervised learning strategies such as extreme
points [5,21], bounding box [6] and scribbles [4] can be promising solutions.
roth et al. [21] utilized extreme points to generate scribbles to supervise the
training of the segmentation network. based on [21], dorent et al. [5]
introduced a regularized loss [4] derived from a conditional random field (crf)
formulation to encourage the prediction consistency over homogeneous regions. du
et al. [6] employed bounding boxes to train the segmentation network for organs.
however, the geometric prior used in [6] can not be an appropriate strategy for
the segmentation of lesions with various shapes. to our knowledge, currently
only one weakly-supervised work [18] has been proposed for breast mass
segmentation in dce-mri. this method employed three partial annotation methods
including single-slice, orthogonal-slice (i.e., 3 slices) and interval-slice (∼6
slices) to alleviate the annotation cost, and then constrained segmentation by
estimated volume using the partial annotation. the method obtained a dice value
of 83% using the interval-slice annotation, on a testing dataset containing only
28 patients.in this study, we propose a simple yet effective weakly-supervised
strategy, by using extreme points as annotations (see fig. 1(d)) to segment
breast cancer. specifically, we attempt to optimize the segmentation network via
the conventional trainfine-tuneretrain process. the initial training is
supervised by a contrastive loss to pull close positive voxels in feature space.
the fine-tune is conducted by using a similarity-aware propagation learning
(simple) strategy to update the pseudo-masks for the subsequent retrain. we
evaluate our method on a collected dce-mri dataset containing 206 subjects.
experimental results show our method achieves competitive performance compared
with fully supervision, demonstrating the efficacy of the proposed simple
strategy.",4
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,2.0,Method,"the proposed simple strategy and the trainfine-tuneretrain procedure is
illustrated in fig. 2. the extreme points are defined as the left-, right-,
anterior-, posterior-, inferior-, and superior-most points of the cancerous
region in 3d. the initial pseudo-masks are generated according to the extreme
points by using the random walker algorithm. the segmentation network is firstly
trained based on the initial pseudo-masks. then simple is employed to fine-tune
the network and update the pseudo-masks. at last, the network is retrained from
random initialization using the updated pseudo-masks.",4
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,2.1,Generate Initial Pseudo-masks,"we use the extreme points to generate pseudo-masks based on random walker
algorithm [9]. to improve the performance of random walker, according to [21],
we first generate scribbles by searching the shortest path on gradient magnitude
map between each extreme point pair via the dijkstra algorithm [3]. after
generating the scribbles, we propose to dilate them to increase foreground seeds
for random walker. voxels outside the bounding box (note that once we have the
six extreme points, we have the 3d bounding box of the cancer) are expected to
be the background seeds. next, the random walker algorithm is used to produce a
foreground probability map y :where ω is the spatial domain. to further increase
the area of foreground, the voxel at location k is considered as new foreground
seed if y (k) is greater than 0.8 and new background seed if y (k) is less than
0.1. then we run the random walker algorithm repeatedly. after seven times
iterations, we set foreground in the same way via the last output probability
map. voxels outside the bounding box are considered as background. the rest of
voxels remain unlabeled. this is the way initial pseudo-masks y init : ω ⊂ r 3 →
{0, 1, 2} generated, where 0, 1 and 2 represent negative, positive and
unlabeled.",4
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,3.0,Experiments,"dataset. we evaluated our method on an in-house breast dce-mri dataset collected
from the cancer center of sun yat-sen university. in total, we collected 206
dce-mri scans with biopsy-proven breast cancers. all mri scans were examined
with 1.5t mri scanner. the dce-mri sequences (tr/te = 4.43 ms/1.50 ms, and flip
angle = 10 • ) using gadolinium-based contrast agent were performed with the
t1-weighted gradient echo technique, and injected 0.2 ml/kg intravenously at 2.0
ml/s followed by 20 ml saline. the dce-mri volumes have two kinds of resolution,
0.379×0.379×1.700 mm 3 and 0.511×0.511×1.000 mm 3 .all cancerous regions and
extreme points were manually annotated by an experienced radiologist via
itk-snap [26] and further confirmed by another radiologist. we randomly divided
the dataset into 21 scans for training and the remaining scans for testing 1 .
before training, we resampled all volumes into the same target spacing
0.600×0.600×1.000 mm 3 and normalized all volumes as zero mean and unit
variance.implementation details. the framework was implemented in pytorch, using
a nvidia geforce gtx 1080 ti with 11gb of memory. we employed 3d unet [2] as our
network backbone.• train: the network was trained by stochastic gradient descent
(sgd) for 200 epochs, with an initial learning rate η = 0.01. the ploy learning
policy was used to adjust the learning rate, (1epoch/200) 0.9 . the batch size
was 2, consisting of a random foreground patch and a random background patch
located via initial segmentation y init . such setting can help alleviate class
imbalance issue. the patch size was 128 × 128 × 96. for the contrastive loss, we
set n = 100, temperature parameter τ = 0.1. • fine-tune: we initialized the
network with the trained weights. we trained it by sgd for 100 iterations, with
η = 0.0001. the ploy learning policy was also used. for the simple strategy, we
set n = 100, λ = 0.96, α = 0.96, w = 0.1. quantitative and qualitative analysis.
we first verified the efficacy of our simple in the training stage. figure 3
illustrates the pseudo-masks at different training stages. it is obvious that
our simple effectively updated the pseudomasks to make them approaching the
ground-truths. therefore, such fune-tuned pseudo-masks could be used to retrain
the network for better performance. 1 reports the quantitative dice, jaccard,
average surface distance (asd), and hausdorff distance (95hd) results of
different methods. we compared our method with an end-to-end approach [4] that
proposed to optimize network via crf-regularized loss l crf . although our l ctr
supervised method outcompeted l crf [4], the networks trained only using the
initial pseudo-masks could not achieve enough high accuracy (dice values<70%).
in contrast, the proposed simple largely boosted the performance of the
basically trained networks, by +14.74% dice and +15.16% jaccard (v.s. l crf ),
+11.81% dice and +12.65% jaccard (v.s. l ctr ). table 1 also shows the
comparison results of three general weakly-supervised strategies, including
entropy minimization [10], mean teacher [23], and bounding box [13]. our method
consistently outperformed these strategies with respect to all evaluation
metrics. furthermore, our method achieved competitive dice results compared with
fully supervision, which again proves the efficacy of the proposed simple
strategy. note that the average annotation time for extreme points and full
masks were 31 s and 95 s per scan, respectively. figure 5 visualizes the 3d
distance map between the segmented surface and ground-truth. it can be observed
that our simple consistently enhanced the segmentation.",4
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,4.0,Conclusion,"we introduce a simple yet effective weakly-supervised learning method for breast
cancer segmentation in dce-mri. the primary attribute is to fully exploit the
simple trainfine-tuneretrain process to optimize the segmentation network via
only extreme point annotations. this is achieved by employing a similarityaware
propagation learning (simple) strategy to update the pseudo-masks. experimental
results demonstrate the efficacy of the proposed simple strategy for
weakly-supervised segmentation.",4
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,1.0,Introduction,"accurate and robust classification and segmentation of the medical image are
powerful tools to inform diagnostic schemes. in clinical practice, the
image-level classification and pixel-wise segmentation tasks are not independent
[8,27]. joint classification and segmentation can not only provide clinicians
with results for both tasks simultaneously, but also extract valuable
information and improve performance. however, improving the reliability and
interpretability of medical image analysis is still reaching.considering the
close correlation between the classification and segmentation, many researchers
[6,8,20,22,24,27,28] proposed to collaboratively analyze the two tasks with the
help of sharing model parameters or task interacting. most of the methods are
based on sharing model parameters, which improves the performance by fully
utilizing the supervision from multiple tasks [8,27]. for example, thomas et al.
[20] combined whole image classification and segmentation of skin cancer using a
shared encoder. task interacting is also a widely used method [12,24,28] as it
can introduce the high-level features and results produced by one task to
benignly guide another. however, there has been relatively little research on
introducing reliability into joint classification and segmentation. the
reliability and interpretability of the model are particularly important for
clinical tasks, a single result of the most likely hypothesis without any clues
about how to make the decision might lead to misdiagnoses and sub-optimal
treatment [10,22]. one potential way of improving reliability is to introduce
uncertainty for the medical image analysis model.the current uncertainty
estimation method can roughly include the dropoutbased [11], ensemble-based
[4,18,19], deterministic-based methods [21] and evidential deep learning
[5,16,23,30,31]. all of these methods are widely utilized in classification and
segmentation applications for medical image analysis. abdar et al. [1] employed
three uncertainty quantification methods (monte carlo dropout, ensemble mc
dropout, and deep ensemble) simultaneously to deal with uncertainty estimation
during skin cancer image classification. zou et al. [31] proposed tbrats based
on evidential deep learning to generate robust segmentation results for brain
tumor and reliable uncertainty estimations. unlike the aforementioned methods,
which only focus on uncertainty in either medical image classification or
segmentation. furthermore, none of the existing methods have considered how
pixel-wise and image-level uncertainty can help improve performance and
reliability in mutual learning.based on the analysis presented above, we design
a novel uncertaintyinformed mutual learning (uml) network for medical image
analysis in this study. our uml not only enhances the image-level and pixel-wise
reliability of medical image classification and segmentation, but also leverages
mutual learning under uncertainty to improve performance. specifically, we adopt
evidential deep learning [16,31] to simultaneously estimate the uncertainty of
both to estimate image-level and pixel-wise uncertainty. we introduce an
uncertainty navigator for segmentation (un) to generate preliminary segmentation
results, taking into account the uncertainty of mutual learning features. we
also propose an uncer- tainty instructor for classification (ui) to screen
reliable masks for classification based on the preliminary segmentation results.
our uml represents pioneering work in introducing reliability and
interpretability to joint classification and segmentation, which has the
potential to the development of more trusted medical analysis tools1 .",4
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,3.0,Experiments,"dataset and implementation. we evaluate the our uml network on two datasets
refuge [14] and ispy-1 [13]. refuge contains two tasks, classification of
glaucoma and segmentation of optic disc/cup in fundus images. the overall 1200
images were equally divided for training, validation, and testing. all images
are uniformly adjusted to 256 × 256 px. the tasks of ispy-1 are the pcr
prediction and the breast tumor segmentation. a total of 157 patients who suffer
the breast cancer are considered -43 achieve pcr and 114 non-pcr.for each case,
we cut out the slices in the 3d image and totally got 1,570 2d images, which are
randomly divided into the train, validation, and test datasets with 1,230, 170,
and 170 slices, respectively. we implement the proposed method via pytorch and
train it on nvidia geforce rtx 2080ti. the adam optimizer is adopted to update
the overall parameters with an initial learning rate 0.0001 for 100 epochs. the
scale of the regularizer is set as 1 × 10 -5 . we choose vgg-16 and res2net as
the encoders for classification and segmentation, separately.compared methods
and metrics. we compared our method with singletask methods and multi-task
methods. (1) single-task methods: (a) ec [17], (b) tbrats [31] and (c) transunet
[2]. evidential deep learning for classification (ec) first proposed to
parameterize classification probabilities as dirichlet distributions to explain
evidence. tbrats then extended ec to medical image segmentation. meriting both
transformers and u-net, transunet is a strong model for medical image
segmentation. (2) multi-task methods: (d) bcs [25] and (e) dsi [28]. the
baseline of the joint classification and segmentation framework (bcs) is a
simple but useful way to share model parameters, which utilize two different
encoders and decoders for learning respectively. the deep synergistic
interaction network (dsi) has demonstrated superior performance in joint task.
we adopt overall accuracy (acc) and f1 score (f1) as the evaluation criteria for
the classification task. dice score (di) and average symmetric surface distance
(assd) are chosen for the segmentation task. comparison under noisy data. to
further valid the reliability of our model, we introduce gaussian noise with
various levels of standard deviations (σ) to the input medical images. the
comparison results are shown in table 2. as can be observed that, the accuracy
of classification and segmentation significantly decreases after adding noise to
the raw data. however, benefiting from the uncertainty-informed guiding, our uml
consistently deliver impressive results. in fig. 3, we show the output of our
model under the noise. it is obvious that both the image-level uncertainty and
the pixel-wise uncertainty respond reasonably well to noise. these experimental
results can verify the reliability and interpre of the uncertainty guided
interaction between the classification and segmentation in the proposed uml. the
results of more qualitative comparisons can be found in the supplementary
material.ablation study. as illustrated in table 3, both of the proposed un and
ui play important roles in trusted mutual learning. the baseline method is
bcs.md represents the mutual feature decoder. it is clear that the performance
of classification and segmentation is significantly improved when we introduce
supervision of mutual features. as we thought, the introduction of un and ui
takes the reliability of the model to a higher level.",4
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,1.0,Introduction,"medical image segmentation is always a critical task as it can be used for
disease diagnosis, treatment planning, and anomaly monitoring. weakly supervised
semantic segmentation attracts significant attention from medical image
community since it greatly reduces the cost of dense pixel-wise labeling to get
segmentation mask. in wsss, the training labels are usually easier and faster to
obtain, like image-level tags, bounding boxes, scribbles, or point annotations.
this work only focuses on wsss with image-level tags, like whether a tumor
presents or not. in this field, previous wsss works [10,14] are dominated by
class activation map (cam) [25] and its variants [4,18,21], which was firstly
introduced as a tool to visualize saliency maps when making a class
prediction.meanwhile, denoising diffusion models [6,9] demonstrate superior
performance in image synthesis than other generative models. also, there are
several works exploring the application of diffusion models to semantic
segmentation in natural images [2,8]and medical images [15,[22][23][24]. to the
best of our knowledge, wolleb et al. [22] is the only work that introduces
diffusion models to pixel-wise anomaly detection with only classification
labels. they achieve this by utilizing an external classifier trained with
image-level annotations to guide the reverse markov chain. by passing the
gradient of the classifier, the diffusion model gradually removes the anomaly
areas during the denoising process and then obtains the anomaly map by comparing
the reconstructed and original images however, this approach is based on the
hypothesis that the classifier can accurately locate the target objects and that
the background is not changed when removing the noise. this assumption does not
always hold, especially when the distribution of positive images is diverse, and
the reconstruction error can also be accumulated after hundreds of steps. as
shown in fig. 1, the reconstructed images guided by the gradient of non-kidney
not only remove the kidney area but also change the content in the background.
another limitation of this method is the long inference time required for a
single image, as hundreds of iterations are needed to restore the image to its
original noise level. in contrast, cam approaches need only one inference to get
the saliency maps. therefore, there is ample room for improvement in using
diffusion models for wsss task. in this work, we propose a novel wsss framework
with conditional diffusion models (cdm) as we observe that the predicted noises
on different condition show difference. instead of completely removing the
noises from images, we calculate the derivative of the predicted noise after a
few stages with respect to conditions so that the related objects are
highlighted in the gradient map with less background misidentified. as the
output of diffusion model is not differentiable with respect to the discrete
condition input, we adopt the finite difference method, i.e., perturbing the
condition embedding by a small amplitude and logging the change of the output
with ddim [19] generative process. in addition, our method does not require the
full reverse denoising process for the noised images and may only need one or a
few iterations. thus the inference time of our method is comparable to that of
cam-based approaches. we evaluate our methods on two different tasks, brain
tumor segmentation and kidney segmentation, and provide the quantitative results
of both cam based and diffusion model based methods as comparison. our approach
achieves state-of-the-art performance on both datasets, demonstrating the
effectiveness of the proposed framework. we also conduct extensive ablation
studies to analyze the impact of various components in our framework and provide
reasoning for each design.",4
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,2.1,Training Conditional Denoising Diffusion Models,"suppose that we have a sample x 0 from distribution d(x|y), and y is the
condition. the condition y can be various, like different modality [20],
inpainting [3] and low resolution images [17]. in this work, y ∈ {y 0 , y 1 }
indicates the binary classification label, like brain ct scans without tumor vs.
with tumor. we then gradually add guassian noise to the original image sample
with different level t ∈ {0, 1, ..., t } aswith fixed variance {β 1 , β 2 , ...,
β t }, x t can be explicitly expressed by x 0 ,where α t := 1β t , ᾱt := t s=1 α
s . then a conditional u-net [16] θ (x, t, y) is trained to approximate the
reverse denoising process,the variance μ σ can be learnable parameters or a
fixed set of scalars, and both settings achieve comparable results in [9]. as
for the mean, after reparameterization with x t = √ ᾱt x 0 + √ 1ᾱt for ∼ n (0,
i), the loss function can be simplified as:as for how to infuse binary condition
y in the u-net, we follow the strategy in [6], using a embedding projection
function e = f (y), f ∈ r → r n , with n being the embedding dimension. then the
condition embedding is added to feature maps in different blocks. after training
the denoising model, tashiro et al. [3] proved that the network can yield the
desired conditional distribution d(x|y) given condition y.algorithm 1.
generation of wsss prediction mask using differentiate conditional model with
ddim sampling input: input image x with label y 1 , noise level q, inference
stage r, noise predictor θ , τ output: prediction mask of label y 1 for all t
from 1 to q do) end for return a",4
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,3.0,Experiments and Results,"brain tumor segmentation. brats (brain tumor segmentation challenge) [1]
contains 2,000 cases of 3d brain scans, each of which includes four different
mri modalities as well as tumor segmentation ground truth. in this work, we only
use the flair channel and treat all types of tumor as one single class. we
divide the official training set into 9:1 for training and validation purpose,
and evaluate our method on the official validation set. for preprocessing, we
slice each volume into 2d images, following the setting in [5]. then the total
number of slices in training set is 193,905, and we report metrics on the 5802
positive samples in the test set kidney segmentation. this task is conducted on
dataset from isbi 2019 chaos challenge [12], which contains 20 volumes of
t2-spir mr abdominal scans. chaos provides pixel-wise annotation for several
organs, but we focus on the kidney. we split the 20 volumes into four folds for
cross-validation, and then decompose 3d volumes to 2d slices in every fold. in
the test stage, we remove slices with area of interest taking up less than 5% of
the total area in the slice, in order to avoid the influence of extreme cases on
the average results.only classification labels are used during training the
diffusion models, and segmentation masks are used for evaluation in the test
stage. for both datasets, we repeat the evaluation protocols for four times and
report the average metrics and their standard deviation on test set.",4
