,age_,gender_,geolocation_,social factors,etnicity_,bias_,fairness_,fairness,concerns
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,0,0,0,0,0,0,1,0,0
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,0,0,0,0,0,0,1,0,1
Exploring Unsupervised Cell Recognition with Prior Self-activation Maps,1,0,0,0,0,1,0,0,1
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,0,0,0,0,0,1,1,0,1
Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,0,0,0,0,0,0,0,0,1
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,0,0,0,0,0,0,0,0,1
Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,0,0,0,0,0,0,0,0,1
Fast Reconstruction for Deep Learning PET Head Motion Correction,1,0,1,0,0,0,0,0,1
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,1,0,1,0,0,0,1,0,1
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,1,0,0,0,0,0,1,0,1
FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,1,0,1,0,0,0,0,0,1
FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,1,0,0,0,0,1,0,0,1
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,1,0,1,0,0,0,0,0,1
Gall Bladder Cancer Detection from US Images with only Image Level Labels,1,0,1,0,0,0,0,0,1
Gene-Induced Multimodal Pre-training for Image-Omic Classification,1,0,0,0,0,0,1,0,1
Geometric Ultrasound Localization Microscopy,0,0,0,0,0,0,1,0,1
Geometry-Invariant Abnormality Detection,1,0,0,0,0,0,1,1,1
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,0,0,0,0,0,0,0,0,1
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,0,0,0,0,0,0,0,0,1
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,0,0,0,0,0,0,1,0,1
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,1,0,1,0,0,0,1,0,1
HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,0,0,0,0,0,0,0,0,1
HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation,1,0,0,0,0,0,1,0,1
Histopathology Image Classification Using Deep Manifold Contrastive Learning,1,0,1,0,0,0,1,0,1
IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,1,0,0,0,0,0,0,0,1
Imitation Learning from Expert Video Data for Dissection Trajectory Prediction in Endoscopic Surgical Procedure,0,0,1,0,0,0,0,0,1
Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,1,0,1,0,0,0,0,0,0
Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,1,1,1,0,1,1,1,0,1
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,1,0,1,0,0,0,1,1,0
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,0,0,1,0,0,1,0,0,1
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,1,0,0,0,0,0,1,0,1
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,0,0,1,0,0,0,0,0,1
Intraoperative CT Augmentation for Needle-Based Liver Interventions,1,0,1,0,0,0,0,0,1
InverseSR: 3D Brain MRI Super-Resolution Using a Latent Diffusion Model,1,1,0,0,0,0,0,0,1
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,0,0,1,0,0,0,1,0,1
"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",0,0,0,0,0,0,1,0,0
Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,1,0,0,0,0,0,1,0,1
Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,1,0,0,0,0,0,1,0,1
Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality,0,0,0,0,0,1,1,0,1
Learning Expected Appearances for Intraoperative Registration During Neurosurgery,1,0,0,0,0,1,1,0,1
Learning Reliability of Multi modality Medical Images for Tumor Segmentation via Evidence Identified Denoising Diffusion Probabilistic Models,1,0,1,0,0,0,1,0,0
Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,1,0,1,0,0,1,1,0,1
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,1,0,0,0,0,0,0,0,1
Learning with Synthesized Data for Generalizable Lesion Detection in Real PET Images,1,0,1,0,0,0,1,0,1
LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,1,0,1,0,0,0,0,0,1
Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,1,0,0,0,0,1,0,0,1
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,1,0,0,0,0,1,0,0,1
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,0,0,1,0,0,0,0,0,1
Low-Dose CT Image Super-Resolution Network with Dual-Guidance Feature Distillation and Dual-Path Content Communication,1,0,0,0,0,0,1,0,1
M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,0,0,1,0,0,0,0,0,1
M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,1,0,0,0,0,0,0,0,1
MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,1,0,0,0,0,1,1,0,1
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,1,0,1,0,0,0,1,0,1
MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,1,0,1,0,0,0,1,0,0
Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,1,1,1,0,0,0,1,0,1
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,1,0,1,0,0,0,1,0,1
Maximum-Entropy Estimation of Joint Relaxation-Diffusion Distribution Using Multi-TE Diffusion MRI,0,0,0,0,0,1,0,0,1
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,1,0,0,0,0,1,0,0,1
Medical Boundary Diffusion Model for Skin Lesion Segmentation,1,0,1,0,0,0,1,0,1
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,1,1,1,0,0,0,1,0,1
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,0,0,0,0,0,1,0,0,0
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,0,0,0,0,0,1,0,0,1
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,1,0,1,0,0,0,1,0,1
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,1,1,1,0,0,0,1,0,1
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,1,0,0,0,0,0,1,0,1
Multi-Head Multi-Loss Model Calibration,1,0,0,0,0,0,1,0,1
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,1,1,0,0,0,0,1,0,1
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,1,1,0,0,0,0,1,0,1
Multi-scale Prototypical Transformer for Whole Slide Image Classification,0,0,0,0,0,0,1,0,1
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,1,0,0,0,0,0,0,0,1
Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,0,0,1,0,0,0,1,0,1
Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,0,0,0,0,0,0,0,0,0
MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,1,0,0,0,0,0,1,0,1
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,1,0,0,0,0,0,1,0,1
Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,1,0,0,0,0,0,0,0,1
NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,0,0,0,0,0,1,1,0,1
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,1,0,0,0,0,0,1,0,1
Non-iterative Coarse-to-Fine Transformer Networks for Joint Affine and Deformable Image Registration,1,0,0,0,0,0,0,0,1
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,0,0,0,0,0,0,1,0,1
Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,0,0,0,0,0,0,0,0,0
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,1,1,1,0,0,1,0,0,1
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,1,1,1,0,0,1,0,0,1
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,1,0,0,0,0,0,1,0,1
Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,0,0,1,0,0,0,0,0,1
Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,1,0,1,0,0,0,1,0,1
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,1,0,0,0,0,0,0,0,1
Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,1,0,1,0,0,1,1,0,1
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,1,1,1,0,0,0,1,0,1
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,0,0,0,0,0,0,0,0,1
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,1,0,1,0,0,0,1,0,1
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,1,0,0,0,0,1,0,0,1
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,1,0,1,0,0,0,1,0,1
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,1,0,0,0,0,0,1,0,1
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,0,0,1,0,0,0,1,0,1
Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,1,1,0,0,0,0,1,0,1
Prompt-Based Grouping Transformer for Nucleus Detection and Classification,0,0,0,0,0,0,1,0,1
Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,0,0,0,0,0,0,0,0,1
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,0,0,0,0,0,1,1,0,1
RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,0,0,0,0,0,0,0,0,1
Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,0,0,1,0,0,0,1,0,1
Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras,0,0,1,0,0,0,0,0,1
Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,1,0,1,0,0,0,0,0,1
Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,0,0,0,0,0,0,0,0,1
Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,1,0,1,0,0,0,1,0,0
Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,1,0,0,0,0,0,0,0,1
Revisiting Feature Propagation and Aggregation in Polyp Segmentation,1,0,0,0,0,0,0,0,1
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,0,1,0,0,0,0,0,0,1
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,1,0,1,0,0,0,0,0,1
Robust T-Loss for Medical Image Segmentation,1,0,0,0,0,1,0,0,1
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,0,0,1,0,0,0,1,0,1
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,1,1,0,0,0,1,1,0,1
SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,1,1,0,0,0,0,1,0,1
SLPD: Slide-Level Prototypical Distillation for WSIs,1,0,0,0,0,1,1,0,1
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,1,0,1,0,0,0,1,0,1
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,0,0,0,0,0,0,1,0,1
Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,1,0,0,0,0,0,1,0,1
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,1,0,1,0,0,0,0,0,1
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,1,0,0,0,0,0,0,0,1
Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,1,0,1,0,0,0,1,0,1
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,1,0,0,0,0,0,0,0,1
Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,1,0,1,0,0,1,1,0,1
Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,0,0,0,0,0,1,0,0,1
Self-supervised Learning for Endoscopic Video Analysis,0,0,1,0,0,0,0,0,1
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,1,0,1,0,0,0,0,0,1
Self-supervised Polyp Re-identification in Colonoscopy,0,0,0,0,0,0,0,0,1
Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,0,0,0,0,0,0,0,0,1
Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,1,0,0,0,0,1,1,0,1
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,0,0,0,0,0,0,1,0,1
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,0,1,0,0,0,0,1,0,1
Simulation of Arbitrary Level Contrast Dose in MRI Using an Iterative Global Transformer Model,1,0,0,0,0,0,1,0,1
Single-subject Multi-contrast MRI Super-resolution via Implicit Neural Representations,1,0,1,0,0,1,1,0,1
Skin Lesion Correspondence Localization in Total Body Photography,1,0,0,0,0,0,0,0,1
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,1,0,1,0,0,1,0,0,1
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,1,0,1,0,0,0,1,0,1
StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble,0,0,1,0,0,0,1,0,1
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,1,0,1,0,0,0,1,1,1
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,1,0,0,0,0,0,0,0,1
Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,1,0,0,0,0,0,1,0,1
Structured State Space Models for Multiple Instance Learning in Digital Pathology,0,0,0,0,0,0,0,0,1
Surgical Video Captioning with Mutual-Modal Concept Alignment,0,0,1,0,0,0,0,0,1
SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,1,0,1,0,0,1,1,0,1
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,1,1,0,0,0,0,0,0,1
Synthetic Augmentation with Large-Scale Unconditional Pre-training,1,0,0,0,0,1,1,0,1
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,1,0,0,0,0,0,0,0,1
Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,1,0,0,0,0,0,0,0,1
Text-Guided Foundation Model Adaptation for Pathological Image Classification,1,0,0,0,0,0,1,0,1
Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,1,0,1,0,0,1,1,0,1
Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,0,0,1,0,0,0,1,1,1
Topology-Preserving Computed Tomography Super-Resolution Based on Dual-Stream Diffusion Model,1,0,0,0,0,0,1,0,1
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,1,0,1,0,0,0,0,0,1
Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,1,0,1,0,0,0,0,0,1
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,0,0,0,0,0,0,1,0,1
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,1,0,0,0,0,1,1,0,1
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,1,0,0,0,0,0,0,0,1
TractCloud: Registration-Free Tractography Parcellation with a Novel Local-Global Streamline Point Cloud Representation,1,0,0,0,0,0,0,0,1
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,1,0,1,0,0,1,1,0,1
