,title,extracted_keyword_sent,selected
16,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"we first sample n patients, where n is the batch size, in a
balanced way with respect to the radiological/histological classes; namely, we
roughly have the same number of subjects per class.",
17,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"for d 2 histo , which has fewer patients than the batch size, we use
a balanced sampling strategy with respect to the radiological/histological
classes with no obligation of one slice per patient in the batch.",
18,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"the method depth-aware manages to correctly encode the
depth position but not the diagnostic class label.to assess the clinical
performance of the pretraining methods, we also compute the balanced accuracy
scores (bacc) of the trained classifiers, which is compared in table 2 to the
bacc achieved by radiologists who were asked to visually assess the presence or
absence of cirrhosis for the n=106 cases of d 1 histo .",
19,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"in terms of application, our method could be easily
translated to other medical problems, such as pancreas cancer prediction using
the presence of intrapancreatic fat, diabetes mellitus or obesity as discrete
meta-labels.",
20,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"mri, ct, electron tomography) and different tasks associated with them
precludes image annotations for all existing problems in practice.",
21,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"to alleviate this problem, we use a voxel visual consistency loss:where i(x 0 )
is the identity feature extractor, i.e.",
22,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"the evaluation
metric, as in the brats'19 challenge [21], is dice score and the 95th percentile
of the symmetric hausdorff distance, which quantifies the surface distance of
the predicted segmentation from the manual tumor segmentation in millimeters.",x
23,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"1 that the pixels of the polyp boundary
exhibit greater difficulties in accurate segmentation, presenting with higher
entropy values (the white contours).",
24,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"varying data shifts and corruption like motion blur
and specular reflections2 pose significant challenges to model generalization
and robustness.implementation details.",
25,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"for a fair comparison, the output from the spatial
branch is taken as the final prediction and utilized in evaluation without
post-processing.",
26,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"to ensure the reliability of the mixed pseudo labels for
ensemble learning, we present the pixel-level adaptive fusion strategy according
to entropy maps of dual predictions to balance the strengths and weaknesses of
spatial and spectral branches.",
27,S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,"with extensive in-domain and
out-ofdomain evaluation on four public datasets, our method shows superior
accuracy, generalization, and robustness, indicating its clinical significance
in alleviating data-related issues such as data shift and corruption which are
commonly encountered in the medical field.",
28,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"endoscopic images are a challenging case for feature
detection and matching, due to several well known challenges for these tasks,
such as lack of texture, or the presence of frequent artifacts, like specular
reflections.",
29,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"these problems are accentuated when all the elements in the scene
are deformable, as it is the case in most endoscopy scenarios, and in particular
in the real use case studied in our work, the lower gastrointestinal tract
explored with colonoscopies.",
30,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"3d reconstruction is an open problem for laparoscopic and endoscopic settings
[14] of high interest for the community.",
31,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"more recent approaches
attempt to tackle specific endoscopy challenges, such as the deformation [18] or
the artifacts due to specular reflections in the feature extraction step
[2].well known sfm and slam pipelines rely on accurate and robust feature
extraction methods.",
32,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"however, transferring that
performance to endoscopy settings remains a difficult task due to several
challenges.",
33,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"exporting this progress to the matching stage, disk [24] proposes
a formulation of the problem to optimize in an end-to-end manner.",
34,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"we chose
superpoint because it is a seminal work that has inspired many follow up works,
and it is still among the top performers on current feature matching challenges
[10].",
35,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"simulated data lacks some of the biggest challenges of endoscopy
images (e.g.",
36,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"however, data acquisition for medical
images poses unique challenges due to privacy concerns and the high cost of
manual annotation.",
37,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"due to the
abovementioned challenges, some researchers have proposed various white-box
domain adaptation methods to address these issues.recently, [8,16] propose to
use generative adversarial networks to align the distributions of source and
target domains and generate source-domain lookalike outputs for target images.",
38,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"such privacy breaches may detrimental to the privacy protection policies of
hospitals.",
39,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"moreover, the target domain uses the same neural network as the
source domain, which is not desirable for low-resource target users like
hospitals [15].",
40,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"therefore, how to leverage the existing knowledge of black-box
models to effectively train new models for the target domain without accessing
the source domain data remains a critical challenge.in this paper, we present a
novel source-free domain adaptation framework for cross-tissue cell segmentation
without accessing both source domain data and model parameters, which can
seamlessly integrate heterogeneous models from different source domains into any
cell segmentation network with high generality.",
41,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"therefore, we develop two strategies within this new
framework to address this issue.",
42,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"this method effectively addresses two significant challenges
encountered in the analysis of cellular images, namely, the uncertainty in
source domain output and the ambiguity in cell boundary semantics.",
43,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"accordingly, direct knowledge transfer
using the output of the source domain predictor may lead to feature bias in the
student model due to the unavoidable covariance [20] between the target and
source domains.",
44,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"for single-source domain
adaptation approach, cellsegssda and sfda-dpl, we employ two strategies to
ensure the fairness of the experiments: (1) single-source, i.e.",x
45,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"yet, acquiring large training datasets and
their corresponding labels, especially from a cohort of patients, can be costly
or even infeasible, which poses a significant challenge in developing a dl model
with high performance [7].",
46,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"nonetheless, unlike natural images, generating labels
can be a challenging task, making it difficult to apply general da methods; thus
bridging domain gaps by da methods remains limited [26,33].",
47,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"this is due to
sensitive privacy issues in patients' data, particularly in collaborative
research, which restricts access to labels from different domains.",
48,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"more recently,
unsupervised domain adaptation (uda) has been introduced to address this issue
[16,33], aiming to generate semi-predictions (pseudo-labels) in target domains
first, followed by producing accurate predictions using the pseudo-labels.",
49,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"this can lead to significant
degradation of the performance of dl models, as errors can compound and become
more pronounced over time [17,25].to alleviate the problem of pseudo-label-based
uda, in this work, we propose an advanced uda framework based on self-supervised
da with a test-time finetuning network.",
50,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"to address this
issue, we introduced a novel self-supervised da network for breast cancer
segmentation in ultrasound images.",
51,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, acquiring high-quality pet images requires
injecting a sufficient dose (standard dose) of radionuclides into the human
body, which poses unacceptable radiation hazards for pregnant women and infants
even following the as low as reasonably achievable (alara) principle [19].",
52,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"but these supervised methods
relied heavily on the paired lpet and spet data that are rare in actual clinic
due to radiation exposure and involuntary motions (e.g., respiratory and muscle
relaxation).",
53,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, these methods still require lpet to train
models, which contradicts with the fact that only spet scans are conducted in
clinic.fortunately, the recent glowing diffusion model [6] provides us with the
idea for proposing a clinically-applicable pet enhancement approach, whose
training only relies on spet data.",
54,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"however, extending
the diffusion model developed for 2d photographic images to pet enhancement
still faces two problems: a) three-dimensionsal (3d) pet images will
dramatically increase the computational cost of diffusion model; b) pet is the
detail-sensitive images and may be introduced/lost some details during the
procedure of adding/removing noise, which will affect the downstream
diagnosis.taking all into consideration, we propose the spet-only unsupervised
pet enhancement (upete) framework based on the latent diffusion model.",
55,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,"denoting the output of previous layer as z p et ,
the ct-guided cross-attention can be formulated as follows:where d is the number
of channels, b is the position bias, and conv(•) denotes the 1 × 1 × 1
convolution with stride of 1.",
56,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"compared to centerline segmentation,
where the vessel diameter is disregarded, training a 3d vessel segmentation
model from 2d annotations poses additional segmentationspecific challenges, as
2d projections only capture the outline of the vessels, providing no information
about their interior.",
57,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"the cohort consists of 141 patients with pancreatic ductal
adenocarcinoma, of an equal ratio of male to female patients.",x
58,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"we distinguish between models selected according to the
2d performance on the validation set (2d) which is a fair baseline, and models
selected according to the 3d performance on the validation set (3d), which is an
unfair baseline as it requires 3d annotations on the validation set.with the
exception of the single fixed viewpoint baselines where the models have the
tendency to diverge towards over-or segmentation, we perform binary holefilling
on the output of all of our other models, as producing hollow objects is a
common under-segmentation issue.in table 1 we compare our method against the 3d
baseline, as well as baselines trained on multiple viewpoints.",
59,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"mesh2ssm also includes an analysis
network that operates on the learned correspondences to obtain a data-driven
template point cloud (i.e., template point cloud), which can replace the initial
template, and hence reducing the bias that could arise from template selection.",x
60,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"incorporating template feedback loop via vae [13,21] analysis module helps in
mitigating bias and capturing non-linear characteristics of the data.",x
61,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"in this section, we begin by reviewing the minimax optimization problem of
virtual adversarial training (vat) [14].",
62,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"given an input, we then formulate a
novel adversarial local distribution (ald) with dice loss, which benefits the
medical semi-supervised image segmentation problem specifically.",
63,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"given that f θ is our model
parameterized by θ, vat [14] trains the model with the loss of vat that a
minimax optimization problem:where d kl is the kullback-leibler divergence.",
64,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"the
inner maximization problem is to find an adversarial example near decision
boundaries, while the minimization problem enforces the local smoothness of the
model.",
65,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"moreover, the works [15,20] show that even solving the
maximization problem with random initialization, its solutions can also lie
together and lose diversity, which significantly reduces the quality of
adversarial examples.",
66,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"svgdf is used to solve the optimization problem of
finding a target distribution p θ (•|x)).",
67,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"while vanilla svgd [10]
is difficult to capture semantic meaning of high-resolution data because of
calculating rbf kernel (k) directly on the data-level, we use the feature
extractor φ as a semantic transformation to further enhance the svgd algorithm
performance for medical imaging.",
68,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"the problem (5) can then be relaxed towhere γ ∼
beta(α, α) for α ∈ (0, ∞).",
69,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"the
third term is our cross-ald regularization, which is an enhancement of vat to
significantly improve the model performance.where λ cs and λ cross-ald are the
corresponding weights to balance the losses.",
70,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"for fair comparisons, all experiments are conducted using the
identical setting, following [21].",x
71,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"moreover, vanilla svgd
is difficult to capture semantic meaning of high-resolution medical imaging
because it calculates kernel k on image-level.",
72,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"all experiments are conducted using the identical settings in the github
repository 6 [21] for fair comparisons.results.",x
73,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"the known operator can be viewed as the prior knowledge related to the
physics of the problem.",
74,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"it should be noted in contrast to [5] in which
only out-of-range samples were contributing to the loss, in this work, all
samples contribute to l vd to reduce the estimation bias.3-smoothness of epr is
considered by:4-picture loss is defined as l v = l vd + λ vs × l vs , where λ vs
is the weight of the smoothness loss.",
75,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in [16].in vivo data was collected at johns hopkins hospital from patients with
liver cancer during open-surgical rf thermal ablation by a research antares
siemens system using a vf 10-5 linear array with the sampling frequency of 40
mhz and the center frequency of 6.67 mhz.",x
76,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"the network is trained by physically inspired constraints specifically
designed to tackle the long-standing illusive problem of lateral strain imaging.",
77,SLPD: Slide-Level Prototypical Distillation for WSIs,"in computational histopathology, visual representation extraction is a
fundamental problem [14], serving as a cornerstone of the (downstream)
task-specific learning on whole slide pathological images (wsis).",
78,SLPD: Slide-Level Prototypical Distillation for WSIs,"however, the
obtained clustering centers, i.e., the prototypes, are inclined to represent the
visual bias related to staining or scanning procedure rather than medically
relevant features [33].",x
79,SLPD: Slide-Level Prototypical Distillation for WSIs,"we
rethink this problem from the perspective how to measure the similarity between
two slides accurately.",
80,SLPD: Slide-Level Prototypical Distillation for WSIs,"for a fair comparison, the total
number of prototypes of the two clustering methods is approximately the same.",
81,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"in
real-world scenarios, point annotation locations may shift from nuclei centers
as a result of the expert labeling process, leading to a lower performance after
model training.to overcome these challenges, we propose a novel weakly
supervised instance segmentation method that effectively distinguishes adjacent
nuclei and is robust to point shifts.",
82,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"to train the module we employ a focal loss, commonly used in
point detection problems.",
83,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"for a fair
comparison, images were pre-processed before training/testing i.e., normalized
and cropped to 250×250 patches following the setting used in [17].to make point
labels, we use the center point of full mask annotations.",
84,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"their success is most evident at the miccai medical
outof-distribution analysis (mood) challenge [31], where all winning methods
have followed this paradigm so far (2020-2022).",
85,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"also, all tasks share a common recipe: the target anomaly mask m h is always a
randomly sized and rotated ellipse or rectangle (ellipsoids/cuboids in 3d); all
anomalies are positioned such that at least 50% of the mask intersects with the
foreground of the image; and after one augmentation is applied, the process is
randomly repeated (based on a fair coin toss, p = 0.5), for up to a maximum of 4
anomalies per image.the intra-dataset blending task.",
86,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"it does this
by combining the target gradient with dirichlet boundary conditions to define a
minimisation problem min fin h |∇f in -v| also, by defining h as the
axis-aligned bounding box of m h , we can ensure the boundaries coincide with
coordinate lines.",
87,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"to evaluate, we use the brain tumor segmentation
challenge 2017 (brats) dataset [1], containing 285 cases with either high or low
grade glioma, and the ischemic stroke lesion segmentation challenge 2015 (isles)
dataset [13], containing 28 cases with ischemic stroke lesions.",x
88,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"clinical scans) adds further
difficulty to this task.",
89,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,"nonetheless, weakly supervised histopathological image
segmentation presents a challenge due to the low contrast between different
tissues, intra-class variations, and inter-class similarities [4,11].",
90,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,"additionally, the tissue structures in histopathology images can be randomly
arranged and dispersed, which makes it difficult to identify complete tissues or
regions of interest [7].ours cam under the microscope, tumor epithelial ɵssue
may appear as solid nests, acinar structures, or papillary formaɵons.",
91,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,"however, these improved variants still face difficulties in capturing
the complete tissues.",
92,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,"this could be due to the design of transws [18] for single-label
image segmentation, with the segmentation branch simplified to binary
segmentation to reduce the difficulty, while our dataset consists of multilabel
images.",
93,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,"this decision reflects a
balance between the computational demands of depth-first tree traversal in each
training step and the complexity of the training meshes.",
94,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,"given the differences with the baselines generated
topologies, for a fair comparison, we limited our evaluation to a visual
inspection of the meshes.the qualitative analyses consisted of a visual
evaluation of the reconstructed outputs provided by the decoder network.",
95,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,"since the presented framework would require significant
adaptations to accommodate such complex topologies, exploring this problem would
certainly be an interesting direction for future research.",
96,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"given the two issues,
transferability for medical tasks becomes more complicated [24,25].",
97,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"in
order to address this issue and improve the flexibility of fine-tuning
strategies, we propose controlling the fine-tuning process with layer-wise
learning rates (lrs), rather than simply manually fixing or updating the layers
(see fig.",
98,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"this problem can be formulated as the following bi-level
optimization problem:metalr aims to use the validation set to optimize α through
an automatic process rather than a manual one.",
99,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"to address this issue, we propose
using a proportional hyper-lr η = β × α t j , where β is a pre-defined
hyper-parameter.",
100,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"moreover, although the generalization validation on the training data batch may
introduce bias, providing sufficient training data ultimately benefits the
performance.",x
101,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"2 (b)), the middle layers of the encoder ""down-128"" and ""down-256"" are the
most transferable and have the lowest lrs, which is difficult for previous
fine-tuning schemes to discover.",
102,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"furthermore, a knowledge
distillation mechanism encourages the agreement between the predictions
delivered by different scales.retrieval, but also introducing multiple
challenges.",
103,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"through
knowledge distillation, we encour-age agreement across the predictions delivered
at different resolutions, while individual scale features are learned in
isolation to preserve the diversity in terms of information content.",
104,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"to sum up, the overall optimization problem is formulated as a
mixture of two objectives: the one requiring higher conditional likelihood
w.r.t.",
105,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"to address this problem, the common paradigm of
transfer learning, which first pre-trains a model on upstream image datasets and
then fine-tunes it on various target tasks, has been widely investigated in
recent years [10,21,30].",
106,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"compared with the distributed training across multiple
centers, there are no specific ethical issues or computational design of
distributed/federated learning frameworks with the ""pre-train-then-fine-tune""
workflow.previous works mainly focused on the fine-tuning strategy to
effectively adapt the knowledge from the pre-trained models to target tasks
[4,12,19,26].",
107,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"however,
most of these works require source information available while medical images
have more privacy and ethical issues and fewer datasets are publicly available
than natural images.considering the issues mentioned above, this work focused on
source-free pre-trained model selection for segmentation tasks in the medical
image.",x
108,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"first, unlike classification and regression problems that can use
a single n-dimensional feature vector to represent each image, segmentation
problems lack a global semantic representation, which poses difficulties for
direct transferability estimation.",
109,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"third, medical images face severe class imbalance problems, with
excessive differences between foreground and background.",x
110,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"however, existing
algorithms rarely give additional attention to the class imbalance problem.",x
111,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"we calculate the
wasserstein distance of the distribution with voxels of the same class in a
sample pair comprised of every two samples in the dataset, and obtained the
following definition of class consistency c consgiven that 3d medical images are
computationally intensive, and prone to causing out-of-memory problems, in the
sliding window inference process for each case, we do not concatenate the output
of each patch into the final prediction result, but directly sample from the
patched output and concatenate them into the final sampled feature matrix.",
112,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"in
the calculation of class consistency, we only sample the foreground voxels with
a pre-defined sampling number which is proportional to the voxel number of each
class in the image because of the severe class imbalance problem.feature
variety.",
113,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"as a result of learning some trivial solutions, some overfitted
models have limited generalization capacity and are difficult to apply to new
tasks.",
114,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"as for semantic segmentation problems, the
feature pyramid structure is critical for segmentation results [14,29].",
115,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"for fair comparisons, the baseline methods including
transrate [9], logme [27], gbc [17] and leep [15] are also implemented.",
116,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"most of the existing methods are inferior to ours because
they are not designed for segmentation tasks with a serious class imbalance
problem.",
117,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"in our work, we raise the problem of model selection for upstream and downstream
transfer processes in the medical image segmentation task and analyze the
practical implications of this problem.",
118,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"in addition, due to the ethical and
privacy issues inherent in medical care and the computational load of 3d image
segmentation tasks, we design a generic framework for the task and propose a
transferability estimation method based on class consistency with feature
variety constraint, which outperforms existing model transferability estimation
methods as demonstrated by extensive experiments.",
119,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"meanwhile, to be suitable for many
downstream tasks, representations should have a dimensionality of about 1000, as
in [8].to address this issue, we utilize a 3d fpn architecture instead of a
standard 3d unet.",
120,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"we demonstrate an example of the
excellent performance of vox2vec-fpn in both linear and non-linear probing
regimes in supplementary materials.we reproduce the key results on msd challenge
ct datasets, which contain tumor and organ segmentation tasks.",x
121,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"another interesting research direction is exploring the
effectiveness of vox2vec with regard to domain adaptation to address the
challenges of domain shift between different medical imaging datasets obtained
from different sources.",x
