index;Title;Authors;Page numbers;DOI;Year of publication;Part of publication;Organ;Image type;Demographic data;No. datasets;Gender-specfic cancer;Subgroups;Info of datasets;Links
642;FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery;Mohamed A. Hassan, Brent Weyers, Julien Bec, Jinyi Qi, Dorina Gui, Arnaud Bewley et al.;587-596;10.1007/978-3-031-43996-4_56;2023;9;oropharynx tissue;multispectral fluorescence lifetime device (FLIm);none;1;;head and neck oncology, patients, tumors, ;;
19;Gall Bladder Cancer Detection from US Images with only Image Level Labels;Soumen Basu, Ashish Papanai, Mayank Gupta, Pankaj Gupta, Chetan Arora;206-215;10.1007/978-3-031-43907-0_20;2023;1;gall bladder;ultrasound, colonscopy;none;2;;image samples, patients, non-malignant, malignant, colonoscopy, polyps;;
317;Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer;Hexin Dong, Jiawen Yao, Yuxing Tang, Mingze Yuan, Yingda Xia, Jian Zhou et al.;241-251;10.1007/978-3-031-43904-9_24;2023;5;pancreas ;multi-phase contrast-enhanced CT;gender, female, male, age, geolocation;4;;pancreatic ductal adenocarcinoma, patients ;data from Shengjing Hospital, Guangdong Provincial People’s Hospital, Tianjin Medical University and Sun Yatsen University Cancer Center;
366;Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies;Ruby Wood, Enric Domingo, Korsuk Sirinukunwattana, Maxime W. Lafarge, Viktor H. Koelzer, Timothy S. Maughan et al.;758-767;10.1007/978-3-031-43904-9_73;2023;5;colorectal;whole slide images ;none;2;;colorectal cancer, patients, UK;both datasets are unbalanced;
408;Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer;Mingyuan Meng, Lei Bi, Michael Fulham, Dagan Feng, Jinman Kim;400-410;10.1007/978-3-031-43987-2_39;2023;6;head and neck;PET, CT, multi-modality images.;age, gender, male, female, weight, alchohol and  tobacco consumption, geolocation;2;;head and neck oncology, patients,  tumors, clinical indicators   ;HECKTOR 2022 dataset, including 488 H&N cancer patients acquired from seven medical centers, The patients from two centers (CHUM and CHUV) were used for testing and other patients for training, which split the data into 386/102 patients in training/testing sets, clinical indicators: age range median, precentage of female/male , traning data: 17% female/83 % male, test data: 22% female/78% male  ;clinical indicators
415;MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis;Michael Gadermayr, Lukas Koller, Maximilian Tschuchnig, Lea Maria Stangassinger, Christina Kreutzer, Sebastien Couillard-Despres et al.;477-486;10.1007/978-3-031-43987-2_46;2023;6;thyroid gland tissues;histopathology, whole slide images, ;gender, male, female, age, geolocation;2;;thyroid tissue cancer, patients, images, ;All images were acquired during clinical routine at the Kardinal Schwarzenberg Hospital. The mean and median age of patients at the date of dissection was 47 and 50 years. The data set comprised 13 male and 27 female patients, corresponding to a slight gender imbalance;
413;Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis;Mengkang Lu, Tianyi Wang, Yong Xia;457-466;10.1007/978-3-031-43987-2_44;2023;6;breast tissue;pathology, H&E whole slide images, matched IHC WSIs;none;3;yes;breast cancer, women, malignant tumors;"Dataset 1: AutomatiC Registration Of Breast cAncer Tissue (ACROBAT) Challenge provides H&E WSIs and matched IHC WSIs (ER, PR, HER2, and KI67), which consists of 750 training cases, 100 validation cases, and 300 testing cases. 
Dataset 2: Breast Cancer Immunohistochemical Image Generation Challenge  consists of 3896 pairs of images for training and 977 pairs for testing, which are used to generate HER2 images based on H&E images.
Dataset 3: HER2 On H&E (HEROHE) Challenge is developed to predict the HER2 status in invasive BC cases via the analysis of HE slides. It contains 359 training samples and 150 test samples for WSI classification.";
441;Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction;Wentai Hou, Yan He, Bingjian Yao, Lequan Yu, Rongshan Yu, Feng Gao et al.;745-754;10.1007/978-3-031-43987-2_72;2023;6;colorectal, liver, kidney;whole slide images ;none;3;;patients, colorectal cancer, liver hepatocellular carcinoma, kidney clear cell carcinoma, high risk patients, low risk patients, ;"Dataset 1: Colorectal Cancer (CRC)(385 cases) cohort collected from co-operated hospital.
Dataset 2 and 3:  two public cancer cohorts from TCGA project, i.e., Liver Hepatocellular Carcinoma (LIHC)(371 cases) and Kidney Clear Cell Carcinoma (KIRC)(398 cases) are also included as the censorship of these two data sets are relatively balanced.";
51;Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning;Kyungsu Lee, Haeyun Lee, Georges El Fakhri, Jonghye Woo, Jae Youn Hwang;539-550;10.1007/978-3-031-43907-0_52;2023;1;breast tissue;ultrasound;none;3;;breast cancer;Datasets: BUS [32], BUSI [1], and BUV [18], which are considered to be different domains. Domain adaptation (DA) has been extensively studied to alleviate the aforementioned limitations, the goal of which is to reduce the domain gap caused by the diversity of datasets from different domains;BreaKHis dataset
296;SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image;Luyuan Xie, Cong Li, Zirui Wang, Xin Zhang, Boyan Chen, Qingni Shen et al.;23-32;10.1007/978-3-031-43904-9_3;2023;5;breast tissue;histopathology;none;1;;breast cancer, women, 2 groups: benign tumors and malignant tumors, patients,  4 types of beign tumors, 8 breast cancer classes;"Dataset: breast cancer histopathological image database (BreaKHis), 8 breast cancer classes, and 4 distinct histological types of benign breast tumors: adenosis (A), fibroadenoma (F), phyllodes tumor (PT), and tubular adenona (TA); and four malignant tumors (breast cancer): carcinoma (DC), lobular carcinoma (LC), mucinous carcinoma (MC) and papillary carcinoma (PC).";
272;SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI;Yuming Zhong, Yi Wang;567-577;10.1007/978-3-031-43901-8_54;2023;4;breast tissue;Mammography, ultrasonography,  magnetic resonance imaging (MRI), dynamic contrast-enhanced (DCE);geolocation;1;;breast cancer, women, biopsy-proven breast cancer, patients, ;Dataset: collected DCE-MRI dataset containing 206 patients with biopsy-proven breast cancers from Cancer Center of Sun Yat-Sen University.;
428;Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors;Yawen Wu, Yingli Zuo, Qi Zhu, Jianpeng Sheng, Daoqiang Zhang, Wei Shao;612-621;10.1007/978-3-031-43987-2_59;2023;6;breast tissue;HE-stained pathology;none;1;;breast cancer, females, women, patients, ER positive patients, ER negative patients, high risk group, low risk group;Dataset: Breast Invasive Carcinoma (BRCA) derived from the Cancer Genome Atlas (TCGA). the BRCA dataset includes 661 patients with hematoxylin and eosin (HE)-stained pathological imaging and corresponding survival information. The number of ER positive(ER+) and ER negative(ER−) patients are 515 and 146,;
446;Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer;Sara Arabyarmohammadi, German Corredor, Yufei Zhou, Miguel López de Rodas, Kurt Schalper, Anant Madabhushi;797-807;10.1007/978-3-031-43987-2_77;2023;6;lung tissue;whole slide images , pathology, QIF, histopathology;none;5;;lung cancer,  patients, cell types, patients with complete response, partial response, and stable disease, and non-responders were patients with progressive disease.;"The entire analysis was carried out using 122 patients in Experiment 1 and 135 patients in Experiment 2.
Dataset: pre-treatment tumor biopsy specimens from patients with NSCLC from five centers (two centers for training and three centers for independent validation.";
