Paper Title,Sentence
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models," in the clinic, the consistent information and complementary information in multi-modality medical images provide the basis for tumor diagnosis."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,breast cancer is the leading cause of cancer-related fatalities among women.
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network," currently, it holds the highest incidence rate of cancer among women in the u."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network," moreover, multitask learning acts as a regularizer by introducing inductive bias and prevents overfitting  in this study, we introduce a hybrid multitask approach, hybrid-mt-estan, which encompasses tumor classification as a primary task and tumor segmentation as a secondary task."
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network," because malignant tumors are more challenging to detect due to greater differences in margin, shape, and appearance in bus images, focal loss forces the model to focus more on difficult predictions."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"breast cancer is the most common cause of cancer-related deaths among women all around the world  to better support the radiologists with breast cancer diagnosis, various segmentation algorithms have been developed  although  in this study, we propose a simple yet effective weakly-supervised strategy, by using extreme points as annotations (see fig."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI, such setting can help alleviate class imbalance issue.
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation," brats (brain tumor segmentation challenge)  only classification labels are used during training the diffusion models, and segmentation masks are used for evaluation in the test stage."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation," first, modeling relationships between 3d voxel sequences is much more difficult than 2d pixel sequences."
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation, we use the multimodal brain tumor segmentation challenge (brats 2021  comparative experiments.
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI, the new eafa enhances edge awareness by utilizing boundary information as prior knowledge while capturing the long-range dependency of features to improve feature selection and fusion.
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,"transformers  the convnext architecture marries the scalability and long-range spatial representation learning capabilities of vision  in this work, we maximize the potential of a convnext design while uniquely addressing challenges of limited datasets in medical image segmentation."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images," in particular, dose painting uses functional images to paint optimised dose prescriptions based on the spatially varying radiation sensitivities of tumours, thus enhancing the efficacy of tumour control  to address both tumour delineation and corresponding dose painting challenges, we propose to combine the expressiveness of deep cnns with the versa-tility of kspc in a unified framework, which we call kspc-net."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,the dataset is from the hecktor challenge in miccai 2021 (head and neck tumor segmentation challenge).
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images, promising performance was achieved by our proposed kspc-net compared to the state-of-the-art approaches on the miccai 2021 challenge dataset (hecktor).
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation," to address this issue, we normalize the different attention weights by using a softmax function: that is, we only consider feature maps from those available modalities but normalize their contribution to the final fusion result, so that, the fused one has a consistent value range, no matter how many modalities are missing."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping," to solve the inherent issue of imbalanced tumor type in the training data collected in clinic, a novel ordinal manifold mixup based feature augmentation is applied in the training of the tumor subtyping network."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping," in addition, information of patient age and tumor position is also used."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,", tumor types, there exists a big issue."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping," specifically, the in-house dataset collected in cooperation hospitals contains pre-operative multimodal mr images, including t1, t1 contrast enhanced (t1c), t2, and flair, of 1726 patients (age 49."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping," besides the inhouse dataset, a public dataset brats2019, including pre-operative multimodal mr images of 210 non-censored patients (age 61."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation," in the past few years, transformer structure  although remarkable performance has been accomplished with these efforts, there still exist several challenges to be resolved."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation," to mitigate the pixel imbalance problem, we use a combined loss of focal loss  where n refers to the total number of pixels, p t and q t denote the predicted probability and ground truth of the t-th pixel, respectively, and r = 2 is the modulation factor."
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation," concretely, a multi-path parallel embedding module and a densely connected transformer block were developed and integrated to balance accuracy and computational complexity."
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality," to address these challenges, we propose a novel framework for joint subject-level and voxel-level prediction of segmentation quality from multimodal mri."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023," this approach has been utilised in robot control  the missing modality issue is a significant challenge in the multi-modal domain, and it has motivated the community to develop approaches that attempt to address this problem."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"  aiming at this issue, we propose the non-dedicated training model -we propose the learnable cross-modal knowledge distillation (lckd) model to address missing modality problem in multi-modal learning."
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation," as estimated by the american cancer society, there were approximately 100,350 new cases and over 6,500 deaths in 2020  transunet  prior works have enhanced performance by introducing intricate modules, but neglected the constraint of computational resources in real medical settings."
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI," considering the varying sizes, shapes and appearances of tumors that results from intratumor heterogeneity and results in difficulties of accurate cancer annotation, we design the segmentation loss as follows: where l ssim is used to evaluate tumor structural characteristics, s and g represents segmentation map and ground truth, respectively; μ s is the mean of s and μ g is the mean of g; ϕ s represents the variance of s and ϕ g represents the variance of g; c 1 and c 2 denote the constant to hold training stable  where k 1 is set as 0."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,", magnetic resonance images  x-ray images  to tackle the above challenges, our solution is to incorporate an empirical cue about gland morphology as additional knowledge to guide gland segmentation."
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,"  our contributions are as follows: (1) we identify the major challenge encountered by prior unsupervised semantic segmentation (uss) methods when dealing with gland images, and propose a novel mssg for unsupervised gland segmentation."
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation, the encoder effectively extracts features from images by striking a balance between cnn and transformer architectures.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness," furthermore, clinical data collected for training is usually imbalanced in some properties, e."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness," our dataset with manual labels is available at this url  secondly, we design a simple yet novel data preprocessing and alternation method, called edgemixup, to improve lyme disease segmentation and diagnosis fairness on samples with different skin-tones."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness, such an improvement is an iterative process that gradually improves lesion edge detection and segmentation fairness until convergence.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness," then, the detected, converged edge in the first step also helps classification of lyme diseases via mixup with improved fairness."
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness, our results show that edgemixup is able to increase segmentation utility and improve fairness.
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness," we also show that the improved segmentation further improves classification fairness as well as joint fairness-utility metrics compared to existing debiasing methods, e."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer," for survival prediction in h&n cancer, existing methods usually use single imaging modality  secondly, although deep survival models have advantages in performing end-to-end survival prediction without requiring tumor masks, this also incurs difficulties in extracting region-specific information, such as the prognostic information in primary tumor (pt) and metastatic lymph node (mln) regions."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer," for survival prediction in h&n cancer, existing methods usually use single imaging modality  secondly, although deep survival models have advantages in performing end-to-end survival prediction without requiring tumor masks, this also incurs difficulties in extracting region-specific information, such as the prognostic information in primary tumor (pt) and metastatic lymph node (mln) regions."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment," the majority of the efforts, so far, focus on the deployment of these models for diagnosis and classification  in the machine learning domain, patient prognostication can be treated as a weakly supervised problem, which a model would predict the outcome (e."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment," their majority have utilized multiple instance learning (mil)  to address this issue, graph neural networks (gnn) have recently received more attention in histology."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment," the majority of the efforts, so far, focus on the deployment of these models for diagnosis and classification  in the machine learning domain, patient prognostication can be treated as a weakly supervised problem, which a model would predict the outcome (e."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment," their majority have utilized multiple instance learning (mil)  to address this issue, graph neural networks (gnn) have recently received more attention in histology."
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment, this work was supported by msk cancer center support grant/core grant (p30 ca008748) and by james and esther king biomedical research grant (7jk02) and moffitt merit society award to c.
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment, this work was supported by msk cancer center support grant/core grant (p30 ca008748) and by james and esther king biomedical research grant (7jk02) and moffitt merit society award to c.
Detection of Basal Cell Carcinoma in Whole Slide Images," we observed that conventional nas methods often overlook fairness ranking during the search, hindering the search for optimal solutions."
Detection of Basal Cell Carcinoma in Whole Slide Images, our sc-net framework addresses this by ensuring fair training and precise ranking.
Detection of Basal Cell Carcinoma in Whole Slide Images," to ensure a fair comparison on our dataset, we selected several papers in the field of pathological image analysis, such as  evaluation metrics."
Detection of Basal Cell Carcinoma in Whole Slide Images," by formulating sc-net as a balanced supernet, we ensure fair ranking and treatment of all potential architectures."
Detection of Basal Cell Carcinoma in Whole Slide Images," we observed that conventional nas methods often overlook fairness ranking during the search, hindering the search for optimal solutions."
Detection of Basal Cell Carcinoma in Whole Slide Images, our sc-net framework addresses this by ensuring fair training and precise ranking.
Detection of Basal Cell Carcinoma in Whole Slide Images," to ensure a fair comparison on our dataset, we selected several papers in the field of pathological image analysis, such as  evaluation metrics."
Detection of Basal Cell Carcinoma in Whole Slide Images," by formulating sc-net as a balanced supernet, we ensure fair ranking and treatment of all potential architectures."
Multi-scale Prototypical Transformer for Whole Slide Image Classification," with the advent of the whole slide image (wsi) scanner, deep learning has gained its reputation in the field of computational pathology  to address this issue, multiple instance learning (mil) has been successfully applied to the wsi classification task as a weakly supervised learning problem  recently, prototypical learning is applied in wsi analysis to identify representative instances in the bag  on the other hand, when pathologists analysis the wsis, they always observe the tissues at various resolutions  in this work, we propose a multi-scale prototypical transformer (mspt) for wsi classification."
Multi-scale Prototypical Transformer for Whole Slide Image Classification," with the advent of the whole slide image (wsi) scanner, deep learning has gained its reputation in the field of computational pathology  to address this issue, multiple instance learning (mil) has been successfully applied to the wsi classification task as a weakly supervised learning problem  recently, prototypical learning is applied in wsi analysis to identify representative instances in the bag  on the other hand, when pathologists analysis the wsis, they always observe the tissues at various resolutions  in this work, we propose a multi-scale prototypical transformer (mspt) for wsi classification."
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"we presented a new approach, triangular analysis of geographical interplay of lymphocytes (triangil), to quantitatively chartacterize the spatial arrangement and relative geographical interplay of multiple cell families across pathological images."
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"we presented a new approach, triangular analysis of geographical interplay of lymphocytes (triangil), to quantitatively chartacterize the spatial arrangement and relative geographical interplay of multiple cell families across pathological images."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model," to achieve this, radiotherapy plans need to be manually adjusted by the dosimetrists in a trial-and-error manner, which is extremely labor-intensive and time-consuming  recently, the blossom of deep learning (dl) has promoted the automatic medical image processing tasks  although the above methods have achieved good performance in predicting dose distribution, they suffer from the over-smoothing problem."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model, we measure the performance of our model on an in-house rectum cancer dataset which contains 130 patients who underwent volumetric modulated arc therapy (vmat) treatment at west china hospital.
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model," to achieve this, radiotherapy plans need to be manually adjusted by the dosimetrists in a trial-and-error manner, which is extremely labor-intensive and time-consuming  recently, the blossom of deep learning (dl) has promoted the automatic medical image processing tasks  although the above methods have achieved good performance in predicting dose distribution, they suffer from the over-smoothing problem."
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model, we measure the performance of our model on an in-house rectum cancer dataset which contains 130 patients who underwent volumetric modulated arc therapy (vmat) treatment at west china hospital.
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning, the bias and error generated in each level of the representation model will accumulate in the final decision model.
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning, the bias and error generated in each level of the representation model will accumulate in the final decision model.
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer is a common and severe disease that affects millions of women globally, particularly in developing countries  several computer-aided cervical cancer screening methods have been proposed for whole slide images (wsis) in the literature."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images," it often requires multiple experienced pathologists to annotate  to address the aforementioned issues, we propose a detection-free pipeline in this paper, which does not rely on any detection model."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images," in this study, we have collected 5384 cervical cytopathological wsi by 20x lens, each with 20000 × 20000 pixels, from our collaborating hospitals."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer is a common and severe disease that affects millions of women globally, particularly in developing countries  several computer-aided cervical cancer screening methods have been proposed for whole slide images (wsis) in the literature."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images," it often requires multiple experienced pathologists to annotate  to address the aforementioned issues, we propose a detection-free pipeline in this paper, which does not rely on any detection model."
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images," in this study, we have collected 5384 cervical cytopathological wsi by 20x lens, each with 20000 × 20000 pixels, from our collaborating hospitals."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs," despite the progress, the outstanding challenge in training such i2it frameworks is the lack of aligned h&e-ihc image pairs, or in other words, the inconsistencies in the h&e-ihc groundtruth pairs."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs, the following datasets are used in our experiments: the breast cancer immunohistochemical (bci) challenge dataset  implementation details.
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs," despite the progress, the outstanding challenge in training such i2it frameworks is the lack of aligned h&e-ihc image pairs, or in other words, the inconsistencies in the h&e-ihc groundtruth pairs."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs, the following datasets are used in our experiments: the breast cancer immunohistochemical (bci) challenge dataset  implementation details.
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"colorectal cancer is the third most common malignant tumor, and nearly half of all patients with colorectal cancer develop liver metastasis during the course of the disease  extensive existing works have demonstrated the power of deep learning on various spatial-temporal data, and can potentially be applied towards the problem of crlm."
