"title","extracted_sents",useful
"AME-CAM: Attentive Multiple-Exit CAM for
Weakly Supervised Segmentation on MRI
Brain Tumor","none",
"Unsupervised Discovery of 3D
Hierarchical Structure with Generative
Diffusion Features","none",
"S 2 ME: Spatial-Spectral Mutual Teaching
and Ensemble Learning for
Scribble-Supervised Polyp Segmentation","none",
"Tracking Adaptation to Improve
SuperPoint for 3D Reconstruction in
Endoscopy","none",
"Black-box Domain Adaptative Cell
Segmentation via Multi-source
Distillation","none",
"Self-Supervised Domain Adaptive
Segmentation of Breast Cancer via
Test-Time Fine-Tuning","none",
"PET-Diffusion: Unsupervised PET
Enhancement Based on the Latent
Diffusion Model","none",
"Cross-Adversarial Local Distribution
Regularization for Semi-supervised
Medical Image Segmentation","none",
"Infusing Physically Inspired Known
Operators in Deep Models of Ultrasound
Elastography","none",
"SLPD: Slide-Level Prototypical
Distillation for WSIs","none",
"PROnet: Point Refinement Using
Shape-Guided Offset Map for Nuclei
Instance Segmentation","none",
"TPRO: Text-Prompting-Based Weakly
Supervised Histopathology Tissue
Segmentation","none",
"MetaLR: Meta-tuning of Learning Rates
for Transfer Learning in Medical Imaging","none",
"DAS-MIL: Distilling Across Scales for
MIL Classification of Histological WSIs","none",
"vox2vec: A Framework for Self-supervised
Contrastive Learning of Voxel-Level
Representations in Medical Images","none",
"Gall Bladder Cancer Detection from US
Images with only Image Level Labels","none",
"Structured State Space Models for
Multiple Instance Learning in Digital
Pathology","none",
"Multi-scale Self-Supervised Learning for
Longitudinal Lesion Tracking with
Optional Supervision","none",
"Geometry-Invariant Abnormality Detection","none",
"Interpretable Medical Image
Classification Using Prototype Learning
and Privileged Information","none",
"ArSDM: Colonoscopy Images Synthesis with
Adaptive Refinement Semantic Diffusion
Models","none",
"Learning Transferable Object-Centric
Diffeomorphic Transformations for Data
Augmentation in Medical Image
Segmentation","none",
"Centroid-Aware Feature Recalibration for
Cancer Grading in Pathology Images","none",
"Explaining Massive-Training Artificial
Neural Networks in Medical Image
Analysis Task Through Visualizing
Functions Within the Models","none",
"TransLiver: A Hybrid Transformer Model
for Multi-phase Liver Lesion
Classification","none",
"Adaptive Region Selection for Active
Learning in Whole Slide Image Semantic
Segmentation","none",
"Explainable Image Classification with
Improved Trustworthiness for Tissue
Characterisation","none",
"Continual Learning for Abdominal
Multi-organ and Tumor Segmentation","none",
"Towards AI-Driven Radiology Education: A
Self-supervised Segmentation-Based
Framework for High-Precision Medical
Image Editing","none",
"Medical Image Computing and Computer
Assisted Intervention – MICCAI 2023","none",
"FedGrav: An Adaptive Federated
Aggregation Algorithm for
Multi-institutional Medical Image
Segmentation","none",
"Faithful Synthesis of Low-Dose
Contrast-Enhanced Brain MRI Scans Using
Noise-Preserving Conditional GANs","none",
"A Spatial-Temporal Deformable Attention
Based Framework for Breast Lesion
Detection in Videos","none",
"DeDA: Deep Directed Accumulator","none",
"OpenAL: An Efficient Deep Active
Learning Framework for Open-Set
Pathology Image Classification","none",
"SFusion: Self-attention Based N-to-One
Multimodal Fusion Block","none",
"SLPT: Selective Labeling Meets Prompt
Tuning on Label-Limited Lesion
Segmentation","none",
"UniSeg: A Prompt-Driven Universal
Segmentation Model as Well as A Strong
Representation Learner","none",
"Cross-Modulated Few-Shot Image
Generation for Colorectal Tissue
Classification","none",
"Structure-Preserving Instance
Segmentation via Skeleton-Aware Distance
Transform","none",
"DAST: Differentiable Architecture Search
with Transformer for 3D Medical Image
Segmentation","none",
"Pre-trained Diffusion Models for
Plug-and-Play Medical Image Enhancement","none",
"Evidence Reconciled Neural Network for
Out-of-Distribution Detection in Medical
Images","none",
"Scale-Aware Test-Time Click Adaptation
for Pulmonary Nodule and Mass
Segmentation","none",
"Shifting More Attention to Breast Lesion
Segmentation in Ultrasound Videos","none",
"FocalUNETR: A Focal Transformer for
Boundary-Aware Prostate Segmentation
Using CT Images","none",
"Asymmetric Contour Uncertainty
Estimation for Medical Image
Segmentation","none",
"Anatomical-Aware Point-Voxel Network for
Couinaud Segmentation in Liver CT","none",
"HENet: Hierarchical Enhancement Network
for Pulmonary Vessel Segmentation in
Non-contrast CT Images","none",
"Dice Semimetric Losses: Optimizing the
Dice Score with Soft Labels","none",
"Anti-adversarial Consistency
Regularization for Data Augmentation:
Applications to Robust Medical Image
Segmentation","none",
"Multimodal CT and MR Segmentation of
Head and Neck Organs-at-Risk","none",
"Learning Reliability of Multi-modality
Medical Images for Tumor Segmentation
via Evidence-Identified Denoising
Diffusion Probabilistic Models","none",
"Conditional Diffusion Models for Weakly
Supervised Medical Image Segmentation","none",
"DBTrans: A Dual-Branch Vision
Transformer for Multi-Modal Brain Tumor
Segmentation","none",
"M-GenSeg: Domain Adaptation for Target
Modality Tumor Segmentation with
Annotation-Efficient Supervision","none",
"Edge-Aware Multi-task Network for
Integrating Quantification Segmentation
and Uncertainty Prediction of Liver
Tumor on Multi-modality Non-contrast MRI","none",
"RCS-YOLO: A Fast and High-Accuracy
Object Detector for Brain Tumor
Detection","none",
"Category-Level Regularized
Unlabeled-to-Labeled Learning for
Semi-supervised Prostate Segmentation
with Multi-site Unlabeled Data","none",
"A Sheaf Theoretic Perspective for Robust
Prostate Segmentation","none",
"MedNeXt: Transformer-Driven Scaling of
ConvNets for Medical Image Segmentation","none",
"Deep Probability Contour Framework for
Tumour Segmentation and Dose Painting in
PET Images","none",
"A2FSeg: Adaptive Multi-modal Fusion
Network for Medical Image Segmentation","none",
"Medical Boundary Diffusion Model for
Skin Lesion Segmentation","none",
"TransNuSeg: A Lightweight Multi-task
Transformer for Nuclei Segmentation","none",
"EGE-UNet: An Efficient Group Enhanced
UNet for Skin Lesion Segmentation","none",
"Diffusion Kinetic Model for Breast
Cancer Segmentation in Incomplete
DCE-MRI","none",
"Morphology-Inspired Unsupervised Gland
Segmentation via Selective Semantic
Grouping","none",
"Merging-Diverging Hybrid Transformer
Networks for Survival Prediction in Head
and Neck Cancer","none",
"ALL-IN: A Local GLobal Graph-Based
DIstillatioN Model for Representation
Learning of Gigapixel Histopathology
Images With Application In Cancer Risk
Assessment","none",
"An AI-Ready Multiplex Staining Dataset
for Reproducible and Accurate
Characterization of Tumor Immune
Microenvironment","none",
"IIB-MIL: Integrated Instance-Level and
Bag-Level Multiple Instances Learning
with Label Disambiguation for
Pathological Image Analysis","none",
"Multi-scale Prototypical Transformer for
Whole Slide Image Classification","none",
"Thyroid Nodule Diagnosis in Dynamic
Contrast-Enhanced Ultrasound via
Microvessel Infiltration Awareness","none",
"Triangular Analysis of Geographical
Interplay of Lymphocytes (TriAnGIL):
Predicting Immunotherapy Response in
Lung Cancer","none",
"NASDM: Nuclei-Aware Semantic
Histopathology Image Generation Using
Diffusion Models","none",
"DiffDP: Radiotherapy Dose Prediction via
a Diffusion Model","none",
"Instance-Aware Diffusion Model for Gland
Segmentation in Colon Histology Images","none",
"Adaptive Supervised PatchNCE Loss for
Learning H&E-to-IHC Stain Translation
with Inconsistent Groundtruth Image
Pairs","none",
"HIGT: Hierarchical Interaction
Graph-Transformer for Whole Slide Image
Analysis","none",
"MPBD-LSTM: A Predictive Model for
Colorectal Liver Metastases Using Time
Series Multi-phase Contrast-Enhanced CT
Scans","none",
"Deep Cellular Embeddings: An Explainable
Plug and Play Improvement for Feature
Representation in Histopathology","none",
"Progressive Attention Guidance for Whole
Slide Vulvovaginal Candidiasis Screening","none",
"CellGAN: Conditional Cervical Cell
Synthesis for Augmenting
Cytopathological Image Classification","none",
"An Anti-biased TBSRTC-Category Aware
Nuclei Segmentation Framework with a
Multi-label Thyroid Cytology Benchmark","none",
"Semi-supervised Pathological Image
Segmentation via Cross Distillation of
Multiple Attentions","none",
"Towards Novel Class Discovery: A Study
in Novel Skin Lesions Clustering","none",
"Pathology-and-Genomics Multimodal
Transformer for Survival Outcome
Prediction","none",
"Gene-Induced Multimodal Pre-training for
Image-Omic Classification","none",
"Multi-scope Analysis Driven Hierarchical
Graph Transformer for Whole Slide Image
Based Cancer Survival Prediction","none",
"Mining Negative Temporal Contexts for
False Positive Suppression in Real-Time
Ultrasound Lesion Detection","none",
"Iteratively Coupled Multiple Instance
Learning from Instance to Bag Classifier
for Whole Slide Image Classification","none",
"Artifact Restoration in Histology Images
with Diffusion Probabilistic Models","none",
"Probabilistic Modeling Ensemble Vision
Transformer Improves Complex Polyp
Segmentation","none",
"Segmentation of Kidney Tumors on
Non-Contrast CT Images Using
Protuberance Detection Network","none",
"Skin Lesion Correspondence Localization
in Total Body Photography","none",
"Clinical Evaluation of AI-Assisted
Virtual Contrast Enhanced MRI in Primary
Gross Tumor Volume Delineation for
Radiotherapy of Nasopharyngeal Carcinoma","none",
"Automated CT Lung Cancer Screening
Workflow Using 3D Camera","none",
"Multi-task Learning of Histology and
Molecular Markers for Classifying
Diffuse Glioma","none",
"Second-Course Esophageal Gross Tumor
Volume Segmentation in CT with Prior
Anatomical and Radiotherapy Information","none",
"CLIP-Lung: Textual Knowledge-Guided Lung
Nodule Malignancy Prediction","none",
"Self-feedback Transformer: A Multi-label
Diagnostic Model for Real-World
Pancreatic Neuroendocrine Neoplasms Data","none",
"3D Mitochondria Instance Segmentation
with Spatio-Temporal Transformers","none",
"Physics-Informed Conditional Autoencoder
Approach for Robust Metabolic CEST MRI
at 7T","none",
"Deep Unsupervised Clustering for
Conditional Identification of Subgroups
Within a Digital Pathology Image Set","none",
"A Texture Neural Network to Predict the
Abnormal Brachial Plexus from Routine
Magnetic Resonance Imaging","none",
"CircleFormer: Circular Nuclei Detection
in Whole Slide Images with Circle
Queries and Attention","none",
"Self-supervised Dense Representation
Learning for Live-Cell Microscopy with
Time Arrow Prediction","none",
"Prompt-MIL: Boosting Multi-instance
Learning Schemes via Task-Specific
Prompt Tuning","none",
"Prompt-Based Grouping Transformer for
Nucleus Detection and Classification","none",
"Relaxation-Diffusion Spectrum Imaging
for Probing Tissue Microarchitecture","none",
"atTRACTive: Semi-automatic White Matter
Tract Segmentation Using Active Learning","none",
"B-Cos Aligned Transformers Learn
Human-Interpretable Features","none",
"Intraoperative CT Augmentation for
Needle-Based Liver Interventions","none",
"Optical Coherence Elastography Needle
for Biomechanical Characterization of
Deep Tissue","none",
"Pelvic Fracture Segmentation Using a
Multi-scale Distance-Weighted Neural
Network","none",
"Towards Multi-modal Anatomical Landmark
Detection for Ultrasound-Guided Brain
Tumor Resection with Contrastive
Learning","none",
"Deep Reinforcement Learning Based System
for Intraoperative Hyperspectral Video
Autofocusing","none",
"Surgical Video Captioning with
Mutual-Modal Concept Alignment","none",
"Regularized Kelvinlet Functions to Model
Linear Elasticity for Image-to-Physical
Registration of the Breast","none",
"Learning Expected Appearances for
Intraoperative Registration During
Neurosurgery","none",
"Dose Guidance for Radiotherapy-Oriented
Deep Learning Segmentation","none",
"FocalErrorNet: Uncertainty-Aware Focal
Modulation Network for Inter-modal
Registration Error Estimation in
Ultrasound-Guided Neurosurgery","none",
"Detecting the Sensing Area of a
Laparoscopic Probe in Minimally Invasive
Cancer Surgery","none",
"A Novel Video-CTU Registration Method
with Structural Point Similarity for
FURS Navigation","none",
"Cascade Transformer Encoded
Boundary-Aware Multibranch Fusion
Networks for Real-Time and Accurate
Colonoscopic Lesion Segmentation","none",
"Unified Brain MR-Ultrasound Synthesis
Using Multi-modal Hierarchical
Representations","none",
"StructuRegNet: Structure-Guided
Multimodal 2D-3D Registration","none",
"X2Vision: 3D CT Reconstruction from
Biplanar X-Rays with Deep Structure
Prior","none",
"Structure-Preserving Synthesis: MaskGAN
for Unpaired MR-CT Translation","none",
"FreeSeed: Frequency-Band-Aware and
Self-guided Network for Sparse-View CT
Reconstruction","none",
"Co-learning Semantic-Aware Unsupervised
Segmentation for Pathological Image
Registration","none",
"Revealing Anatomical Structures in PET
to Generate CT for Attenuation
Correction","none",
"An Explainable Deep Framework: Towards
Task-Specific Fusion for Multi-to-One
MRI Synthesis","none",
"Geometric Ultrasound Localization
Microscopy","none",
"Reflectance Mode Fluorescence Optical
Tomography with Consumer-Grade Cameras","none",
"DISA: DIfferentiable Similarity
Approximation for Universal Multimodal
Registration","none",
"Solving Low-Dose CT Reconstruction via
GAN with Local Coherence","none",
"Noise2Aliasing: Unsupervised Deep
Learning for View Aliasing and Noise
Reduction in 4DCBCT","none",
"Trackerless Volume Reconstruction from
Intraoperative Ultrasound Images","none",
"LightNeuS: Neural Surface Reconstruction
in Endoscopy Using Illumination Decline","none",
"Pre-operative Survival Prediction of
Diffuse Glioma Patients with Joint Tumor
Subtyping","notably, tumor types have been found to be strongly correlated with the
prognosis of diffuse glioma our method is evaluated using pre-operative
multimodal mr brain images of 1726 diffuse glioma patients collected from
cooperation hospitals and a public dataset brats2019 diffuse glioma can be
classified into three histological types: the oligodendroglioma, the
astrocytoma, and the glioblastoma the tumor subtyping network is trained
independently before being integrated into the backbone. to solve the inherent
issue of imbalanced tumor type in the training data collected in clinic, a novel
ordinal manifold mixup based feature augmentation is applied in the training of
the tumor subtyping network.",
"EoFormer: Edge-Oriented Transformer for
Brain Tumor Segmentation","our method comprises the efficient hybrid encoder and the edgeoriented
transformer decoder. the encoder effectively extracts features from images by
striking a balance between cnn and transformer architectures.",
"Detection of Basal Cell Carcinoma in
Whole Slide Images","our model was evaluated on: as shown in table in this paper, we introduce
sc-net, a novel nas framework for skin cancer detection in pathology images. by
formulating sc-net as a balanced supernet, we ensure fair ranking and treatment
of all potential architectures.",x
"Multi-Target Domain Adaptation with
Prompt Learning for Medical Image
Segmentation","our proposed method was evaluated using two medical image segmentation da
datasets. the first dataset, i.e., cross-age infant segmentation the first
dataset is for infant brain segmentation (white matter, gray matter and
cerebrospinal fluid).",
"Detection of Basal Cell Carcinoma in
Whole Slide Images","our sc-net framework addresses this by ensuring fair training and precise
ranking. the efficacy of sc-net was confirmed by our experimental results, with
our resnet50 achieving 96.2% top-1 accuracy and 96.5% auc, outperforming
baseline methods by 4.8% and 4.7% respectively.",x
"EdgeMixup: Embarrassingly Simple Data
Alteration to Improve Lyme Disease
Lesion Segmentation and Diagnosis
Fairness","our source code is available at this url we evaluate edgemixup for skin disease
segmentation and classification tasks. our results show that edgemixup is able
to increase segmentation utility and improve fairness.",x
"FLIm-Based in Vivo Classification of
Residual Cancer in the Surgical Cavity
During Transoral Robotic Surgery","residual tumor in the cavity after head and neck cancer (hnc) surgery is a
significant concern as it increases the risk of cancer recurrence and can
negatively impact the patient's prognosis during transoral robotic surgery
(tors), surgeons may assess the surgical margin via visual inspection, palpation
of the excised specimen and intraoperative frozen sections analysis (ifsa)
label-free mesoscopic fluorescence lifetime imaging (flim) has been demonstrated
as an intraoperative imaging guidance technique with high classification
performance (auc = 0.94) in identifying in vivo tumor margins at the epithelial
surface prior to tumor excision however, ability of label-free flim to identify
residual tumors in vivo in the surgical cavity (deep margins) has not been
reported. one significant challenge in developing a flim-based classifier to
detect tumor in the surgical cavity is the presence of highly imbalanced labels.",
"EdgeMixup: Embarrassingly Simple Data
Alteration to Improve Lyme Disease
Lesion Segmentation and Diagnosis
Fairness","specifically, a typical lyme lesion exhibits a bull's eye pattern with one
central redness and one outer circle, which is different from darkness lesion in
cancer-related skin disease like melanoma. furthermore, clinical data collected
for training is usually imbalanced in some properties, e.g., more samples with
light skins compared with dark skins.",x
"Multi-modal Pathological Pre-training
via Masked Autoencoders for Breast
Cancer Diagnosis","the automatic registration of breast cancer tissue (acrobat) challenge bci
challenge. breast cancer immunohistochemical image generation challenge breast
cancer (bc) is one of the most common malignant tumors in women worldwide and it
causes nearly 0.7 million deaths in 2020 recently, with the development of
transformer, multi-modal pre-training has achieved great success in the fields
of computer vision (cv) and natural language processing (nlp).",
"SimPLe: Similarity-Aware Propagation
Learning for Weakly-Supervised Breast
Cancer Segmentation in DCE-MRI","the batch size was 2, consisting of a random foreground patch and a random
background patch located via initial segmentation y init . such setting can help
alleviate class imbalance issue.",x
"MixUp-MIL: Novel Data Augmentation for
Multiple Instance Learning and a Study
on Thyroid Cancer Diagnosis","the considered dual-stream approach, including an embedding and instance-based
stream, exhibited slightly improved average scores, compared to embedding-based
mil only. in our analysis, we focused on the embedding-based configuration and
on the balanced combined approach (referred to as 2/2).",
"QCResUNet: Joint Subject-Level and
Voxel-Level Prediction of Segmentation
Quality","the dice loss and cross-entropy loss were averaged across the number of pixels i
in a batch. the two parts are combined using a weight parameter λ to balance the
different loss components: 3 experiments for this study, pre-operative
multimodal mri scans of varying grades of glioma were obtained from the 2021
brain tumor segmentation (brats) challenge in this work, we proposed a novel cnn
architecture called qcresunet to perform automatic brain tumor segmentation qc
in multimodal mri scans.",
"EdgeMixup: Embarrassingly Simple Data
Alteration to Improve Lyme Disease
Lesion Segmentation and Diagnosis
Fairness","the key insight is to alter a skin image with a linear combination of the source
image and a detected lesion boundary so that the lesion structure is preserved
while minimizing skin tone information. such an improvement is an iterative
process that gradually improves lesion edge detection and segmentation fairness
until convergence.",
"Multi-Target Domain Adaptation with
Prompt Learning for Medical Image
Segmentation","the quantitative comparison results of cross-age infant brain segmentation is
presented in table when transferring to a single target domain in the brain
tumor segmentation task, our proposed da solution improves about 3.09 dice in
the target lgg domain. also, the proposed method shows considerable improvements
over adda and cycada, but very subtle improvements to the sifa and adr methods
(although adr shows a small advantage on the whole category).",
"Deep Learning for Tumor-Associated
Stroma Identification in Prostate
Histopathology Slides","the stroma classifier and source discriminator are trained simultaneously,
aiming to effectively classify tumor-associated stroma while impeding accurate
source prediction by the discriminator. the optimization process aims to achieve
a balance between these two goals, resulting in an embedding space that encodes
as much information as possible about tumor-associated stroma identification
while not encoding any information on the data source.",
"EdgeMixup: Embarrassingly Simple Data
Alteration to Improve Lyme Disease
Lesion Segmentation and Diagnosis
Fairness","then, the detected, converged edge in the first step also helps classification
of lyme diseases via mixup with improved fairness. our source code is available
at this url we evaluate edgemixup for skin disease segmentation and
classification tasks.",x
"Bridging Ex-Vivo Training and
Intra-operative Deployment for Surgical
Margin Assessment with Evidential Graph
Transformer","then, the expected probability for the c-th class p c and the total uncertainty
u for each sample (x i ) can be calculated as p c = αc s , and u = c s ,
respectively, where s = c c=1 α c . to fit the dirichlet distribution to the
output layer of our network, we use a loss function consisting of the prediction
error l p i and the evidence adjustment where λ is the annealing coefficient to
balance the two terms.",
"WeakPolyp: You only Look Bounding Box
for Polyp Segmentation","then, this transformed mask is supervised by the bounding box annotation. this
indirect supervision avoids the misleading of box-shape bias of annotations.",x
