Paper Title,Extracted Sentence
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,the institutional review board approved the study with the consent of the patients.
SLPD: Slide-Level Prototypical Distillation for WSIs,"in computational histopathology, visual representation extraction is a fundamental problem  more recently, some works propose to close the gap via directly learning slidelevel representations in pre-training."
SLPD: Slide-Level Prototypical Distillation for WSIs,"for instance, hipt  in this paper, we propose to encode the intra-and inter-slide semantic structures by modeling the mutual-region/slide relations, which is called slpd: slide-level prototypical distillation for wsis."
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,nuclei segmentation in histopathology images is an important task for cancer diagnosis and immune response prediction  thousands of instances are tedious and the ambiguous nature of nuclei boundaries requires high-level expert annotators.
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"to address this, weakly-supervised nuclei segmentation methods  to overcome these challenges, we propose a novel weakly supervised instance segmentation method that effectively distinguishes adjacent nuclei and is robust to point shifts."
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"the proposed model consists of three modules responsible for binary segmentation, boundary delineation, and instance separation."
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,overall objective.
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"to sum up, the overall optimization problem is formulated as a mixture of two objectives: the one requiring higher conditional likelihood w.r.t."
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"ground truth labels y and carried out through the cross-entropy loss l ce (•; y); the other one based on knowledge distillation: where λ is a hyperparameter weighting the tradeoff between the teaching signals provided by labels and the higher resolution, while β balances the contributions of the consistency regularization introduced in eq."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"on top of that, we observe that in non-linear probing regime, it performs (within the standard deviation) as well as the fpn trained from scratch while having x50 times fewer trainable parameters (see fig."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"we reproduce the key results on msd challenge ct datasets, which contain tumor and organ segmentation tasks."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"table  in this work, we present vox2vec -a self-supervised framework for voxel-wise representation learning in medical imaging."
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,we plan to investigate further how the performance of vox2vec scales with the increasing size of the pre-training dataset and the pre-trained architecture size.
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,another interesting research direction is exploring the effectiveness of vox2vec with regard to domain adaptation to address the challenges of domain shift between different medical imaging datasets obtained from different sources.
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,a particular interest is a lowshot scenario when only a few examples from the target domain are available.
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"deep learning has brought medical image segmentation into the era of datadriven approaches, and has made significant progress in this field  domain adaptation (da) has been proposed and investigated to combat distribution shift in medical image segmentation."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"many researchers proposed using adversarial learning to tackle distribution shift problems  to tackle the aforementioned issues, we propose utilizing prompt learning to take full advantage of domain information."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"prompt learning  in this paper, we introduce a domain prompt learning method (prompt-da) to tackle distribution shift in multi-target domains."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,we evaluate our proposed method on two multi-domain datasets: 1).
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,the infant brain mri dataset for cross-age segmentation; 2).
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,the brats2018 dataset for cross-grade tumor segmentation.
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,our proposed method was evaluated using two medical image segmentation da datasets.
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the first dataset, i.e., cross-age infant segmentation  the first dataset is for infant brain segmentation (white matter, gray matter and cerebrospinal fluid)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"to build the cross-age dataset, we take advantage 10 brain mris of 6-month-old from iseg2019  the 2nd dataset is for brain tumor segmentation (enhancing tumor, peritumoral edema and necrotic and non-enhancing tumor core), which has 285 mri samples (210 hgg and 75 lgg)."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,we take hgg as the source domain and lgg as the target domain.
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"we compared our method with four sota methods: adda  for fair comparison, we have replaced the backbone of these models with the same we used in our approach."
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the quantitative comparison results of cross-age infant brain segmentation is presented in table  when transferring to a single target domain in the brain tumor segmentation task, our proposed da solution improves about 3.09 dice in the target lgg domain."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,none
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"the resulting images are of gigapixel size, rendering their computational analysis challenging."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"to deal with this issue, multiple instance learning (mil) schemes based on weakly supervised training are used for wsi classification tasks."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"in such schemes, the wsi is typically divided into a grid of patches, with general purpose features derived from pretrained imagenet  state space models are designed to efficiently model long sequences, such as the sequences of patches that arise in wsi mil."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"based on longitudinal imaging for a given patient it requires establishing which lesions are corresponding (i.e., same lesion, observed at different timepoints), which lesions have disappeared and which are new compared to prior scanning."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"this information can be leveraged to assess treatment response, e.g., by analyzing the evolution of size and morphology for a given tumor  in practice, the development of automatic and reliable lesion tracking solutions is hindered by the complexity of the data (over different modalities), the absence of large, annotated datasets, and the difficulties associated with lesion identification (i.e., varying sizes, poses, shapes, and sparsely distributed locations)."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"in this work, we present a multi-scale self-supervised learning solution for lesion tracking in longitudinal studies using the capabilities of contrastive learning  our proposed method brings two elements of novelty from a technical point of view: (1) the multi-scale approach for the anatomical embedding learning and (2) a positive sampling approach that incorporates anatomically significant landmarks across different subjects."
Geometry-Invariant Abnormality Detection,none
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,none
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
Synthetic Augmentation with Large-Scale Unconditional Pre-training,"it is worth noting that the labels for these samples have been kept, which allows the fine-tuning process to be guided by labeled data, leading to better predictions on the specific task or domain being trained."
Synthetic Augmentation with Large-Scale Unconditional Pre-training,"by ensuring that the fine-tuning process is representative of the entire dataset through even sampling from each tissue type, we can eliminate bias towards any particular tissue type."
Synthetic Augmentation with Large-Scale Unconditional Pre-training,we evaluate the fine-tuned model on the official test set.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,a must-have ingredient for training a deep neural network (dnn) is a large number of labelled data that is not always available in real-world applications.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,this challenge of data annotation becomes even worse for medical image segmentation tasks that require pixel-level annotation by experts.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,data augmentation (da) is a recognized approach to tackle this challenge.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"in other words, the deformation-based transformations are learned globally for the image."
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,this assumption is restrictive and associated with several challenges.
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"first, the learning of a global image-level transformation requires image alignment that may be non-trivial in many scenarios, such as the alignment of tumours that can appear at different locations of an image, or alignment of images from different modalities."
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"the learning of transformations itself is also complicated by the presence of other objects in the image and is best suited when the object of interest is always in the same (and often centre) location in all the images, i.e., images are globally aligned a priori  intuitively, object-centric transformations and augmentations have the potential to overcome the challenges associated with global image-level transformations."
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"recently, an object-centric augmentation method termed as tumorcp  similarly, other existing works on object-level augmentation of lesions have mostly focused on position, orientation, and random transformations of the lesion on different backgrounds  in this paper, we present a novel approach for learning and transferring object-centric deformations for da in medical image segmentation tasks."
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,"figure  in this study, we proposed a novel xai approach to explain the functions and behavior of an mtann model for semantic segmentation of liver tumors in ct."
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,"our structure optimization algorithm refined the structure and made every hidden unit in the model have a clear, meaningful function by removing redundant hidden units and ""condensing"" the functions into fewer hidden units, which solved the issue of unstable xai results with conventional xai methods."
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,the unsupervised hierarchical clustering algorithm in our xai approach grouped the hidden units with a similar function into one group so as to explain their functions by group.
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,liver cancer is one of the most deadly cancers and has the second highest fatality rate  a single-phase lesion annotation means the annotation of both lesion position and its class.
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"in hospitals, collected multi-phase cts are normally grouped by patients rather than lesions, which makes single-phase lesion annotation insufficient for feature fusion learning."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"however, the number of lesions inside a single patient can vary from one to dozens and they can be of different types in realistic cases."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"we use additional cross phase tokens at the last stage to complete a multi-phase fusion, which can focus on cross-phase communication and improve the fusion effectiveness as compared with conventional modes."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"while most multi-phase liver lesion classification studies use datasets with no more than three phases (without dl phase for its difficulty of collection) or no more than six lesion classes, we validate the whole framework on an in-house dataset with four phases of abdominal ct and seven classes of liver lesions."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"considering the disproportion of axial lesion slice number and the relatively small scale of the dataset, we adopt a 2-d network in classification part instead of 3-d in pre-processing part and achieve a 90.9% accuracy."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"to validate our segmentation framework, we first train on the fully-annotated data (average performance of five repetitions reported)."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"with a patch extraction stride s = 256 pixels, our framework yields an froc score of 0.760 that is equivalent to the challenge top 2, and an miou (tumor) of 0.749, which is higher than the most comparable method in "
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"humans inherently learn in an incremental manner, acquiring new concepts over time without forgetting previous ones."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"in contrast, deep learning models suffer from catastrophic forgetting  the medical domain faces a similar problem: the ability to dynamically extend a model to new classes is critical for multiple organ and tumor segmentation, wherein the key obstacle lies in mitigating 'forgetting.' a typical strategy involves retaining some previous data."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"for instance, liu et al."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"therefore, we identify two main open questions that must be addressed when designing a multi-organ and tumor segmentation framework."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,q1: can we relieve the forgetting problem without needing previous data and annotations?
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,q2: can we design a new model architecture that allows us to share more parameters among different continual learning steps?
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"to tackle the above questions, in this paper, we propose a novel continual multi-organ and tumor segmentation method that overcomes the forgetting problem with little memory and computation overhead."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"first, inspired by knowledge distillation methods in continual learning  we focus on organ/tumor segmentation because it is one of the most critical tasks in medical imaging  segment liver tumors in the lits dataset."
Efficient Subclass Segmentation in Medical Images,problem definition.
Efficient Subclass Segmentation in Medical Images,"we start by considering a set of r coarse classes, denoted by y c = {y 1 , ..., y r }, such as background and brain tumor, and a set of n training images, annotated with y c , denoted by d c = {(x l , y l )|y l i ∈ y c } n l=1 ."
Efficient Subclass Segmentation in Medical Images,"intuitively, given sufficient superclass labels in supervised learning, the superclassification head tends to reduce feature distance among samples within the same superclass, which conflicts with the goal of increasing the distance between subclasses within the same superclass."
Efficient Subclass Segmentation in Medical Images,"to alleviate this issue, we aim to enhance the internal diversity of the distribution within the same superclass while preserving the discriminative features among superclasses."
Efficient Subclass Segmentation in Medical Images,"to achieve this, we propose separate normalization(sn) to separately process feature maps belonging to hierarchical foreground and background divided by superclass labels."
Efficient Subclass Segmentation in Medical Images,"this segmentation result is supervised by the superposition of the pseudo label map z pse and subclass labels z, with weighting factor α: the intuition behind this framework is to simultaneously leverage the information from both unlabeled and labeled data by incorporating a more robust supervision from transform-invariant pseudo labels."
Efficient Subclass Segmentation in Medical Images,while mixing up only the semantic foreground provides a way of exchanging knowledge between similar foreground objects while lifting the confirmation bias in pseudo labeling 
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,trainee physicians require several years of experience with a diverse range of clinical cases to develop sufficient skills and expertise.
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"however, designing educational materials solely based on real-world data poses several challenges."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"for example, although small but significant disease characteristics (e.g., depth of cancer invasion) can sometimes alter diagnosis and treatment, collecting pairs with and without these characteristics is cumbersome."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"another major challenge is longitudinal tracking of pathological progression over time (e.g., from the early stage of cancer to the advanced stage), which is difficult to understand because medical images are often snapshots."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,privacy is also a concern since images of educational materials are widely distributed.
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"our medical image editing method can be applied to medical education, which has been overlooked as an application of ai."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"future challenges include improving scalability with fewer manual operations, validating segmentation maps from a more objective perspective, and comparing our proposed algorithm with existing methods, such as those based on superpixels  data use declaration and acknowledgment: the pelvic mri and chest ct datasets were collected from the national cancer center hospital."
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"the study, data use, and data protection procedures were approved by the ethics committee of the national cancer center, tokyo, japan (protocol number 2016-496)."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"multi-modal learning has become a popular research area in computer vision and medical image analysis, with modalities spanning across various media types, including texts, audio, images, videos and multiple sensor data."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"this approach has been utilised in robot control  the missing modality issue is a significant challenge in the multi-modal domain, and it has motivated the community to develop approaches that attempt to address this problem."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,havaei et al.
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"aiming at this issue, we propose the non-dedicated training model -we propose the learnable cross-modal knowledge distillation (lckd) model to address missing modality problem in multi-modal learning."
Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"it is a simple yet effective model designed from the viewpoint of distilling crossmodal knowledge to maximise the performance for all tasks; -the lckd approach is designed to automatically identify the important modalities per task, which helps the cross-modal knowledge distillation process."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,training data.
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"the real-world dataset used in experiments is provided by the fets challenge organizer, which is the training set of the whole dataset about brain tumor segmentation."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"in order to evaluate the performance of fedgrav, we partition the dataset composed of 341 data samples  experiment results on the cifar-10."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,it can adaptively adjust the aggregation weights and explore the internal correlations of local models more effectively.
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"we evaluated our method on cifar-10 and real-world miccai federated tumor segmentation challenge (fets) datasets, and the superior results demonstrated the effectiveness and robustness of our fedgrav."
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,none
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"ultrasound imaging is a very effective technique for breast lesion diagnosis, which has high sensitivity."
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"automatically detecting breast lesions is a challenging problem with a potential to aid in improving the efficiency of radiologists in ultrasound-based breast cancer diagnosis  most existing breast lesion detection methods can be categorized into imagebased  to address the aforementioned issues, we propose a spatial-temporal deformable attention based network, named stnet, for detecting the breast lesions in ultrasound videos."
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"within our stnet, we introduce a spatial-temporal deformable attention module to fuse multi-scale spatial-temporal information among different frames, and further integrate it into each layer of the encoder and decoder."
DeDA: Deep Directed Accumulator,none
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"deep learning techniques have achieved unprecedented success in the field of medical image classification, but this is largely due to large amount of annotated data  active learning (al) is an effective approach to address this issue from a data selection perspective, which selects the most informative samples from an unlabeled sample pool for experts to label and improves the performance of the trained model with reduced labeling cost  recently, ning et al."
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"in this paper, we propose a novel al framework under an open-set scenario, and denote it as openal, which cannot only query as many target class samples as possible but also query the most informative samples from the target classes."
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,sfusion without ce denotes that feature representations are directly fed into the ma module (fig.
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"in this paper, we propose a self-attention based n-to-one fusion block sfusion to tackle the problem of multimodal missing modalities fusion."
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"as a data-dependent fusion strategy, sfusion can automatically learn the latent correlations between different modalities and builds a shared feature representation."
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,"serious skin diseases such as melanoma can be life-threatening, making early detection and treatment essential  accuracy and robustness requirements in applications, which is hard to suffice due to the long-tailed occurrence of diseases in the real-world."
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,long-tailed problem is usually caused by differences in incidence rate and difficulties in data collection.
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,"some diseases are common while others are rare, making it difficult to collect balanced data  to tackle the challenge of learning unbiased classifiers with imbalanced data, many previous works focus on three main ideas, including re-sampling data  recently, contrastive learning (cl) methods pose great potential for representation learning when trained on imbalanced data  to address the above issues, we propose a class-enhancement contrastive learning (ecl) method for skin lesion classification, differences between scl and ecl are illustrated in fig."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,datasets and pre-trained model.
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we conducted experiments on automating liver tumor segmentation in contrast-enhanced ct scans, a crucial task in liver cancer diagnosis and surgical planning  collecting large-scale data from our hospital and training a new model will be expensive."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"therefore, we can use the model trained from them as a starting point and use slpt to adapt it to our hospital with minimum cost."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we collected a dataset from our in-house hospital comprising 941 ct scans with eight categories: hepatocellular carcinoma, cholangioma, metastasis, hepatoblastoma, hemangioma, focal nodular hyperplasia, cyst, and others."
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,it covers both major and rare tumor types.
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,recent years have witnessed the remarkable success of deep learning in medical image segmentation.
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,"however, although the performance of deep learning models even surpasses the accuracy of human exports on some segmentation tasks, two challenges still persist."
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,(1) different segmentation tasks are usually tackled separately by specialized networks (see fig.
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,several strategies have been attempted to address both challenges.
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,"first, multi-head networks (see fig."
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"therefore, developing automatic and accurate histopathological image analysis methods that leverage recent progress in deep learning has received significant attention in recent years."
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"in this work, we investigate the problem of diagnosing colorectal cancer, which is one of the most common reason for cancer deaths around the world and particularly in europe and america  existing deep learning-based colorectal tissue classification methods  while generative adversarial networks (gans)  the ability of generative models  our approach: while the aforementioned works explore fs generation in natural images, to the best of our knowledge, we are the first to investigate fs generation in colorectal tissue images."
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,"in this work, we look into multi-class colorectal tissue analysis problem, with low and high-grade tumors included in the set."
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,dataset and evaluation metric.
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,we use the gland segmentation challenge dataset 
DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,none
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,none
Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,none
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,computer aided diagnosis (cad) systems can significantly reduce such heavy workloads.
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,the accuracy of the existing nodule detection model reaches 96.1%  several studies have proposed solutions to tackle the large scale span challenges at both the input and feature level.
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,"for instance, some approaches adopt multi-scale inputs  recently, some click-based lesion segmentation methods  in this paper, we propose a scale-aware test-time click adaptation (sattca) method, which simply utilizes easily obtainable lesion click (i.e., the center detected nodule) to adjust the parameters of the network normalization layers "
