,title
36,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy (vol1) (vol1)
37,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation (vol1) (vol1)
38,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography (vol1) (vol1)
39,Domain Adaptation for Medical Image Segmentation Using Transformation-Invariant Self-training (vol1) (vol1)
40,SLPD: Slide-Level Prototypical Distillation for WSIs (vol1) (vol1)
41,Masked Frequency Consistency for Domain-Adaptive Semantic Segmentation of Laparoscopic Images (vol1) (vol1)
42,Can Point Cloud Networks Learn Statistical Shape Models of Anatomies? (vol1) (vol1)
43,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation (vol1) (vol1)
44,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks (vol1) (vol1)
45,Improved Multi-shot Diffusion-Weighted MRI with Zero-Shot Self-supervised Learning Reconstruction (vol1) (vol1)
46,Image2SSM: Reimagining Statistical Shape Models from Images with Radial Basis Functions (vol1) (vol1)
47,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation (vol1) (vol1)
48,LSOR: Longitudinally-Consistent Self-Organized Representation Learning (vol1) (vol1)
49,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis (vol1) (vol1)
50,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023 (vol1) (vol1)
51,A Small-Sample Method with EEG Signals Based on Abductive Learning for Motor Imagery Decoding (vol1) (vol1)
52,Weakly Supervised Lesion Localization of Nascent Geographic Atrophy in Age-Related Macular Degeneration (vol1) (vol1)
53,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging (vol1) (vol1)
54,Multi-modal Semi-supervised Evidential Recycle Framework for Alzheimer’s Disease Classification (vol1) (vol1)
55,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs (vol1) (vol1)
56,"An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and Its Application for Automatically Computing the Conformational Pathway (vol1) (vol1)"
57,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation (vol1) (vol1)
58,Modeling Alzheimers’ Disease Progression from Multi-task and Self-supervised Learning Perspective with Brain Networks (vol1) (vol1)
59,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images (vol1) (vol1)
60,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation (vol1) (vol1)
61,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation (vol1) (vol1)
62,UOD: Universal One-Shot Detection of Anatomical Landmarks (vol1) (vol1)
63,Source-Free Domain Adaptive Fundus Image Segmentation with Class-Balanced Mean Teacher (vol1) (vol1)
64,MedGen3D: A Deep Generative Framework for Paired 3D Image and Mask Generation (vol1) (vol1)
65,PET Image Denoising with Score-Based Diffusion Probabilistic Models (vol1) (vol1)
66,CL-ADDA: Contrastive Learning with Amplitude-Driven Data Augmentation for fMRI-Based Individualized Predictions (vol1) (vol1)
67,Cross-Dataset Adaptation for Instrument Classification in Cataract Surgery Videos (vol1) (vol1)
68,Gall Bladder Cancer Detection from US Images with only Image Level Labels (vol1) (vol1)
69,Structured State Space Models for Multiple Instance Learning in Digital Pathology (vol1) (vol1)
70,Automatic Retrieval of Corresponding US Views in Longitudinal Examinations (vol1) (vol1)
71,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision (vol1) (vol1)
72,Geometry-Invariant Abnormality Detection (vol1) (vol1)
73,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information (vol2) (vol2)
74,Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis (vol2) (vol2)
75,Attentive Deep Canonical Correlation Analysis for Diagnosing Alzheimer’s Disease Using Multimodal Imaging Genetics (vol2) (vol2)
76,NeuroExplainer: Fine-Grained Attention Decoding to Uncover Cortical Development Patterns of Preterm Infants (vol2) (vol2)
77,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI (vol2) (vol2)
78,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models (vol2) (vol2)
79,Synthetic Augmentation with Large-Scale Unconditional Pre-training (vol2) (vol2)
80,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation (vol2) (vol2)
81,Few Shot Medical Image Segmentation with Cross Attention Transformer (vol2) (vol2)
82,Rethinking Semi-Supervised Federated Learning: How to Co-train Fully-Labeled and Fully-Unlabeled Client Imaging Data (vol2) (vol2)
83,FedContrast-GPA: Heterogeneous Federated Optimization via Local Contrastive Learning and Global Process-Aware Aggregation (vol2) (vol2)
84,Class Specific Feature Disentanglement and Text Embeddings for Multi-label Generalized Zero Shot CXR Classification (vol2) (vol2)
85,CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training (vol2) (vol2)
86,Distilling BlackBox to Interpretable Models for Efficient Transfer Learning (vol2) (vol2)
87,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification (vol2) (vol2)
88,EdgeAL: An Edge Estimation Based Active Learning Approach for OCT Segmentation (vol2) (vol2)
89,Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment (vol2) (vol2)
90,Prediction of Cognitive Scores by Joint Use of Movie-Watching fMRI Connectivity and Eye Tracking via Attention-CensNet (vol2) (vol2)
91,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images (vol2) (vol2)
92,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models (vol2) (vol2)
93,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling (vol2) (vol2)
94,Spatiotemporal Hub Identification in Brain Network by Learning Dynamic Graph Embedding on Grassmannian Manifold (vol2) (vol2)
95,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification (vol2) (vol2)
96,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation (vol2) (vol2)
97,Aneurysm Pose Estimation with Deep Learning (vol2) (vol2)
98,Localized Questions in Medical Visual Question Answering (vol2) (vol2)
99,PLD-AL: Pseudo-label Divergence-Based Active Learning in Carotid Intima-Media Segmentation for Ultrasound Images (vol2) (vol2)
100,Federated Uncertainty-Aware Aggregation for Fundus Diabetic Retinopathy Staging (vol2) (vol2)
101,Debiasing Medical Visual Question Answering via Counterfactual Training (vol2) (vol2)
102,FedIIC: Towards Robust Federated Learning for Class-Imbalanced Medical Image Classification (vol2) (vol2)
103,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation (vol2) (vol2)
104,L3DMC: Lifelong Learning Using Distillation via Mixed-Curvature Space (vol2) (vol2)
105,An Interpretable and Attention-Based Method for Gaze Estimation Using Electroencephalography (vol2) (vol2)
106,Adaptive Multi-scale Online Likelihood Network for AI-Assisted Interactive Segmentation (vol2) (vol2)
107,Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases (vol2) (vol2)
108,Client-Level Differential Privacy via Adaptive Intermediary in Federated Medical Imaging (vol2) (vol2)
109,Frequency Domain Adversarial Training for Robust Volumetric Medical Segmentation (vol2) (vol2)
110,Reconstructing the Hemodynamic Response Function via a Bimodal Transformer (vol2) (vol2)
111,Weakly Supervised Medical Image Segmentation via Superpixel-Guided Scribble Walking and Class-Wise Contrastive Regularization (vol2) (vol2)
112,Continual Learning for Abdominal Multi-organ and Tumor Segmentation (vol2) (vol2)
113,Right for the Wrong Reason: Can Interpretable ML Techniques Detect Spurious Correlations? (vol2) (vol2)
114,Efficient Subclass Segmentation in Medical Images (vol2) (vol2)
115,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation (vol2) (vol2)
116,Prediction of Infant Cognitive Development with Cortical Surface-Based Multimodal Learning (vol2) (vol2)
117,Category-Independent Visual Explanation for Medical Deep Network Understanding (vol2) (vol2)
118,Inflated 3D Convolution-Transformer for Weakly-Supervised Carotid Stenosis Grading with Ultrasound Videos (vol2) (vol2)
119,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing (vol2) (vol2)
120,Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation (vol2) (vol2)
121,An Explainable Geometric-Weighted Graph Attention Network for Identifying Functional Networks Associated with Gait Impairment (vol2) (vol2)
122,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023 (vol2) (vol2)
123,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation (vol2) (vol2)
124,Joint Optimization of a $$\beta $$-VAE for ECG Task-Specific Feature Extraction (vol2) (vol2)
125,Partial Vessels Annotation-Based Coronary Artery Segmentation with Self-training and Prototype Learning (vol2) (vol2)
126,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs (vol2) (vol2)
127,SATTA: Semantic-Aware Test-Time Adaptation for Cross-Domain Medical Image Segmentation (vol2) (vol2)
128,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos (vol2) (vol2)
129,Reveal to Revise: An Explainable AI Life Cycle for Iterative Bias Correction of Deep Models (vol2) (vol2)
130,A Flexible Framework for Simulating and Evaluating Biases in Deep Learning-Based Medical Image Analysis (vol2) (vol2)
131,Physics-Based Decoding Improves Magnetic Resonance Fingerprinting (vol2) (vol2)
132,DeDA: Deep Directed Accumulator (vol2) (vol2)
133,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification (vol2) (vol2)
134,Transferability-Guided Multi-source Model Adaptation for Medical Image Segmentation (vol2) (vol2)
135,One-Shot Federated Learning on Medical Data Using Knowledge Distillation with Image Synthesis and Client Model Adaptation (vol2) (vol2)
136,A Video-Based End-to-end Pipeline for Non-nutritive Sucking Action Recognition and Segmentation in Young Infants (vol2) (vol2)
137,SFusion: Self-attention Based N-to-One Multimodal Fusion Block (vol2) (vol2)
138,VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation (vol2) (vol2)
139,Gadolinium-Free Cardiac MRI Myocardial Scar Detection by 4D Convolution Factorization (vol2) (vol2)
140,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification (vol2) (vol2)
141,On the Relevance of Temporal Features for Medical Ultrasound Video Recognition (vol2) (vol2)
142,Multi-objective Point Cloud Autoencoders for Explainable Myocardial Infarction Prediction (vol2) (vol2)
143,FairAdaBN: Mitigating Unfairness with Adaptive Batch Normalization and Its Application to Dermatological Disease Classification (vol2) (vol2)
144,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation (vol2) (vol2)
145,Self-aware and Cross-Sample Prototypical Learning for Semi-supervised Medical Image Segmentation (vol2) (vol2)
146,CheXstray: A Real-Time Multi-Modal Monitoring Workflow for Medical Imaging AI (vol3) (vol3)
147,CorSegRec: A Topology-Preserving Scheme for Extracting Fully-Connected Coronary Arteries from CT Angiography (vol3) (vol3)
148,Joint Dense-Point Representation for Contour-Aware Graph Segmentation (vol3) (vol3)
149,DiffMix: Diffusion Model-Based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets (vol3) (vol3)
150,Fine-Tuning Network in Federated Learning for Personalized Skin Diagnosis (vol3) (vol3)
151,Fourier Test-Time Adaptation with Multi-level Consistency for Robust Classification (vol3) (vol3)
152,Performance Metrics for Probabilistic Ordinal Classifiers (vol3) (vol3)
153,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner (vol3) (vol3)
154,Deep Learning-Based Anonymization of Chest Radiographs: A Utility-Preserving Measure for Patient Privacy (vol3) (vol3)
155,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification (vol3) (vol3)
156,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images (vol3) (vol3)
157,The Role of Subgroup Separability in Group-Fair Medical Image Classification (vol3) (vol3)
158,Self-adaptive Adversarial Training for Robust Medical Segmentation (vol3) (vol3)
159,M3D-NCA: Robust 3D Segmentation with Built-In Quality Control (vol3) (vol3)
160,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform (vol3) (vol3)
161,Enhance Early Diagnosis Accuracy of Alzheimer’s Disease by Elucidating Interactions Between Amyloid Cascade and Tau Propagation (vol3) (vol3)
162,DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation (vol3) (vol3)
163,Bidirectional Mapping with Contrastive Learning on Multimodal Neuroimaging Data (vol3) (vol3)
164,Mitigating Calibration Bias Without Fixed Attribute Grouping for Improved Fairness in Medical Imaging Analysis (vol3) (vol3)
165,Segmentation Distortion: Quantifying Segmentation Uncertainty Under Domain Shift via the Effects of Anomalous Activations (vol3) (vol3)
166,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation (vol3) (vol3)
167,Boundary-Weighted Logit Consistency Improves Calibration of Segmentation Networks (vol3) (vol3)
168,Co-assistant Networks for Label Correction (vol3) (vol3)
169,Label-Preserving Data Augmentation in Latent Space for Diabetic Retinopathy Recognition (vol3) (vol3)
170,DRMC: A Generalist Model with Dynamic Routing for Multi-center PET Image Synthesis (vol3) (vol3)
171,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement (vol3) (vol3)
172,Robust T-Loss for Medical Image Segmentation (vol3) (vol3)
173,Multi-Head Multi-Loss Model Calibration (vol3) (vol3)
174,Scale Federated Learning for Label Set Mismatch in Medical Image Classification (vol3) (vol3)
175,3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching Between 3D and 2D Networks (vol3) (vol3)
176,Uncertainty and Shape-Aware Continual Test-Time Adaptation for Cross-Domain Segmentation of Medical Images (vol3) (vol3)
177,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images (vol3) (vol3)
178,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection (vol3) (vol3)
179,Towards Frugal Unsupervised Detection of Subtle Abnormalities in Medical Imaging (vol3) (vol3)
180,Understanding Silent Failures in Medical Image Classification (vol3) (vol3)
181,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images (vol3) (vol3)
182,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation (vol3) (vol3)
183,Chest X-ray Image Classification: A Causal Perspective (vol3) (vol3)
184,WeakPolyp: You only Look Bounding Box for Polyp Segmentation (vol3) (vol3)
185,DiMix: Disentangle-and-Mix Based Domain Generalizable Medical Image Segmentation (vol3) (vol3)
186,Deep Learning-Based Air Trapping Quantification Using Paired Inspiratory-Expiratory Ultra-low Dose CT (vol3) (vol3)
187,A Privacy-Preserving Walk in the Latent Space of Generative Models for Medical Applications (vol3) (vol3)
188,SwinMM: Masked Multi-view with Swin Transformers for 3D Medical Image Segmentation (vol3) (vol3)
189,Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis (vol3) (vol3)
190,SMRD: SURE-Based Robust MRI Reconstruction with Diffusion Models (vol3) (vol3)
191,Automatic Segmentation of Internal Tooth Structure from CBCT Images Using Hierarchical Deep Learning (vol3) (vol3)
192,Implicit Anatomical Rendering for Medical Image Segmentation with Stochastic Experts (vol3) (vol3)
193,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos (vol3) (vol3)
194,ACC-UNet: A Completely Convolutional UNet Model for the 2020s (vol3) (vol3)
195,How Reliable are the Metrics Used for Assessing Reliability in Medical Imaging? (vol3) (vol3)
196,Uncovering Structural-Functional Coupling Alterations for Neurodegenerative Diseases (vol3) (vol3)
197,Data AUDIT: Identifying Attribute Utility-and Detectability-Induced Bias in Task Models (vol3) (vol3)
198,Assignment Theory-Augmented Neural Network for Dental Arch Labeling (vol3) (vol3)
199,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images (vol3) (vol3)
200,A Model-Agnostic Framework for Universal Anomaly Detection of Multi-organ and Multi-modal Images (vol3) (vol3)
201,Deep Mutual Distillation for Semi-supervised Medical Image Segmentation (vol3) (vol3)
202,Trust Your Neighbours: Penalty-Based Constraints for Model Calibration (vol3) (vol3)
203,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation (vol3) (vol3)
204,DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation (vol3) (vol3)
205,GRACE: A Generalized and Personalized Federated Learning Method for Medical Imaging (vol3) (vol3)
206,Deployment of Image Analysis Algorithms Under Prevalence Shifts (vol3) (vol3)
207,Enabling Geometry Aware Learning Through Differentiable Epipolar View Translation (vol3) (vol3)
208,Regular SE(3) Group Convolutions for Volumetric Medical Image Analysis (vol3) (vol3)
209,TauFlowNet: Uncovering Propagation Mechanism of Tau Aggregates by Neural Transport Equation (vol3) (vol3)
210,Federated Condition Generalization on Low-dose CT Reconstruction via Cross-domain Learning (vol3) (vol3)
211,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT (vol3) (vol3)
212,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images (vol3) (vol3)
213,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels (vol3) (vol3)
214,Fully Bayesian VIB-DeepSSM (vol3) (vol3)
215,Maximum Entropy on Erroneous Predictions: Improving Model Calibration for Medical Image Segmentation (vol3) (vol3)
216,Temporal Uncertainty Localization to Enable Human-in-the-Loop Analysis of Dynamic Contrast-Enhanced Cardiac MRI Datasets (vol3) (vol3)
217,Minimal-Supervised Medical Image Segmentation via Vector Quantization Memory (vol3) (vol3)
218,Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning (vol4) (vol4)
219,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation (vol4) (vol4)
220,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models (vol4) (vol4)
221,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation (vol4) (vol4)
222,Multi-shot Prototype Contrastive Learning and Semantic Reasoning for Medical Image Segmentation (vol4) (vol4)
223,Collaborative Modality Generation and Tissue Segmentation for Early-Developing Macaque Brain MR Images (vol4) (vol4)
224,Few-Shot Medical Image Segmentation via a Region-Enhanced Prototypical Transformer (vol4) (vol4)
225,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk (vol4) (vol4)
226,From Sparse to Precise: A Practical Editing Approach for Intracardiac Echocardiography Segmentation (vol4) (vol4)
227,Treasure in Distribution: A Domain Randomization Based Multi-source Domain Generalization for 2D Medical Image Segmentation (vol4) (vol4)
228,CAS-Net: Cross-View Aligned Segmentation by Graph Representation of Knees (vol4) (vol4)
229,Memory Replay for Continual Medical Image Segmentation Through Atypical Sample Selection (vol4) (vol4)
230,ConvFormer: Plug-and-Play CNN-Style Transformers for Improving Medical Image Segmentation (vol4) (vol4)
231,Self-supervised Learning via Inter-modal Reconstruction and Feature Projection Networks for Label-Efficient 3D-to-2D Segmentation (vol4) (vol4)
232,Fine-Grained Hand Bone Segmentation via Adaptive Multi-dimensional Convolutional Network and Anatomy-Constraint Loss (vol4) (vol4)
233,Diffusion Transformer U-Net for Medical Image Segmentation (vol4) (vol4)
234,ACTION++: Improving Semi-supervised Medical Image Segmentation with Adaptive Anatomical Contrast (vol4) (vol4)
235,Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models (vol4) (vol4)
236,Transformer-Based Annotation Bias-Aware Medical Image Segmentation (vol4) (vol4)
237,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network (vol4) (vol4)
238,DOMINO++: Domain-Aware Loss Regularization for Deep Learning Generalizability (vol4) (vol4)
239,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation (vol4) (vol4)
240,Structure-Decoupled Adaptive Part Alignment Network for Domain Adaptive Mitochondria Segmentation (vol4) (vol4)
241,Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation (vol4) (vol4)
242,Robust Segmentation via Topology Violation Detection and Feature Synthesis (vol4) (vol4)
243,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI (vol4) (vol4)
244,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation (vol4) (vol4)
245,Do We Really Need that Skip-Connection? Understanding Its Interplay with Task Complexity (vol4) (vol4)
246,One-Shot Traumatic Brain Segmentation with Adversarial Training and Uncertainty Rectification (vol4) (vol4)
247,Shape-Aware 3D Small Vessel Segmentation with Local Contrast Guided Attention (vol4) (vol4)
248,UPCoL: Uncertainty-Informed Prototype Consistency Learning for Semi-supervised Medical Image Segmentation (vol4) (vol4)
249,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation (vol4) (vol4)
250,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation (vol4) (vol4)
251,HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation (vol4) (vol4)
252,Ischemic Stroke Segmentation from a Cross-Domain Representation in Multimodal Diffusion Studies (vol4) (vol4)
253,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets (vol4) (vol4)
254,Semi-supervised Class Imbalanced Deep Learning for Cardiac MRI Segmentation (vol4) (vol4)
255,RBGNet: Reliable Boundary-Guided Segmentation of Choroidal Neovascularization (vol4) (vol4)
256,Instructive Feature Enhancement for Dichotomous Medical Image Segmentation (vol4) (vol4)
257,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision (vol4) (vol4)
258,Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI (vol4) (vol4)
259,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection (vol4) (vol4)
260,Certification of Deep Learning Models for Medical Image Segmentation (vol4) (vol4)
261,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data (vol4) (vol4)
262,Ariadne’s Thread: Using Text Prompts to Improve Segmentation of Infected Areas from Chest X-ray Images (vol4) (vol4)
263,A Sheaf Theoretic Perspective for Robust Prostate Segmentation (vol4) (vol4)
264,MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation (vol4) (vol4)
265,A General Stitching Solution for Whole-Brain 3D Nuclei Instance Segmentation from Microscopy Images (vol4) (vol4)
266,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images (vol4) (vol4)
267,NISF: Neural Implicit Segmentation Functions (vol4) (vol4)
268,A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation (vol4) (vol4)
269,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping (vol4) (vol4)
270,Medical Boundary Diffusion Model for Skin Lesion Segmentation (vol4) (vol4)
271,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation (vol4) (vol4)
272,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation (vol4) (vol4)
273,Conditional Temporal Attention Networks for Neonatal Cortical Surface Reconstruction (vol4) (vol4)
274,QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality (vol4) (vol4)
275,Boundary Difference over Union Loss for Medical Image Segmentation (vol4) (vol4)
276,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023 (vol4) (vol4)
277,MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization (vol4) (vol4)
278,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation (vol4) (vol4)
279,Learning Ontology-Based Hierarchical Structural Relationship for Whole Brain Segmentation (vol4) (vol4)
280,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI (vol4) (vol4)
281,Class-Aware Feature Alignment for Domain Adaptative Mitochondria Segmentation (vol4) (vol4)
282,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping (vol4) (vol4)
