,title,extracted_dataset_sent,
40,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"pre-training the backbone in a self-supervised manner enables scaling to larger
datasets across multiple data and task domains.",
41,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"in medical imaging, this is particularly useful given the growing number of
available datasets.",
42,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"second, we employ vox2vec to pre-train a fpn architecture on a diverse
collection of six unannotated datasets, totaling over 6,500 ct images of the
thorax and abdomen.",x
43,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"finally, we compare the pretrained model with the baselines on 22 segmentation
tasks on seven ct datasets in three setups: linear probing, non-linear probing,
and fine-tuning.",
44,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"the mean value and standard deviation of dice score across 5 folds on the btcv
dataset for all models in all evaluation setups are presented in table
nevertheless, vox2vec-fpn significantly outperforms other models in linear and
non-linear regimes.",
45,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"we reproduce the key results on msd challenge ct datasets, which contain tumor
and organ segmentation tasks.",x
46,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"by pre-training a fpn backbone to extract informative representations from
unlabeled data, our method scales to large datasets across multiple task
domains.",
47,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"we plan to investigate further how the performance of vox2vec scales with the
increasing size of the pre-training dataset and the pre-trained architecture
size.",
48,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"another interesting research direction is exploring the effectiveness of vox2vec
with regard to domain adaptation to address the challenges of domain shift
between different medical imaging datasets obtained from different sources.",
49,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,we evaluate our proposed method on two multi-domain datasets: 1).,
50,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,the infant brain mri dataset for cross-age segmentation; 2).,x
51,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,the brats2018 dataset for cross-grade tumor segmentation.,x
52,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"our proposed method was evaluated using two medical image segmentation da
datasets.",
53,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"the first dataset, i.e., cross-age infant segmentation the first dataset is for
infant brain segmentation (white matter, gray matter and cerebrospinal fluid).",
54,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"to build the cross-age dataset, we take advantage 10 brain mris of 6-month-old
from iseg2019 the 2nd dataset is for brain tumor segmentation (enhancing tumor,
peritumoral edema and necrotic and non-enhancing tumor core), which has 285 mri
samples (210 hgg and 75 lgg).",x
55,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"we also visualize the segmentation results on a typical test sample of the
infant brain dataset in fig.",
56,Gall Bladder Cancer Detection from US Images with only Image Level Labels,"gallbladder cancer detection in ultrasound images: we use the public gbc us
dataset note that, we use only the image labels for training.",x
57,Gall Bladder Cancer Detection from US Images with only Image Level Labels,"polyp detection in colonoscopy images: we use the publicly available kvasir-seg
since the patient information is not available with the data, we use random
stratified splitting for 5-fold cross-validation.",x
58,Structured State Space Models for Multiple Instance Learning in Digital Pathology,"extensive experiments on three publicly available datasets show the potential of
such models for the processing of gigapixel-sized images, under both weakly and
multi-task schemes.",
59,Structured State Space Models for Multiple Instance Learning in Digital Pathology,"camelyon16 tcga-luad is a tcga lung adenocarcinoma dataset that contains 541
wsis along with genetic information about each patient.",x
60,Structured State Space Models for Multiple Instance Learning in Digital Pathology,"we obtained genetic information for this cohort using xena browser tcga-rcc is a
tcga dataset for three kidney cancer subtypes (denoted kich, kirc, and kirp).",x
61,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"this information can be leveraged to assess treatment response, e.g., by
analyzing the evolution of size and morphology for a given tumor in practice,
the development of automatic and reliable lesion tracking solutions is hindered
by the complexity of the data (over different modalities), the absence of large,
annotated datasets, and the difficulties associated with lesion identification
(i.e., varying sizes, poses, shapes, and sparsely distributed locations).",
62,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"furthermore, a significant focus and contribution of our research is the
experimental study at a very large scale: we (1) train a pixel-wise
self-supervised system using a very large and diverse dataset of 52,487 ct
volumes and (2) evaluate on two publicly available datasets.",x
63,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"notably, one of the datasets, nlst, presents challenging cases with 68% of
lesions being very small (i.e., radius < 5 mm).",
64,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"the method is generic, it does not require expert annotations or longitudinal
data for training and can generalize to different types of
tumors/organs/modalities.",
65,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"through large-scale experiments and validation on two longitudinal datasets, we
highlight the superiority of the proposed method in comparison to
state-of-theart.",
66,Geometry-Invariant Abnormality Detection,"most recent approaches have focused on improvements in performance rather than
flexibility, thus limiting approaches to specific input types -little research
has been carried out to generate models unhindered by variations in data
geometries.",
67,Geometry-Invariant Abnormality Detection,"often, research assumes certain similarities in data acquisition parameters,
from image dimensions to voxel dimensions and fields-of-view (fov).",
68,Geometry-Invariant Abnormality Detection,"these restrictions are then carried forward during inference unsupervised
methods have become an increasingly prominent field for automatic anomaly
detection by eliminating the necessity of acquiring accurately labelled data
even though these methods are state-of-the-art, they have stringent data
requirements, such as having a consistent geometry of the input data, e.g., in a
whole-body imaging scenario, it is not possible to crop a region of interest and
feed it to the algorithm, as this cropped region will be wrongly detected as an
anomaly.",
69,Geometry-Invariant Abnormality Detection,"through adapting the vq-vae transformer approach in the proposed model was
trained on the data described in sect.",
70,Geometry-Invariant Abnormality Detection,"generally, the variation scanners and acquisition protocols can cause failures
in models trained on data from single sources.",
71,Geometry-Invariant Abnormality Detection,"not only does the proposed model showcase strong and statistically-significant
performance improvements on varying image resolutions and fov, but also on
whole-body data.",
72,Geometry-Invariant Abnormality Detection,"through this, we demonstrate that one can improve the adaptability and
flexibility to varying data geometries while also improving performance.",
73,Geometry-Invariant Abnormality Detection,"such flexibility also increases the pool of potential training data, as they
dont require the same fov.",
74,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,data.,
75,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,"the proposed approach is evaluated using the publicly available lidc-idri
dataset consisting of 1018 clinical thoracic ct scans from patients with
non-small cell lung cancer (nsclc) experiment designs.",x
76,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none,
77,Synthetic Augmentation with Large-Scale Unconditional Pre-training,datasets.,
78,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"we employ three public datasets of histopathology images during the large-scale
pre-training procedure.",x
79,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"the first one is the h&e breast cancer dataset to replicate a scenario where
only a small annotated dataset is available for training, we have opted to
utilize a subset of 5,000 (5%) samples for finetuning.",x
80,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"it is worth noting that the labels for these samples have been kept, which
allows the fine-tuning process to be guided by labeled data, leading to better
predictions on the specific task or domain being trained.",
81,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"by ensuring that the fine-tuning process is representative of the entire dataset
through even sampling from each tissue type, we can eliminate bias towards any
particular tissue type.",x
82,Synthetic Augmentation with Large-Scale Unconditional Pre-training,"the related data use declaration and acknowledgment can be found in our
supplementary materials.",x
83,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"a must-have ingredient for training a deep neural network (dnn) is a large
number of labelled data that is not always available in real-world applications.",
84,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"this challenge of data annotation becomes even worse for medical image
segmentation tasks that require pixel-level annotation by experts.",
85,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,data augmentation (da) is a recognized approach to tackle this challenge.,
86,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"common da strategies create new samples by using predefined transformations such
as rotation, translation, and colour jitter to existing data, where the
performance gains heavily relies on the choice of augmentation operations and
parameters to mitigate this reliance, recent efforts have focused on learning
optimal augmentation operations for a given task and dataset however, to date,
all existing approaches to learning deformable registrationbased da assume a
perfect alignment of image pairs to learn the transformations.",
87,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"this allows us to add shape diversity to the objects of interest in an image
regardless of their positions or sizes, eventually facilitating transferring the
learned variations across datasets.",
88,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"we demonstrated the effectiveness of the presented object-centric diffeomorphic
augmentation in kidney tumour segmentation, including using shape variations of
kidney tumours learned from the same dataset (kits we focus on da for tumour
segmentation because tumours can occur at different locations of an organ with
substantially different orientations and sizes.",
89,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"inspired from where the integration can be done via a specialized solver
generative modeling: the data generation process can be described as: where z is
the latent variable assumed to follow an isotropic gaussian prior, p φ (θ|z) is
modeled by a neural network parameterized by φ, and p(x tgt |θ, x src ) follows
the deformable transformation as described in equation ( we define variational
approximations of the posterior density as q ψ (z|x src , x tgt ), modeled by a
convolutional neural network that expects two inputs x src and x tgt .",
90,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"figure data: we then used g(z) to generate deformation-based augmentations to
increase the size and diversity of training samples for kidney tumour
segmentation on kits.",
91,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"to assess the effect of augmentations on different sizes of labelled data, we
considered training using 25%, 50%, 75%, and 100% of the kits training set.",
92,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"we considered two da scenarios: augment with transformations learned from kits
(within-data augmentation) versus from lits (cross-data augmentation).",
93,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"as demonstrated by the experimental results, this allows us to not only
introduce new variations to unfixed objects like tumours in an image but also
transfer the knowledge of shape variations across datasets.",
94,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"in the long term, it would be interesting to explore ways to transfer knowledge
about more general forms of variations across datasets.",
95,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"cafe module adjusts the input embedding vectors with respect to the class
centroids (i.e., training data distribution).",
96,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"assuming that the classes are well separated in the feature space, the centroid
embedding vectors can serve as reference points to represent the data
distribution of the training data.",
97,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"during inference, we fix the centroid embedding vectors so that the recalibrated
embedding vectors do not vary much compared to the input embedding vectors even
though the data distribution substantially changes, leading to improved
stability and robustness of the feature representation.",
98,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"the experimental results demonstrate that cafenet achieves the state-of-the-art
cancer grading performance in colorectal cancer grading datasets.",
99,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"two publicly available colorectal cancer datasets we conducted a series of
comparative experiments to evaluate the effectiveness of cafenet for cancer
grading, in comparison to several existing methods: 1) three dcnnbased models:
resnet we evaluated the performance of colorectal cancer grading by the proposed
cafenet and other competing models using five evaluation metrics, including
accuracy (acc), precision, recall, f1-score (f1), and quadratic weighted kappa
(κ w ).",x
100,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"in the experiments on colorectal cancer datasets against several competing
models, the proposed network demonstrated that it has a better learning
capability as well as a generalizability in classifying pathology images into
different cancer grades.",
101,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"however, the experiments were only conducted on two public colorectal cancer
datasets from a single institute.",x
102,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,"our xai technique was applied to explain the mtann model's decision in a liver
tumor segmentation task in addition, since most liver tumors' shape is
ellipsoidal, the liver tumors can also be enhanced by the hessian-based method
and utilized in the model to improve the performance seven cases and 24 cases in
the dynamic contrast-enhanced ct scans dataset were used for training and
testing, respectively.",x
103,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"while most multi-phase liver lesion classification studies use datasets with no
more than three phases (without dl phase for its difficulty of collection) or no
more than six lesion classes, we validate the whole framework on an in-house
dataset with four phases of abdominal ct and seven classes of liver lesions.",
104,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"considering the disproportion of axial lesion slice number and the relatively
small scale of the dataset, we adopt a 2-d network in classification part
instead of 3-d in pre-processing part and achieve a 90.9% accuracy.",
105,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"we test our method using a breast cancer metastases segmentation task on the
public camelyon16 dataset and demonstrate that determining the selected regions
individually provides greater flexibility and efficiency than selecting regions
with a uniform predefined shape and size, given the variability in histological
tissue structures.",x
106,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"to validate our segmentation framework, we first train on the fully-annotated
data (average performance of five repetitions reported).",
107,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"in this work, we focus on the explainability of the classification of brain
tumours using probe-based confocal laser endomicroscopy (pcle) data.",
108,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"performance evaluation on pcle data shows that our improved explainability
method outperforms the sota.",
109,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,dataset.,
110,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"the developed explainability framework has been validated on an in vivo and ex
vivo pcle dataset of meningioma, glioblastoma and metastases of an invasive
ductal carcinoma (idc).",
111,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"our dataset includes 38 meningioma videos, 24 glioblastoma and 6 idc.",x
112,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,the data has been curated to remove noisy images and similar frames.,
113,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"this resulted in a training dataset of 2500 frames per class (7500 frames in
total) and a testing dataset of the same size.",x
114,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"the dataset is split into a training and testing subset, with the division done
on the patient level.",x
115,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"in contrast, deep learning models suffer from catastrophic forgetting the
medical domain faces a similar problem: the ability to dynamically extend a
model to new classes is critical for multiple organ and tumor segmentation,
wherein the key obstacle lies in mitigating 'forgetting.' a typical strategy
involves retaining some previous data.",
116,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"q1: can we relieve the forgetting problem without needing previous data and
annotations?",
117,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"first, inspired by knowledge distillation methods in continual learning we focus
on organ/tumor segmentation because it is one of the most critical tasks in
medical imaging segment liver tumors in the lits dataset.",
118,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"on the private dataset, the learning trajectory is to first segment 13 organs,
followed by continual segmentation of three gastrointestinal tracts and four
cardiovascular system structures.",
119,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"numerical results on an in-house dataset and two public datasets demonstrate
that the proposed method outperforms the continual learning baseline methods in
the challenging multiple organ and tumor segmentation tasks.",
120,Efficient Subclass Segmentation in Medical Images,"this segmentation result is supervised by the superposition of the pseudo label
map z pse and subclass labels z, with weighting factor α: the intuition behind
this framework is to simultaneously leverage the information from both unlabeled
and labeled data by incorporating a more robust supervision from
transform-invariant pseudo labels.",
121,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"however, designing educational materials solely based on real-world data poses
several challenges.",
122,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"future challenges include improving scalability with fewer manual operations,
validating segmentation maps from a more objective perspective, and comparing
our proposed algorithm with existing methods, such as those based on superpixels
data use declaration and acknowledgment: the pelvic mri and chest ct datasets
were collected from the national cancer center hospital.",
123,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"the study, data use, and data protection procedures were approved by the ethics
committee of the national cancer center, tokyo, japan (protocol number
2016-496).",
124,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"however, we observe that typiclust (shown as orange) achieves comparable or
superior performance compared to random selection across all tasks in our
benchmark, whereas other approaches can significantly under-perform on certain
tasks, especially challenging ones like the liver dataset.",
125,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"multi-modal learning has become a popular research area in computer vision and
medical image analysis, with modalities spanning across various media types,
including texts, audio, images, videos and multiple sensor data.",
126,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"the experiments are conducted on the brain tumour segmentation benchmark
brats2018 let us represent the n -modality data with m l = {x ∈ x denotes the l
th data sample and the superscript (i) indexes the modality.",
127,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,"multi-modal segmentation is composed not only of multiple modalities, but also
of multiple tasks, such as the three types of tumours in brats2018 dataset that
represent the three tasks.",
128,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,training data.,
129,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"the real-world dataset used in experiments is provided by the fets challenge
organizer, which is the training set of the whole dataset about brain tumor
segmentation.",
130,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"in order to evaluate the performance of fedgrav, we partition the dataset
composed of 341 data samples experiment results on the cifar-10.",
131,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,we first validate the proposed method on the cifar-10 dataset.,
132,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,table experiment results on miccai fets2021 training dataset.,
133,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"in order to verify the robustness of our method and its performance in
real-world data, we conduct the experiment on the miccai fets2021 training
dataset.",
134,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"we evaluated our method on cifar-10 and real-world miccai federated tumor
segmentation challenge (fets) datasets, and the superior results demonstrated
the effectiveness and robustness of our fedgrav.",
135,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,"complementary to the development of higher relaxivity contrast agents in recent
years, generative models have been used to overcome data scarcity in the
computer vision and medical imaging community.",
136,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,"in particular, for image-to-image translation tasks, these conditional gans have
been successfully applied using paired with this in mind, the contributions of
this work are as follows: -synthesis of gbca behavior at various doses using
conditional gans, -loss enabling interpolation of dose levels present in
training data, -noise-preserving content loss function to generate realistic
synthetic images.",
