,title,total_score,requires_review,age,gender,geolocation,social factors,ethnicity,fairness,data_gaps
92,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,0,False,0,0,0,0,0,0,0
93,Low-Dose CT Image Super-Resolution Network with Dual-Guidance Feature Distillation and Dual-Path Content Communication,2,False,1,0,0,0,0,0,0
94,M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,0,False,0,0,1,0,0,0,0
95,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,0,False,0,0,0,0,0,1,0
96,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,0,False,0,0,1,0,0,0,0
97,MSKdeX: Musculoskeletal (MSK) Decomposition from an X-Ray Image for Fine-Grained Estimation of Lean Muscle Mass and Muscle Volume,1,False,1,1,1,0,0,0,0
98,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,1,False,1,1,1,0,0,0,0
99,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,1,False,1,1,1,0,0,0,0
100,Medical Boundary Diffusion Model for Skin Lesion Segmentation,0,False,0,0,0,0,0,0,0
101,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,1,False,1,1,1,0,0,0,0
102,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,0,False,0,0,0,0,0,1,0
103,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,0,False,0,0,0,0,0,0,0
104,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,2,False,1,1,1,0,0,0,0
105,MoCoSR: Respiratory Motion Correction and Super-Resolution for 3D Abdominal MRI,1,False,1,0,0,0,0,1,0
106,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,0,False,0,1,0,0,0,0,0
107,Multi-Head Multi-Loss Model Calibration,0,False,0,0,0,0,0,0,0
108,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,0,False,0,1,0,0,0,0,0
109,Multi-scale Prototypical Transformer for Whole Slide Image Classification,0,False,0,0,1,0,0,0,0
110,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,2,False,1,1,1,0,0,0,0
111,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,0,False,0,0,1,0,0,0,0
112,Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,1,False,1,1,1,1,0,0,0
113,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,0,False,0,0,0,0,0,0,0
114,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,0,False,0,0,0,0,0,0,0
115,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,0,False,0,0,1,0,0,0,0
116,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,0,False,0,0,0,0,0,1,0
117,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,1,False,1,1,1,0,0,0,0
118,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,0,False,0,0,0,0,0,0,0
119,Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,0,False,0,0,0,0,0,0,0
120,PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,2,False,1,1,1,0,0,1,0
121,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,0,False,0,0,1,0,0,0,0
122,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,0,False,0,1,1,0,0,0,0
123,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,0,False,0,0,0,0,0,0,0
124,Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,0,False,0,0,0,0,0,1,0
125,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,0,False,0,0,0,0,0,0,0
126,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,1,False,1,0,1,0,0,1,0
127,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,0,False,0,0,0,0,0,0,0
128,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,0,False,0,1,1,0,0,0,0
129,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,0,False,0,1,1,0,0,0,0
130,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,0,False,0,0,1,0,0,0,0
131,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,2,False,1,0,0,0,0,0,0
132,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,0,False,0,0,1,0,0,0,0
133,Reveal to Revise: An Explainable AI Life Cycle for Iterative Bias Correction of Deep Models,0,False,0,0,1,0,0,0,0
134,Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,8,True,1,1,0,0,0,1,0
135,Revisiting Feature Propagation and Aggregation in Polyp Segmentation,1,False,1,0,1,0,0,0,0
136,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,0,False,0,1,1,0,0,0,0
137,Robust T-Loss for Medical Image Segmentation,3,False,1,1,1,0,0,0,0
138,S2^2ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,2,False,1,1,1,0,0,1,0
139,SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,0,False,0,0,1,0,0,0,0
140,SLPD: Slide-Level Prototypical Distillation for WSIs,1,False,1,1,0,0,0,0,0
141,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,0,False,0,1,0,0,0,1,0
142,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,1,False,1,1,1,0,0,1,0
143,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,0,False,0,0,0,0,0,0,0
144,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,0,False,0,1,1,0,0,0,0
145,Segment Membranes and Nuclei from Histopathological Images via Nuclei Point-Level Supervision,0,False,0,0,1,0,0,0,0
146,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,0,False,0,0,0,0,0,0,0
147,Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,0,False,0,0,0,0,0,0,0
148,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,0,False,0,0,0,0,0,0,0
149,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,0,False,0,0,0,0,0,0,0
150,Self-supervised Learning for Endoscopic Video Analysis,0,False,0,0,1,0,0,1,0
151,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,0,False,0,0,0,0,0,0,0
152,Self-supervised Learning via Inter-modal Reconstruction and Feature Projection Networks for Label-Efficient 3D-to-2D Segmentation,2,False,1,1,0,0,0,0,0
153,Self-supervised Polyp Re-identification in Colonoscopy,1,False,1,0,0,0,0,1,0
154,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,0,False,0,1,1,0,0,0,0
155,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,1,False,1,1,1,0,0,0,0
156,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,4,False,1,1,1,0,0,1,0
157,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,0,False,0,1,1,0,0,0,0
158,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,0,False,0,1,1,0,0,0,0
159,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,2,False,1,0,0,0,0,0,0
160,Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,4,False,1,1,0,0,0,0,0
161,Structured State Space Models for Multiple Instance Learning in Digital Pathology,0,False,0,0,0,0,0,0,0
162,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,0,False,0,1,0,0,0,1,0
163,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,0,False,0,1,0,0,0,0,0
164,Synthetic Augmentation with Large-Scale Unconditional Pre-training,0,False,0,0,0,0,0,1,0
165,TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,0,False,0,1,1,0,0,0,0
166,Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,1,False,1,1,1,0,0,0,0
167,Text-Guided Foundation Model Adaptation for Pathological Image Classification,2,False,1,1,0,0,0,0,0
168,The Role of Subgroup Separability in Group-Fair Medical Image Classification,16,True,1,1,1,0,1,1,0
169,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,0,False,0,0,0,0,0,0,0
170,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,0,False,0,1,1,0,0,0,0
171,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,0,False,0,0,1,0,0,0,0
172,Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,0,False,0,0,1,0,0,0,0
173,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,0,False,0,0,1,0,0,0,0
174,Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,1,False,1,0,0,0,0,1,0
175,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,0,False,0,0,0,0,0,0,0
176,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,0,False,0,0,1,0,0,1,0
177,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,0,False,0,0,0,0,0,0,0
178,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,0,False,0,1,0,0,0,0,0
179,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,1,False,1,1,1,0,0,0,0
180,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,0,False,0,1,1,0,0,0,0
181,Understanding Silent Failures in Medical Image Classification,4,False,1,1,1,0,0,0,0
182,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,1,False,1,1,1,0,0,0,0
183,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,0,False,0,0,0,0,0,0,0
184,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,0,False,0,0,0,0,0,1,0
185,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,0,False,0,0,0,0,0,0,0
186,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,0,False,0,0,0,0,0,0,0
187,YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,0,False,0,1,0,0,0,1,0
188,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,0,False,0,0,1,0,0,0,0
