title,authors,page_numbers,doi,publication_year,vol_number,paper_id,path,extracted_sentence,extracted_sents_keywords
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"https://doi.org/10.1007/978-3-031-43993-3_46
a texture neural network to predict the abnormal brachial plexus
471
radiation ﬁbrosis, primary and metastatic lung cancer, and metastatic breast cancer
account for almost three-fourths of causes [2].",the range of the age are varying from 15 to 85 years old.
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"https://doi.org/10.1007/978-3-031-43993-3_46
a texture neural network to predict the abnormal brachial plexus
471
radiation ﬁbrosis, primary and metastatic lung cancer, and metastatic breast cancer
account for almost three-fourths of causes [2].","the female patient
number and male patient number are almost even."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"https://doi.org/10.1007/978-3-031-43993-3_46
a texture neural network to predict the abnormal brachial plexus
471
radiation ﬁbrosis, primary and metastatic lung cancer, and metastatic breast cancer
account for almost three-fourths of causes [2].","the predicted segmentations were manually divided into three
groups, i.e. good, fair and poor."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital.","2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital.",the range of the age are varying from 15 to 85 years old.
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital.","the female patient
number and male patient number are almost even."
A Spatial-Temporally Adaptive PINN Framework for 3D Bi-Ventricular Electrophysiological Simulations and Parameter Inference,"Yubo Ye, Huafeng Liu, Xiajun Jiang, Maryam Toloubidokhti, Linwei Wang",163-172,10.1007/978-3-031-43990-2_16,2023,7,4,miccai23vol8/paper_46.pdf,"2
materials and method
2.1
dataset preparation and preprocessing
following irb approval for this study, we search for patients with metastatic breast
cancer who had a breast cancer mri performed between 2010 and 2020 and had mor-
phologically positive bp on the mri report from our electronic medical records (emr)
in * hospital.","the predicted segmentations were manually divided into three
groups, i.e. good, fair and poor."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"we compared the performance of our proposed model against the state-
of-the-art (sota) techniques in histopathology risk stratiﬁcation in two
cancer datasets.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"keywords: histopathology · risk assessment · graph processing
1
introduction
the examination of tissue and cells using microscope (referred to as histology)
has been a key component of cancer diagnosis and prognostication since more
than a hundred years ago.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"histological features allow visual readout of cancer
biology as they represent the overall impact of genetic changes on cells [20].","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"as such, there is a paucity of eﬀorts that embark
on utilizing machine learning models for patient prognostication and survival
analysis (for example, predicting risk of cancer recurrence or expected patient
survival).","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"in the machine learning domain, patient prognostication can be treated as a
weakly supervised problem, which a model would predict the outcome (e.g., time
to cancer recurrence) based on the histopathology images.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"while local contexts mainly capture cell-cell
interactions, global patterns such as immune cell inﬁltration patterns and tumor
invasion in normal tissue structures (e.g., depth of invasion through myometrium
in endometrial cancer [1]) could capture critical information about outcome [10].
hence, locally focused methods are unable to beneﬁt from the coarse properties
of slides due to their high dimensions which may lead to poor performance.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"this paper aims to investigate the potential of extracting ﬁne and coarse
features from histopathology slides and integrating them for risk stratiﬁcation
in cancer patients.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"therefore, the contributions of this work can be summarized
as: 1) a novel graph-based model for predicting survival that extracts both local
and global properties by identifying morphological super-nodes; 2) introducing
a ﬁne-coarse feature distillation module with 3 various strategies to aggregate
interactions at diﬀerent scales; 3) outperforming sota approaches in both risk
prediction and patient stratiﬁcation scenarios on two datasets; 4) publishing
two large and rare prostate cancer datasets containing more than 220 graphs for
active surveillance and 240 graphs for brachytherapy cases.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"4
experiments and results
4.1
dataset
we utilize two prostate cancer (pca) datasets to evaluate the performance of
our proposed model.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"we also utilized the prostate cancer grade assessment (panda) challenge
dataset [7] that includes more than 10,000 pca needle biopsy slides (no outcome
data) as an external dataset for training the encoder of our model.
4.2
experiments
we evaluate the models’ performance in two scenarios utilizing several objective
metrics.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"furthermore, our ﬁndings
have signiﬁcant clinical implications as they identify, for the ﬁrst time, high-
risk prostate cancer patients who are otherwise known to be low-risk based on
clinico-pathological parameters.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,8,5,miccai23vol6/paper_74.pdf,"this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic.","this group should be managed diﬀerently from
the rest of the low-risk prostate cancer patients in the clinic."
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,6,6,miccai23vol2/paper_9.pdf,"we evaluate our method
using the task of breast cancer metastases segmentation on the public
camelyon16 dataset and show that it consistently achieves higher
sampling eﬃciency than the standard method across various al step
sizes.",None
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,6,6,miccai23vol2/paper_9.pdf,"for instance, in the camelyon16
breast cancer metastases dataset [10], 49.5% of wsis contain metastases that are
smaller than 1% of the tissue, requiring a high level of expertise and long inspec-
tion time to ensure exhaustive tumor localization; whereas other wsis have large
tumor lesions and require a substantial amount of annotation time for boundary
delineation",None
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,6,6,miccai23vol2/paper_9.pdf,"we test our method using a breast
cancer metastases segmentation task on the public camelyon16 dataset and
demonstrate that determining the selected regions individually provides greater
ﬂexibility and eﬃciency than selecting regions with a uniform predeﬁned shape
and size, given the variability in histological tissue structures.",None
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,6,6,miccai23vol2/paper_9.pdf,"note that standard (non-square)
can be understood as an ablation study of the proposed method adaptive to
examine the eﬀect of variable region shape by maintaining constant region size.
2.3
wsi semantic segmentation framework
this section describes the breast cancer metastases segmentation task we use
for evaluating the al region selection methods.",None
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"Puria Azadi, Jonathan Suderman, Ramin Nakhli, Katherine Rich, Maryam Asadi, Sonia Kung et al.",765-775,10.1007/978-3-031-43987-2_74,2023,6,6,miccai23vol2/paper_9.pdf,"the training set contains 111 wsis with and 159 wsis without breast
cancer metastases, and each wsi with metastases is accompanied by pixel-level
contour annotations delineating the boundaries of the metastases.",None
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"Jingna Qiu, Frauke Wilm, Mathias Öttl, Maja Schlereth, Chang Liu, Tobias Heimann et al.",90-100,10.1007/978-3-031-43895-0_9,2023,2,7,miccai23vol6/paper_61.pdf,"lastly, we introduce the multi-ihc stain
translation (mist) dataset, which contains aligned h&e-ihc patches
for 4 diﬀerent ihc stains critical to breast cancer diagnosis.","such scheduling of the weights is done so that in the beginning
of the training, the weights are uniform in order not to wrongly bias the network
when the embeddings are still indiscriminative."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"Jingna Qiu, Frauke Wilm, Mathias Öttl, Maja Schlereth, Chang Liu, Tobias Heimann et al.",90-100,10.1007/978-3-031-43895-0_9,2023,2,7,miccai23vol6/paper_61.pdf,"the mist dataset
contains 4k+ training and 1k testing aligned h&e-ihc patches for each of the
following ihc stains that are critical for breast cancer diagnostics: her2, ki67,
er (estrogen receptor) and pr (progesterone receptor).","such scheduling of the weights is done so that in the beginning
of the training, the weights are uniform in order not to wrongly bias the network
when the embeddings are still indiscriminative."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"Jingna Qiu, Frauke Wilm, Mathias Öttl, Maja Schlereth, Chang Liu, Tobias Heimann et al.",90-100,10.1007/978-3-031-43895-0_9,2023,2,7,miccai23vol6/paper_61.pdf,"the following datasets are used in our experiments: the breast cancer
immunohistochemical (bci) challenge dataset","such scheduling of the weights is done so that in the beginning
of the training, the weights are uniform in order not to wrongly bias the network
when the embeddings are still indiscriminative."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"https://doi.org/10.1007/978-3-031-43987-2_68
an ai-ready multiplex staining dataset
705
1
introduction
accurate spatial characterization of tumor immune microenvironment is critical
for precise therapeutic stratiﬁcation of cancer patients (e.g. via immunother-
apy).","id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"https://doi.org/10.1007/978-3-031-43987-2_68
an ai-ready multiplex staining dataset
705
1
introduction
accurate spatial characterization of tumor immune microenvironment is critical
for precise therapeutic stratiﬁcation of cancer patients (e.g. via immunother-
apy).","53
male
white 1
current
68
4
larynx
supraglottic
case5 38
male
white 0
never
0
4
oral cavity lateral tongue
case6 76
female
white 1
former
30"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"https://doi.org/10.1007/978-3-031-43987-2_68
an ai-ready multiplex staining dataset
705
1
introduction
accurate spatial characterization of tumor immune microenvironment is critical
for precise therapeutic stratiﬁcation of cancer patients (e.g. via immunother-
apy).","2
oral cavity lateral tongue
case7 73
male
white 1
former
100
3
larynx
glottis
case8 56
male
white 0
never
0
2
oral cavity tongue
2
dataset
the complete staining protocols for this dataset are given in the accompany-
ing supplementary material."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"https://doi.org/10.1007/978-3-031-43987-2_68
an ai-ready multiplex staining dataset
705
1
introduction
accurate spatial characterization of tumor immune microenvironment is critical
for precise therapeutic stratiﬁcation of cancer patients (e.g. via immunother-
apy).","the dapi images were segmented using cellpose [13] and man-
ually corrected by a trained technician and approved by a pathologist."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4","id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4","53
male
white 1
current
68
4
larynx
supraglottic
case5 38
male
white 0
never
0
4
oral cavity lateral tongue
case6 76
female
white 1
former
30"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4","2
oral cavity lateral tongue
case7 73
male
white 1
former
100
3
larynx
glottis
case8 56
male
white 0
never
0
2
oral cavity tongue
2
dataset
the complete staining protocols for this dataset are given in the accompany-
ing supplementary material."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4","the dapi images were segmented using cellpose [13] and man-
ually corrected by a trained technician and approved by a pathologist."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"images were acquired at 20× magniﬁcation at
moﬃtt cancer center.","id
age gender race
ecog smoking py
pstage cancer site
cancer subsite
case1 49
male
white 3
current
21
1
oral cavity ventral tongue
case2 64
male
white 3
former
20
4
larynx
vocal cord
case3 60
male
black
2
current
45
4
larynx
false vocal cord
case4"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"images were acquired at 20× magniﬁcation at
moﬃtt cancer center.","53
male
white 1
current
68
4
larynx
supraglottic
case5 38
male
white 0
never
0
4
oral cavity lateral tongue
case6 76
female
white 1
former
30"
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"images were acquired at 20× magniﬁcation at
moﬃtt cancer center.","2
oral cavity lateral tongue
case7 73
male
white 1
former
100
3
larynx
glottis
case8 56
male
white 0
never
0
2
oral cavity tongue
2
dataset
the complete staining protocols for this dataset are given in the accompany-
ing supplementary material."
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,"Fangda Li, Zhiqiang Hu, Wen Chen, Avinash Kak",632-641,10.1007/978-3-031-43987-2_61,2023,6,8,miccai23vol6/paper_68.pdf,"images were acquired at 20× magniﬁcation at
moﬃtt cancer center.","the dapi images were segmented using cellpose [13] and man-
ually corrected by a trained technician and approved by a pathologist."
