,title,dataset info,no. datasets,public  dataset(s),private data(s),bias,algorithm bias,data bias,sub type of data bias,technical bias,organ_category,image_category,demographics_usage
10,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,"we evaluate our method on 4d dce-mri breast cancer segmentation using the breast-mri-nact-pilot dataset [13], which contains a total of 64 patients with the contrastenhanced mri protocol: a pre-contrast scan, followed by 2 consecutive postcontrast time points (as shown in fig.', 'we divided the original dataset into training (70%) and test set (30%) based on the scans. ', 'ground truth segmentations of the data are provided in the dataset for tumor annotation.",1,0,0,0,0,0,0,0,Skin and Breast,Radiology,No Demographic Data
11,DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"note that the network will be trained only once, on a fixed dataset that is fully independent of the datasets that will be used in the evaluation.
our neural network is trained using patches from the ""gold atlas -male pelvis -gentle radiotherapy"" [14] dataset, which is comprised of 18 patients each with a ct, mr t1, and mr t2 volumes.

we would like to report that, initially, we also made use of a proprietary dataset including us volumes.

consequently, for the purpose of ensuring reproducibility, all evaluations presented in this paper exclusively pertain to the model trained solely on the public mr-ct dataset.

patch sampling from unregistered datasets. the dataset comprises 8 sets of mr and ct volumes, both depicting the abdominal region of a single patient and exhibiting notable deformations.

we are using a heterogeneous dataset of 27 cases, comprising liver cancer patients and healthy volunteers, different ultrasound machines, as well as optical vs. electro-magnetic external tracking, and sub-costal vs. inter-costal scanning of the liver",1,1,0,0,0,0,0,0,Abdominal,"Ultrasound, Radiology",No Demographic Data
12,Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,"no patient demographic information was retained for the scans, as it was considered to represent an unnecessary risk for accidental release of protected health information.
our dataset included mri brain scans from 226 patients performed at an urban tertiary referral academic medical center that is a comprehensive stroke center. while the whole dataset includes 4,883 (74.7%) normal slices and 1,650 (25.3%) stroke slices, we further randomly split them into training/validation/test sets using the ratio 80%/10%/10%.
mr images in the ixi dataset [1].
as our dataset is unbalanced, we also considered the area under precision-recall curve (auprc).",1,0,0,0,0,0,0,0,Cranial/Head and Neck,Radiology,Limited Use of Demographic Data
13,FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,"for methodological development and assessment, we used the resect (retro-spective evaluation of cerebral tumors) dataset. 
the two dl models were trained with the same dataset and procedure, and their prediction accuracies, measured as the absolute error between the predicted and ground truths mis-registration on the test set were compared with two-sided pairedsamples t-tests to confirm the superiority of the proposed method, in addition to correlations between their estimated and ground truth errors.

one limitation of our work lies in the limited patient data, as public ius datasets are scarce, while the settings and properties of us scanners can vary, potentially affecting the dl model designs",1,0,0,1,0,0,0,0,Cranial/Head and Neck,"Ultrasound, Radiology",No Demographic Data
14,Gene-Induced Multimodal Pre-training for Image-Omic Classification,"we verify the effectiveness of our method on the caner genome atlas (tcga) non-small cell lung cancer (nsclc) dataset, which contains two cancer subtypes, i.e., lung squamous cell carcinoma (lusc) and lung adenocarcinoma (luad).
firstly, we compare our proposed patch aggregator with the current state-of-the-art deep mil models on unimodal tcga-nsclc dataset, i.e., only pathological wsis are included as input.

we can observe in the table that, our gimp raises acc from 91.05% to 99.47% on tcga-nsclc dataset",1,0,0,0,0,0,0,0,"Thoracic/Chest, Whole Body/Systemic",Whole Slide Imaging,No Demographic Data
15,Geometry-Invariant Abnormality Detection,"For this work we leveraged whole-body PET/CT data from different sources to explore the efficacy of our approach for varying image geometries. 211 scans from NSCLC Radiogenomics [2,3,10,16] combined with 83 scans from a proprietary dataset constitute our lower resolution dataset with voxel dimensions of 3.6 × 3.6×3 mm. From this, we split the data to give 210 training samples, 34 validation and 50 testing. Our higher resolution dataset uses AutoPET [10,15] (1014 scans) with voxel dimensions of 2.036 × 2.036 × 3 mm. From this, 850 scans are used for training, 64 for validation and 100 for testing.For evaluation, we use four testing sets: a lower resolution set derived from both the NSCLC and the private dataset; a higher resolution set from AutoPET; a testing set with random crops of the same NSCLC/private testing dataset and finally a testing set that has been rotated through 90◦ using the high resolution testing data.",2,0,1,0,0,0,0,0,Whole Body/Systemic,"PET, Radiology",No Demographic Data
16,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,"experimental results on the dlungs dataset, lung (83 cts, 19 patients) and liver (77 cects, 18 patients) datasets. we evaluated our method with two studies on retrospectively collected patient datasets that were manually annotated by an expert radiologist.dataset: lung and liver ct studies were retrospectively obtained from two medical centers (hadassah univ hosp jerusalem israel) during the routine clinical examination of patients with metastatic disease. dliver consists of 77 abdominal cect scans from 18 patients ",2,0,0,0,0,0,0,0,"Thoracic/Chest, Abdominal",Radiology,No Demographic Data
17,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,"We conductour study on the MSD Spleen and the AutoPET datasets to explore thesegmentation of both anatomy (spleen) and pathology (tumor lesions).
We use the DeepEdit [11] model with a U-Net backbone [15] and simulate a fixednumber of clicks N during training and evaluation. For each volume, N clicksare iteratively sampled from over- and undersegmented predictions of the modelas in [16] and represented as foreground and background guidance signals. We implemented our experiments with MONAI Label [23] and will release our code. 
We trained and evaluated all of our models on the openly available AutoPET [1] and MSD Spleen [2] datasets. MSD Spleen [2] contains 41 CT volumeswith voxel size 0.79×0.79×5.00mm3 and average resolution of 512×512×89voxels with dense annotations of the spleen. AutoPET [1] consists of 1014PET/CT volumes with annotated tumor lesions of melanoma, lung cancer, orlymphoma. We discard the 513 tumor-free patients, leaving us with 501 volumes.We also only use PET data for our experiments.",2,1,0,0,0,0,0,0,Thoracic/Chest,"PET, Radiology",No Demographic Data
18,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the dataset for the former task was collected from 168 patients with 332 wsis from seoul national university hospital.
the liver cancer dataset for the latter task was composed of 323 wsis, in which the wsis can be further classified into hepatocellular carcinomas (hccs) (collected from pathology ai platform",2,0,0,0,0,0,0,0,Abdominal,Whole Slide Imaging,Limited Use of Demographic Data
19,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,"we collect a large-scale dataset with both tumor and non-tumor subjects, where the non-tumor subjects includes not only healthy ones, but also patients with various diffuse liver diseases such as steatosis and hepatitis to improve the robustness of the algorithm.
we collected a large-scale multi-phase dataset containing 810 non-tumor subjects and 939 tumor patients. our dataset contains 810 normal subjects and 939 patients with liver tumors.
we first train an nnu-net on public datasets to segment liver and surrounding organs (gallbladder, hepatic vein, spleen, stomach, and pancreas), and then crop the liver region to train plan.",2,1,0,"for evaluation, previous segmentation works typically use pixel-level metrics such as dice coefficient. such metrics cannot reflect the lesion-level accuracy (how many lesion instances are correctly detected and classified) and may bias to large lesions when a patient has multiple tumors. 

patient-level metrics (e.g. classifying whether a subject has malignant tumors) are also useful for treatment recommendation in clinical practice [18,20]. therefore, we assess our algorithm thoroughly with pixel, lesion, and patient-level metrics",0,0,0,0,Abdominal,Imaging Processing and Analysis,No Demographic Data
20,Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,"During both global and local pre-training stages, we pre-train the encoders on the Abdomen-1K [17] dataset. It contains over one thousand CT images which equates to roughly 240,000 2D slices. The CT images have been curated from 12 medical centers and include multi-phase, multi-vendor, and multi-disease cases.Although segmentation masks for liver, kidney, spleen, and pancreas are provided in this dataset, we ignore these labels during pre-training since we are following the self-supervised protocol.During the fine-tuning stage, we perform extensive experiments on three datasetswith respect to different regions of the human body.ABD-110 is an abdomen dataset from [25] that contains 110 CT images frompatients with various abdominal tumors and these CT images were taken duringthe treatment planning stage. We report the average DSC on 11 abdominalorgans (large bowel, duodenum, spinal cord, liver, spleen, small bowel, pancreas,left kidney, right kidney, stomach and gallbladder).Thorax-85 is a thorax dataset from [5] that contains 85 thoracic CT images.We report the average DSC on 6 thoracic organs (esophagus, trachea, spinalcord, left lung, right lung, and heart).HaN is from [24] and contains 120 CT images covering the head and neckregion. We report the average DSC on 9 organs (brainstem, mandible, opticalchiasm, left optical nerve, right optical nerve, left parotid, right parotid, leftsubmandibular gland, and right submandibular gland).",4,0,0,"When the sample mean fk is onlyaveraged from a small number of vectors, the capability of representing certainregion level can be limited. In the opposite, when the number of samples N is large, the sampling bias can be high, since the number of pixels can be smallerthan N. Therefore, we need a proper choice of N. With N = 50, our methoddemonstrates the best DSC score of 0.732.",0,0,0,0,"Urinary System, Abdominal, Skeletal System, Cranial/Head and Neck, Thoracic/Chest",Radiology,Limited Use of Demographic Data
21,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"For brain MRI we train on the Human ConnectomeProject (HCP) dataset [28] which consists of 1113 MRI scans of healthy, young adults acquired as part of a scientific studyTo evaluate, we use the Brain Tumor Segmentation Challenge 2017 (BraTS) dataset [1], containing 285 cases with either high or low grade glioma, and the ischemic stroke lesion segmentationchallenge 2015 (ISLES) dataset [13], containing 28 cases with ischemic stroke lesions.For chest X-rays we use the VinDr-CXR dataset [18] including 22 differentlocal labelsTo be able to compare with the benchmarks reported in [6] weuse the same healthy subset of 4000 images for training along with their testset (DDADts) of 1000 healthy and 1000 unhealthy samples, with some minorchanges outlined as followsWe also evaluate usingthe true test set (VinDrts), where two senior radiologists have reviewed and consolidatedall labels.",6,0,0,0,0,0,0,0,"Thoracic/Chest, Cranial/Head and Neck","Radiology, Imaging Processing and Analysis",Limited Use of Demographic Data
22,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,"we adopted the training dataset of hecktor 2022 (refer to https://hecktor.grand-cha llenge.org/), including 488 h&n cancer patients acquired from seven medical centers [7], while the testing dataset was excluded as its ground-truth labels are not released.",2,1,1,0,0,0,0,0,No Organ Mentioned,Miscellaneous,Limited Use of Demographic Data
23,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"We use the publicly available Decath-Pancreas dataset of 273 segmentationsfrom patients who underwent pancreatic mass resection [24]. The shapes of the pancreas are highly variable and have thin structures, making itMesh2SSM 621 a good candidate for non-linear SSM analysis. The segmentations were isotropically resampled, smoothed, centered, and converted to meshes with roughly 2000 vertices. Although the DGCNN mesh autoencoder used in Mesh2SSM does not require the same number of vertices, uniformity across the dataset makes it computationally efficient; hence, we pad the smallest mesh by randomly repeatingthe vertices (akin to padding image for convolutions). The samples were randomlydivided, with 218 used for training, 26 for validation, and 27 for testing.",1,1,0,"Incorporating template feedback loop via VAE [13,21] analysis module helps in mitigating bias and capturing non-linear characteristics of the data.

mesh2ssm also includes an analysis network that operates on the learned correspondences to obtain a data-driven template point cloud (i.e., template point cloud), which can replace the initial template, and hence reducing the bias that could arise from template selection. incorporating template feedback loop via vae [13,21] analysis module helps in mitigating bias and capturing non-linear characteristics of the data.",0,0,0,0,Abdominal,Imaging Processing and Analysis,No Demographic Data
24,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"all images were acquired during clinical routine at the kardinal schwarzenberg hospital.
the mean and median age of patients at the date of dissection was 47 and 50 years, respectively.
the data set comprised 13 male and 27 female patients, corresponding to a slight gender imbalance. ",0,0,0,1,0,"the data set comprised 13 male and 27 female patients, corresponding to a slight gender imbalance. ",0,0,No Organ Mentioned,Miscellaneous,Extensive Use of Demographic Data
25,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"We train the universal and fine-grained anatomical point matchingmodel using an in-house CT dataset (VariousCT). The training dataset contains 52,487 unlabeled 3D CT volumes capturing various anatomies, including chest, head, abdomen, pelvis, and more.The evaluation is based on two datasets, the publicly released Deep Longitudinal Study (DLS) dataset [8] and the National Lung Screening Trial (NLST) dataset [12]. The DLS dataset is a subset of the DeepLesion [11] medical imaging dataset, containing 3891 pairs of lesions with information on their locationand size. The dataset covers various types of lesions across different organs.",3,1,0,0,0,0,0,0,"Pelvic, Abdominal, Thoracic/Chest, Cranial/Head and Neck",Radiology,No Demographic Data
26,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"and the overall survival time is affected by many factors, including patient characteristics (e.g., age and physical status), tissue histopathology (e.g., cellular density and nuclear atypia), and molecular pathology (e.g., mutations and gene expression levels)
it publicly released preprocessed restingstate fmri data of 1000 healthy right-handed subjects with an average age 21.5 ± 2.9 years and approximately equal numbers of males and females from the brain genomics superstruct project (gsp)

we conduct extensive experiments on 235 gbm patients in the training dataset of brats 2020. it provided an open-access pre-operative imaging training dataset to segment brain tumors of glioblastoma (gbm, belonging to high grade glioma) and low grade glioma (lgg) patients, as well as to predict overall survival time of gbm patients [18]. this training dataset contained 133 lgg and 236 gbm patients, and each patient had four mri modalities, including t1, post-contrast t1-weighted, t2-weighted, and t2 fluid attenuated inversion recovery.

overall survival time prediction of gbm patients in the training dataset of the brats 2020, in which one patient alive was excluded, and the remaining 235 patients consisted of 89 short-term survivors (less than 10 months), 59 mid-term survivors (between 10 and 15 months), and 87 long-term survivors (more than 15 months)",2,1,0,1,0,"in all experiments, we conducted five-fold crossvalidation ten times in order to reduce the effect of sampling bias",0,0,Cranial/Head and Neck,Radiology,Limited Use of Demographic Data
27,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,"10] is a colorectal nuclear dataset with three types, consisting of 41 h&e stained image tiles from 16 colorectal adenocarcinoma whole-slide images (wsis).
we split them following the official partition [1,10]. is a breast cancer dataset with three types and consists of 120 image tiles from 113 patients.
[9] has 291 histology images of colon tissue from six datasets, containing nearly half a million labeled nuclei in h&e stained colon tissue.",3,0,0,0,0,0,0,0,"Pelvic, Skin and Breast, Abdominal","Whole Slide Imaging, Miscellaneous, Pathology",No Demographic Data
28,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,"a 71-year-old patient with invasive mammary carcinoma in the left breast was enrolled in a study approved by the institutional review board at vanderbilt university.

sensitivity to regularized kelvinlet function hyperparameters is explored on a supine mr breast imaging dataset. the first explores sensitivity to regularized kelvinlet function hyperparameters k grab , k twist , ε grab , and ε twist and establishes optimal hyperparameters in a training dataset of 11 breast deformations. this dataset consists of supine breast mr images simulating surgical deformations from one breast cancer patient",1,0,0,0,0,0,0,0,Skin and Breast,Radiology,Limited Use of Demographic Data
29,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,real brain t1w mri data,0,0,0,0,0,0,0,0,Cranial/Head and Neck,Radiology,No Demographic Data
30,Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,"dataset and preprocessing: the t2-weighted mr images of 39 participants including 23 patients with npsle and 16 hcs were gathered from our affiliated hospital.', 'all images were acquired at an average age of 30.6 years. the experimental results on a benchmark npsle dataset ",1,0,0,0,0,0,0,0,No Organ Mentioned,Radiology,Limited Use of Demographic Data
31,SLPD: Slide-Level Prototypical Distillation for WSIs,"TCGANSCLC dataset includes two subtypes in lung cancer, Lung Squamous Cell Carcinoma and Lung Adenocarcinoma, with a total of 1,054 WSIs. TCGA-BRCAdataset includes two subtypes in breast cancer, Invasive Ductal and InvasiveLobular Carcinoma, with a total of 1,134 WSIs.",2,1,0,"However, the obtainedclustering centers, i.e., the prototypes, are inclined to represent the visual bias SLPD 263 related to staining or scanning procedure rather than medically relevant features[33]The inferior performance of theglobal clustering is due to the visual bias underlying the whole dataset.",0,0,0,0,"Skin and Breast, Thoracic/Chest",Whole Slide Imaging,No Demographic Data
32,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"We evaluated SAMix on two medical image datasets. Fundus [5,14] is an optic disc and cup segmentation task. Following [21], we consider images collected fromdifferent scanners as distinct domains. The source domain contains 400 images ofthe REFUGE [14] training set.We took 400 images from the REFUGE validationset and 159 images of RIM-One [5] to form the target domain 1 & 2. We centercrop and resize the disc region to 256 × 256 as network input. Camelyon [1] isa tumor tissue binary classification task across 5 hospitals. We use the trainingset of Camelyon as the source domain (302, 436 images from hospitals 1 − 3)and consider the validation set (34, 904 images from hospital 4) and test set(85, 054 images from the hospital 5) as the target domains 1 and 2, respectively.All the images are resized into 256 × 256 as network input. For all experiments,the source domain images are split into training and validation in the ratio of4 : 1. We randomly selected K-shot target domain images for training, while theremaining target domain images were reserved for testing.",4,1,0,0,0,0,0,0,Whole Body/Systemic,Imaging Processing and Analysis,Limited Use of Demographic Data
33,Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,"we targeted the age group from 6-24 months since pediatric patients are more susceptible to ionizing radiation and experience a greater cancer risk (up to 24% increase) from radiation exposure [7]. furthermore, surgery for craniosynostosis, a birth defect in which the skull bones fuse too early, typically occurs during this age [5,16]

the dataset comprises brain mr and ct volumes from 262 subjects. the dataset is divided into 249, 1 and 12 subjects for training, validating and testing set",1,0,0,0,0,0,0,0,Cranial/Head and Neck,Radiology,Limited Use of Demographic Data
34,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,"our dataset contained 282 consecutive patients who underwent thyroid nodule examination at nanjing drum tower hospital. all data were approved by the institutional review board of nanjing drum tower hospital, and all patients signed the informed consent before enrollment into the study.",1,0,0,0,0,0,0,0,Endocrine System,Miscellaneous,Limited Use of Demographic Data
35,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"in-house dataset of four CT phases and seven liver lesion classes. The employed single-phase annotated dataset is collected from Sir Run Run Shaw Hospital (SRRSH), affiliated with the Zhejiang University School of Medicine, and has received the ethics approval of IRB. The collection process can be found in supplementary materials.To handle the imbalance of dataset, we randomly select 586 lesions as the training and validation set with no more than 700 axial slices in each lesion type, and the rest 175 lesions constitute the test set. Lesions from the same patient are either assigned to the training and validation set or the test set, but not both.",1,0,0,1,0,0,0,0,Abdominal,Radiology,Limited Use of Demographic Data
36,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,"we evaluate the our uml network on two datasetsrefuge [14] and ispy-1 [13]. refuge contains two tasks, classification ofglaucoma and segmentation of optic disc/cup in fundus images. the overall 1200images were equally divided for training, validation, and testing. all imagesare uniformly adjusted to 256 × 256 px. the tasks of ispy-1 are the pcrprediction and the breast tumor segmentation. a total of 157 patients who sufferthe breast cancer are considered -43 achieve pcr and 114 non-pcr.for each case,we cut out the slices in the 3d image and totally got 1,570 2d images, which arerandomly divided into the train, validation, and test datasets with 1,230, 170,and 170 slices, respectively",2,0,0,0,0,0,0,0,Skin and Breast,"Miscellaneous, Imaging Processing and Analysis",No Demographic Data
37,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,"We used the public COVID-19 segmentation benchmark [15] to verify the proposed UCI. It is collected from two public resources [5,8] on chest CT images available on The Cancer Imaging Archive (TCIA) [4]. All CT images wereacquired without intravenous contrast enhancement from patients with positive Reverse Transcription Polymerase Chain Reaction (RT-PCR) for SARSCoV-2. In total, we used 199 CT images including 149 training images and 50 test images. We also used two chest x-ray-based classification datasets including ChestX-ray14 [18] and ChestXR [1] to assist the UCI training. The ChestXray14 dataset comprises 112,120 X-ray images showing positive cases from 30,805 patients, encompassing 14 disease image labels pertaining to thoracic and lung ailments. An image may contain multiple or no labels. The ChestXR dataset consists of 21,390 samples, with each sample classified as healthy, pneumonia, or COVID-19.",3,1,0,0,0,0,0,0,Thoracic/Chest,Radiology,No Demographic Data
38,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"we trained our model with a large dataset of 3500 cts of patients with head-and-neck cancer, more exactly 2297 patients from the publicly available the cancer imaging archive (tcia)
for reference, compared to 3dstylegan [10], our model achieved half their fid score on another brain mri dataset, with comparable ms-ssim. this approach may provide coarse reconstructions for patients with rare abnormalities, as most learning methods, but a larger dataset or developing a prior including tissue abnormalities could improve robustness",2,1,0,0,0,0,0,0,Cranial/Head and Neck,Radiology,No Demographic Data
