title,paper name,vol,Does the article contain any of these keywords: cancer/tumor/tumour?,Study subject labelled as ‘patient/patients’ in dataset(s),dataset quantity,quantity of public datasets,quantity of private datasets,Does the dataset contain sex-specific organ(s)?,Female and/or male organs?,location ,location as a healthcare facility,name of healthcare facility,location as other (center/department/laboratory/university/institution/online),name of location as other (center/department/laboratory/university/institution/online),location as large-scale geographical entity,name of location as large-scale geographical entity,location as subnational geographical entity,name of location as subnational geographical entity,Information found outside article (such as sup material and/or by references,organ_category,organ_types,Central Nervous System,Head and Neck,Cardiovascular System,Respiratory System,Digestive System,Lymphatic System,Musculoskeletal System,Integumentary System,Endocrine System,Whole Body,Genitourinary System,Male Reproductive System,Female Reproductive System,No Organ Mentioned,Zoology,organ_category_refined,image_category,demographics_usage,dataset_disclosure_category,dataset_status,location_category
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,11,5,1,1,2,0,0,0,,1,1,['hassadah university hospital'],0,['No Name'],1,['Israel'],1,['Jerusalem'],0,"['Respiratory System', 'Digestive System']","['lung', 'liver']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Digestive and Excretory Systems","Computed Tomography (CT), Magnetic Resonance Imaging (MRI)",Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,61,3,1,1,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Lymphatic System', 'Respiratory System']","['spleen', 'lung']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Regulatory Systems","Computed Tomography (CT), Positron Emission Tomography (PET)",No Demographic Data,Full Disclosure,All Public,No Location information
Histopathology Image Classification Using Deep Manifold Contrastive Learning,66,6,1,1,2,0,0,0,,1,1,['seoul national university hospital'],0,['No Name'],1,['south korea'],1,['seoul'],0,['Digestive System'],['liver'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Digestive and Excretory Systems,Histology and Pathology,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,8,5,1,1,2,1,1,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Digestive System', 'Lymphatic System', 'Endocrine System']","['liver', 'gallbladder', 'hepatic vein', 'spleen', 'stomach', 'pancreas']",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"Digestive and Excretory Systems, Regulatory Systems",Computed Tomography (CT),No Demographic Data,Full Disclosure,Public and Private,No Location information
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,45,2,1,1,4,0,0,0,,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Digestive System', 'Respiratory System', 'Head and Neck']","['abdomen', 'thorax', 'head and neck ']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Digestive and Excretory Systems, Central and Peripheral Nervous System",Computed Tomography (CT),Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,16,1,1,0,4,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Central Nervous System', 'Respiratory System']","['brain', 'chest']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Central and Peripheral Nervous System, Circulatory and Respiratory Systems","Magnetic Resonance Imaging (MRI), X-ray and Radiography",No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,39,6,1,1,1,1,0,0,,1,1,"['chum', 'chuv']",0,['No Name'],0,['No Name'],0,['No Name'],1,['Head and Neck'],"['head and neck', 'h&n']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Computed Tomography (CT),Limited Use of Demographic Data,Full Disclosure,All Public,Healthcare facility
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,59,1,1,1,1,1,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Endocrine System'],['pancreas'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulatory Systems,Miscellaneous,No Demographic Data,Full Disclosure,All Public,No Location information
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,46,6,1,1,2,0,0,0,,1,1,['kardinal schwarzenberg hospital'],0,['No Name'],0,['No Name'],1,['salzburg'],0,['Endocrine System'],['thyroid'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulatory Systems,Histology and Pathology,Extensive Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Multi-scale Prototypical Transformer for Whole Slide Image Classification,58,6,1,0,2,2,0,0,,1,0,['No Name'],1,['national cancer institute data portal '],0,['No Name'],0,['No Name'],0,"['Lymphatic System', 'Respiratory System']","['lymp nodes', 'lung']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Regulatory Systems",Histology and Pathology,Limited Use of Demographic Data,Full Disclosure,All Public,Other
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,55,1,1,1,3,2,1,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Digestive System', 'Respiratory System', 'Lymphatic System']","['liver', 'lung', 'lymp nodes']",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Digestive and Excretory Systems, Regulatory Systems",Computed Tomography (CT),No Demographic Data,Full Disclosure,Public and Private,No Location information
MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,62,5,1,0,1,0,1,0,,1,1,['fujian provincial hospital'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Genitourinary System'],['renal'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Digestive and Excretory Systems,Ultrasound,Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,29,8,1,1,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Full Disclosure,All Public,No Location information
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,1,3,1,0,6,4,0,0,,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Digestive System', 'Cardiovascular System', 'Respiratory System']","['abdomen', 'heart']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"Circulatory and Respiratory Systems, Digestive and Excretory Systems","Computed Tomography (CT), Magnetic Resonance Imaging (MRI)",Limited Use of Demographic Data,Partial Disclosure,Some Public Some Unknown,Healthcare facility
Prompt-Based Grouping Transformer for Nucleus Detection and Classification,55,8,1,1,3,3,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Digestive System', 'Female Reproductive System']","['colorectal', 'breast', 'colon  ']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Digestive and Excretory Systems, Female Reproductive System","Histology and Pathology, Miscellaneous",No Demographic Data,Full Disclosure,All Public,No Location information
Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,33,9,1,1,2,0,0,0,,1,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Subnational geographical entity
Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,15,8,1,1,2,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,"['Central Nervous System', 'Zoology']","['human brain', 'monkey brain']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Central and Peripheral Nervous System, Zoology","Magnetic Resonance Imaging (MRI), Miscellaneous",No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,29,5,1,0,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,Magnetic Resonance Imaging (MRI),No Demographic Data,Full Disclosure,All Public,No Location information
Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,13,5,1*,1,1,0,0,0,,1,1,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['No Organ Mentioned'],['no organ mentioned'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No Organ Mentioned,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,3,5,1,0,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],1,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Histology and Pathology,No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
SLPD: Slide-Level Prototypical Distillation for WSIs,25,1,1,0,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Respiratory System', 'Female Reproductive System']","['lung', 'breast']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Circulatory and Respiratory Systems, Female Reproductive System",Histology and Pathology,No Demographic Data,Full Disclosure,All Public,No Location information
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,69,1,1,0,4,0,0,0,,1,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Whole Body'],['tissue'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whole Body,Miscellaneous,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Subnational geographical entity
Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,6,10,1,1,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Central Nervous System'],['brain'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,"Computed Tomography (CT), Magnetic Resonance Imaging (MRI)",Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,8,7,1,1,1,0,1,0,,1,0,['No Name'],1,['No Name'],0,['No Name'],0,['No Name'],0,['Female Reproductive System'],['breast'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female Reproductive System,Magnetic Resonance Imaging (MRI),Limited Use of Demographic Data,Full Disclosure,All Private,Other
Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,17,6,1,1,1,0,0,0,,1,1,['nanjing drum tower hospital'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Endocrine System'],['thyroid'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Regulatory Systems,Ultrasound,Limited Use of Demographic Data,Dataset Status Undisclosed,Unknown,Healthcare facility
Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,64,9,1,1,1,1,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Central Nervous System'],"['cerebral', 'brain ']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central and Peripheral Nervous System,"Ultrasound, Magnetic Resonance Imaging (MRI)",No Demographic Data,Full Disclosure,All Public,No Location information
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,29,10,1,0,1,0,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Zoology'],['swine liver'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Zoology,Ultrasound,No Demographic Data,Dataset Status Undisclosed,Unknown,No Location information
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,32,2,1,1,1,0,1,0,,1,1,"['sir run run shaw hospital', 'zhejiang university school of medicine']",1,[' zhejiang university school of medicine'],0,['No Name'],0,['No Name'],0,['Digestive System'],['liver'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Digestive and Excretory Systems,Computed Tomography (CT),Limited Use of Demographic Data,Full Disclosure,All Private,Healthcare facility
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,77,6,1,1,5,0,5,0,,1,0,['No Name'],1,['No Name'],0,['No Name'],0,['No Name'],0,['Respiratory System'],['lung'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,Histology and Pathology,Limited Use of Demographic Data,Full Disclosure,All Private,Other
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,4,4,1,1,2,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,"['Female Reproductive System', 'Central Nervous System']","['breast', 'eye']",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Central and Peripheral Nervous System, Female Reproductive System","Miscellaneous, Optical Imaging",No Demographic Data,Full Disclosure,All Public,No Location information
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,58,3,1,1,4,2,0,0,,0,0,['No Name'],0,['No Name'],0,['No Name'],0,['No Name'],0,['Respiratory System'],['chest'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Circulatory and Respiratory Systems,"Computed Tomography (CT), Miscellaneous, X-ray and Radiography",No Demographic Data,Partial Disclosure,Some Public Some Unknown,No Location information
