,title,extracted_keyword_sent
34,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,"(2) large-scale colonoscopy
generation: the proposed approach can be used to generate large-scale datasets
with no/arbitrary annotations, which significantly benefits the medical image
society, laying the foundation for large-scale pre-training models in automatic
colonoscopy analysis."
35,Synthetic Augmentation with Large-Scale Unconditional Pre-training,none
36,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
37,Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,none
38,Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
39,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,none
40,Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,none
41,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
42,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"in
hospitals, collected multi-phase cts are normally grouped by patients rather
than lesions, which makes single-phase lesion annotation insufficient for
feature fusion learning."
43,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"vision transformers can get excellent performance on large-scale datasets such
as imagenet [4], but they are also prone to overfit on small datasets such as
private hospital datasets."
44,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"the employed single-phase annotated dataset is collected from sir run
run shaw hospital (srrsh), affiliated with the zhejiang university school of
medicine, and has received the ethics approval of irb."
45,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
46,COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,none
47,Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,none
48,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"we
evaluate our continual learning method using three datasets: btcv [8], lits [1]
and jhh [25] (a private dataset at johns hopkins hospital) 1 ."
49,Efficient Subclass Segmentation in Medical Images,none
50,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"future challenges
include improving scalability with fewer manual operations, validating
segmentation maps from a more objective perspective, and comparing our proposed
algorithm with existing methods, such as those based on superpixels [10].data
use declaration and acknowledgment: the pelvic mri and chest ct datasets were
collected from the national cancer center hospital."
51,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"both were in-house datasets collected
from a single hospital."
52,Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,none
53,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,none
54,Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,none
55,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,none
56,DeDA: Deep Directed Accumulator,none
57,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,none
58,SFusion: Self-attention Based N-to-One Multimodal Fusion Block,none
59,VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation,none
60,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,none
61,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"although there are publicly available liver
tumor datasets [1,24], they only contain major tumor types and differ in image
characteristics and label distribution from our hospital's data."
62,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"deploying a
model trained from public data to our hospital directly will be
problematic.collecting large-scale data from our hospital and training a new
model will be expensive."
63,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"therefore, we can use the model trained from them as a
starting point and use slpt to adapt it to our hospital with minimum cost."
64,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"we
collected a dataset from our in-house hospital comprising 941 ct scans with
eight categories: hepatocellular carcinoma, cholangioma, metastasis,
hepatoblastoma, hemangioma, focal nodular hyperplasia, cyst, and others."
65,UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,none
66,Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,none
67,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,none
68,Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,none
69,DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,none
70,MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,none
71,Co-assistant Networks for Label Correction,none
72,Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,none
73,Robust T-Loss for Medical Image Segmentation,none
74,Multi-Head Multi-Loss Model Calibration,none
75,Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,none
76,Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,none
77,Understanding Silent Failures in Medical Image Classification,"we emulate two acquisition shifts by defining either images from
the memorial sloan kettering cancer center (mskcc) or hospital clinic barcelona
(hcb) as the target domain and the remaining images as the source domain."
78,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,"the in-house pancreas
tumor dataset collected from a cooperative hospital is composed of eight
classes: pdac (302), ipmn (71), net (43), scn (37), asc (33), cp (6), mcn (3),
and panin (1)."
79,Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,none
80,WeakPolyp: You only Look Bounding Box for Polyp Segmentation,none
81,Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,none
82,ACC-UNet: A Completely Convolutional UNet Model for the 2020s,none
83,FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,none
84,Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the japanese society of radiological technology (jsrt) dataset
consists of 247 chest x-rays [26]."
85,DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation,none
86,Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,"in clinics, couinaud segments obtained from manual
annotation are tedious and time-consuming, based on the vasculature used as
rough guide (fig."
87,HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"this study is approved by the ethical committee of west china
hospital of sichuan university, china."
88,Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,none
89,Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,none
90,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,none
91,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,none
92,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,none
93,Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,none
94,Learning Reliability of Multi modality Medical Images for Tumor Segmentation via Evidence Identified Denoising Diffusion Probabilistic Models,"in the clinic, the consistent
information and complementary information in multi-modality medical images
provide the basis for tumor diagnosis."
95,Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,none
96,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,none
97,SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,none
98,Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,none
99,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,none
100,DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,none
101,HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation,none
102,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,none
103,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,none
104,Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,none
105,RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,none
106,Certification of Deep Learning Models for Medical Image Segmentation,none
107,Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,none
108,A Sheaf Theoretic Perspective for Robust Prostate Segmentation,none
109,MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,none
110,Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,none
111,A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,none
112,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"concerning the inherent issue of imbalanced tumor types in the training data
collected in clinic, a novel ordinal manifold mixup based feature augmentation
is presented and applied in the training stage of the tumor subtyping network."
113,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in this way, inconsistency between the augmented features and the corresponding
labels can be effectively reduced.our method is evaluated using pre-operative
multimodal mr brain images of 1726 diffuse glioma patients collected from
cooperation hospitals and a public dataset brats2019 [12] containing multimodal
mr brain images of 210 patients."
114,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"to solve the inherent issue of
imbalanced tumor type in the training data collected in clinic, a novel ordinal
manifold mixup based feature augmentation is applied in the training of the
tumor subtyping network."
115,Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"specifically, the in-house dataset collected in cooperation hospitals
contains pre-operative multimodal mr images, including t1, t1 contrast enhanced
(t1c), t2, and flair, of 1726 patients (age 49.7 ± 13.1) with confirmed diffuse
glioma types."
116,Medical Boundary Diffusion Model for Skin Lesion Segmentation,none
117,H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,none
118,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,none
119,Learnable Cross-modal Knowledge Distillation for Multi-modal Learning with Missing Modality,none
120,QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,none
121,EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,"as
estimated by the american cancer society, there were approximately 100,350 new
cases and over 6,500 deaths in 2020 [14]."
122,Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,none
123,Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,none
124,EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,none
125,EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,none
126,Factor Space and Spectrum for Medical Hyperspectral Image Segmentation,none
127,Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,none
128,Robust Exclusive Adaptive Sparse Feature Selection for Biomarker Discovery and Early Diagnosis of Neuropsychiatric Systemic Lupus Erythematosus,"dataset and preprocessing: the t2-weighted mr images of 39 participants
including 23 patients with npsle and 16 hcs were gathered from our affiliated
hospital."
129,CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,none
130,Self- and Semi-supervised Learning for Gastroscopic Lesion Detection,"collection : lgmdd collects about 1m+ gastroscopic
images from 2 hospitals of about 500 patients and their diagnosis reports."
131,Revisiting Feature Propagation and Aggregation in Polyp Segmentation,none
132,"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",none
133,Automatic Bleeding Risk Rating System of Gastric Varices,"this may cause inconsistency or even
misdiagnosis due to the variant experience of endoscopists in different
hospitals."
134,Automatic Bleeding Risk Rating System of Gastric Varices,"all of these cases are collected
from 411 patients in a grade-iii class-a hospital during the period from 2017 to
2022."
135,Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,none
136,Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,none
137,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,"for the ncct, we annotate over 4,029 nodules from
over 2,565 patients from our collaborating hospital."
138,Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,"the in-house cohort was retrospectively collected from 2,565 patients
at our collaborating hospital between 2019 and 2022."
139,M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,"academic
hospital (see [18], sec."
140,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,none
141,SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,none
142,Text-Guided Foundation Model Adaptation for Pathological Image Classification,none
143,Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,none
144,Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,none
145,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,none
146,Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,none
147,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,"we further collect 36 cases from
the two medical centers mentioned above (14 benign cases) and another center
(fujian provincial hospital, 22 malignant cases) to form the test set."
148,MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,"there is an obvious visual difference between
the images from the fujian provincial hospital (last column in fig."
149,Patients and Slides are Equal: A Multi-level Multi-instance Learning Framework for Pathological Image Analysis,none
150,Learning with Synthesized Data for Generalizable Lesion Detection in Real PET Images,none
151,What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,none
152,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,"in this study, we used data from shengjing hospital to train our method
with 892 patients, and data from three other centers, including guangdong
provincial people's hospital, tianjin medical university and sun yatsen
university cancer center for independent testing with 178 patients."
153,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,"pdac masks for 340 patients were manually labeled by a
radiologist from shengjing hospital with 18 years of experience in pancreatic
cancer, while the rest were predicted using self-learning models [11,24] and
checked by the same annotator."
154,DCAug: Domain-Aware and Content-Consistent Cross-Cycle Framework for Tumor Augmentation,none
155,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,"our study analyzed a dataset of ct scans collected
from guangdong province people's hospital between years 2018 and 2020, with
2,139 patients consisting of 787 gastric cancer and 1,352 normal cases."
156,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,"to further evaluate specificity in
a larger population, we collected an external test set of 903 normal cases from
shengjing hospital."
157,Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,"a reader study was conducted with two
experienced radiologists, one from guangdong province people's hospital with 20
years of experience and the other from the first affiliated hospital of zhejiang
university with 9 years of experience in gastric imaging."
158,Self-supervised Polyp Re-identification in Colonoscopy,none
159,YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,none
160,Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,"breast cancer is a life-threatening disease that has surpassed lung cancer as
leading cancer in some countries and regions [20]."
161,Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,none
162,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,"hence, it is not clear how well
they will work in such a scenario.in this work, we evaluate an attention-based
mil model on unseen data from a new hospital and propose a way to quantify the
domain shift severity."
163,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,"we split the data from the new
hospital into several subsets to investigate clinically realistic scenarios
triggering different levels of domain shift."
164,Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,"our results show that domain
shift is present between the wsis from the same hospital (camelyon data) and
another medical centre (brln data)."
165,Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,none
166,Self-supervised Learning for Endoscopic Video Analysis,none
167,Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,none
168,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,"this
group should be managed differently from the rest of the low-risk prostate
cancer patients in the clinic."
169,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,"the images are extracted from 16
colorectal adenocarcinoma wsis, each of which belongs to an individual patient,
and scanned with an omnyx vl120 scanner within the department of pathology at
university hospitals coventry and warwickshire, uk."
170,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,"this work was
supported by msk cancer center support grant/core grant (p30 ca008748) and by
james and esther king biomedical research grant (7jk02) and moffitt merit
society award to c."
171,Detection of Basal Cell Carcinoma in Whole Slide Images,none
172,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,none
173,Multi-scale Prototypical Transformer for Whole Slide Image Classification,none
174,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,"our dataset contained 282 consecutive patients who underwent thyroid
nodule examination at nanjing drum tower hospital."
175,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,"all data were approved by the institutional review board of
nanjing drum tower hospital, and all patients signed the informed consent before
enrollment into the study.implementation details."
176,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,none
177,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"in this study, we
introduce a novel approach called triangular analysis of geographical interplay
of lymphocytes (triangil), representing a unique and interpretable way to
characterize the distribution, and higher-order interaction of various cell
families (e.g., cancerous cells, stromal cells, lymphocyte subtypes) across
digital histopathology slides."
178,Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,"we presented a new approach, triangular analysis of geographical interplay of
lymphocytes (triangil), to quantitatively chartacterize the spatial arrangement
and relative geographical interplay of multiple cell families across
pathological images."
179,NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,none
180,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,"we measure the performance of our model on an in-house
rectum cancer dataset which contains 130 patients who underwent volumetric
modulated arc therapy (vmat) treatment at west china hospital."
181,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,none
182,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"cervical cancer is a common and severe disease that affects millions of women
globally, particularly in developing countries [9]."
183,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,"in this study, we have collected 5384 cervical
cytopathological wsi by 20x lens, each with 20000 × 20000 pixels, from our
collaborating hospitals."
184,Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,none
185,Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,none
186,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,none
187,Learning Robust Classifier for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,none
188,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,"-no potential focal infection in the liver before the
colorectal radical surgery.-no metastases in other organs before the liver
metastases.-no other malignant tumors.our retrospective dataset includes two
cohorts from two hospitals."
189,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,none
190,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,none
191,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,none
192,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,none
193,Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,none
194,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,none
195,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,none
196,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,none
197,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,none
198,StainDiff: Transfer Stain Styles of Histology Images with Denoising Diffusion Probabilistic Models and Self-ensemble,"meanwhile, in some clinical settings, multiple institutions or hospitals are
involved, where stain normalization is usually employed for multiple stain
styles to one style alignment."
199,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,"all images were acquired during clinical
routine at the kardinal schwarzenberg hospital."
200,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,none
201,Gene-Induced Multimodal Pre-training for Image-Omic Classification,none
202,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"the dataset for the former task was collected from 168 patients
with 332 wsis from seoul national university hospital."
203,Histopathology Image Classification Using Deep Manifold Contrastive Learning,"this study was approved by the institutional review board of seoul national
university hospital (irb no.h-1011-046-339)."
204,Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,none
205,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,"[13] 0.580 ± 0.005 0.634 ± 0.005 0.617 ± 0.094 deepattnmisl [26] 0.570 ± 0.001
0.644 ± 0.009 0.584 ± 0.019 clam [18] 0.575 ± 0.010 0.641 ± 0.002 0.635 ± 0.006
dsmil [16] 0.550 ± 0.016 0.626 ± 0.005 0.603 ± 0.022 patchgcn [ we selected the
crc dataset for further interpretable analysis, as it is one of
the leading causes of mortality in industrialized countries, and its
prognosis-related factors have been widely studied [3,8]."
206,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,none
207,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,"although patch-level labels are officially
provided in camelyon16, they were not used in our experiments.the second dataset
is a private hepatocellular carcinoma (hcc) dataset collected from sir run run
shaw hospital, hangzhou, china."
208,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,none
209,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,none
210,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,none
211,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,"this model requires gaze input during both the
training and inference stages, which limits its practical use in hospitals
without eyetrackers."
212,CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows,"(2) aapm-mayo clinic low-dose ct ""grand challenge"" dataset,
a publicly available grand challenge dataset consisting of 5,936 abdominal ct
images from 10 patient cases reconstructed at 1.0 mm slice thickness."
213,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,none
214,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,"the in-house
dataset comprises 43,258 mammography exams from 10,670 women between 2004-2020,
collected from a hospital with irb approvals."
215,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,none
216,Skin Lesion Correspondence Localization in Total Body Photography,none
217,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,"the samples were evaluated according to the
international society of urological pathology (isup) standards under the
supervision of a dedicated uropathologist."
218,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,none
219,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,"we use a dataset of 172 patients containing 94 paaf and 78 peaf cases
collected from the sun yat-sen memorial hospital in china."
220,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,none
221,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"npc is characterized
by a distinct geographical distribution in southeast asia, north africa, and
arctic [2]."
