,Title,search_pattern
106,Gene-Induced Multimodal Pre-training for Image-Omic Classiﬁcation,gene-induced multimodal
107,ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,all-in: a
108,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,pathology-and-genomics multimodal
109,Multi-scale Prototypical Transformer for Whole,multi-scale prototypical
110,Instance-Aware Diﬀusion Model,instance-aware diﬀusion
111,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,label-free nuclei
112,Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Inﬁltrating Lymphocytes and Tumors,transfer learning-assisted
113,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,higt: hierarchical
114,Histopathology Image Classiﬁcation Using,histopathology image
115,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,multi-scope analysis
116,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,darc: distribution-aware
117,An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,an anti-biased
118,IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,iib-mil: integrated
119,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,an ai-ready
120,Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,position-aware masked
121,Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,semi-supervised pathological
122,Iteratively Coupled Multiple Instance Learning from Instance to Bag Classiﬁer for Whole Slide Image Classiﬁcation,iteratively coupled
123,Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,mining negative
124,Artifact Restoration in Histology Images with Diﬀusion Probabilistic Models,artifact restoration
125,Multi-modal Pathological Pre-training,multi-modal pathological
126,Segment Membranes and Nuclei from Histopathological Images via Nuclei Point-Level Supervision,segment membranes
127,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,mixup-mil: novel
128,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,towards novel
129,CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classiﬁcation,cellgan: conditional
130,StainDiﬀ: Transfer Stain Styles of Histology Images with Denoising Diﬀusion Probabilistic Models and Self-ensemble,staindiﬀ: transfer
131,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,progressive attention
132,MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,mpbd-lstm: a
133,Detection of Basal Cell Carcinoma in Whole Slide Images,detection of
134,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,diffdp: radiotherapy
135,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,detection-free pipeline
136,Learning Robust Classiﬁer for Imbalanced Medical Image Dataset with Noisy Labels by Minimizing Invariant Risk,learning robust
137,Radiomics-Informed Deep Learning for Classiﬁcation of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,radiomics-informed deep
138,CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,clip-lung: textual
139,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,second-course esophageal
140,Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,synthesis of
141,Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,developing large
142,Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classiﬁcation,mammo-net: integrating
143,DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,disasymnet: disentanglement
144,Automated CT Lung Cancer Screening Workﬂow Using 3D Camera,automated ct
145,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,probabilistic modeling
146,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,clustering disease
147,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,scribble-based 3d
148,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,clinical evaluation
149,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,anatomy-informed data
150,Multi-task Learning of Histology and Molecular Markers for Classifying Diﬀuse Glioma,multi-task learning
151,Segmentation of Kidney Tumors,segmentation of
152,MSKdeX: Musculoskeletal (MSK) Decomposition from an X-Ray Image for Fine-Grained Estimation of Lean Muscle Mass and Muscle Volume,mskdex: musculoskeletal
153,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,bridging ex-vivo
154,EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,epvt: environment-aware
155,CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,circleformer: circular
156,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Speciﬁc Prompt Tuning,prompt-mil: boosting
157,Deep Unsupervised Clustering for Conditional Identiﬁcation of Subgroups Within a Digital Pathology Image Set,deep unsupervised
158,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,3d mitochondria
159,Diﬀusion-Based Data Augmentation for Nuclei Image Segmentation,diﬀusion-based data
160,Prompt-Based Grouping Transformer for Nucleus Detection and Classiﬁcation,prompt-based grouping
161,B-Cos Aligned Transformers Learn Human-Interpretable Features,b-cos aligned
162,Self-supervised Dense Representation,self-supervised dense
163,A Texture Neural Network to Predict,a texture
164,"Intraoperative CT Augmentation for Needle-Based Liver Interventions Sidaty El hadramy1,2,",intraoperative ct
165,Foundation Model for Endoscopy Video Analysis via Large-Scale Self-supervised Pre-train,foundation model
166,Optical Coherence Elastography Needle,optical coherence
167,Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,towards multi-modal
168,FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,focalerrornet: uncertainty-aware
169,FLIm-Based in Vivo Classiﬁcation of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,flim-based in
170,Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,cascade transformer
171,"Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation Elias R¨ufenacht1(B) ,",dose guidance
172,Imitation Learning from Expert Video Data for Dissection Trajectory Prediction in Endoscopic Surgical Procedure,imitation learning
173,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,regularized kelvinlet
174,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,detecting the
175,"Trackerless Volume Reconstruction from Intraoperative Ultrasound Images Sidaty El hadramy1,2,",trackerless volume
176,MoCoSR: Respiratory Motion Correction and Super-Resolution for 3D Abdominal MRI,mocosr: respiratory
177,Low-Dose CT Image Super-Resolution,low-dose ct
178,"LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline V´ıctor M. Batlle1(B), Jos´e M. M. Montiel1,",lightneus: neural
179,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,structuregnet: structure-guided
180,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,x2vision: 3d
181,DISA: DIﬀerentiable Similarity Approximation for Universal Multimodal Registration,disa: diﬀerentiable
182,Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation Vu Minh,structure-preserving synthesis:
183,An Explainable Deep Framework: Towards Task-Speciﬁc Fusion for Multi-to-One MRI Synthesis,an explainable
184,Solving Low-Dose CT Reconstruction,solving low-dose
185,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,noise2aliasing: unsupervised
186,Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,revealing anatomical
187,Geometric Ultrasound Localization,geometric ultrasound
188,FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,freeseed: frequency-band-aware
