,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
16,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,"Yu-Jen Chen, Xinrong Hu, Yiyu Shi, Tsung-Yi Ho",173-182,10.1007/978-3-031-43907-0_17,2023,01
17,Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,"Thanh Nguyen-Duc, Trung Le, Roland Bammer, He Zhao, Jianfei Cai, Dinh Phung",183-194,10.1007/978-3-031-43907-0_18,2023,01
18,AMAE: Adaptation of Pre-trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays,"Behzad Bozorgtabar, Dwarikanath Mahapatra, Jean-Philippe Thiran",195-205,10.1007/978-3-031-43907-0_19,2023,01
19,Gall Bladder Cancer Detection from US Images with only Image Level Labels,"Soumen Basu, Ashish Papanai, Mayank Gupta, Pankaj Gupta, Chetan Arora",206-215,10.1007/978-3-031-43907-0_20,2023,01
20,Dual Conditioned Diffusion Models for Out-of-Distribution Detection: Application to Fetal Ultrasound Videos,"Divyanshu Mishra, He Zhao, Pramit Saha, Aris T. Papageorghiou, J. Alison Noble",216-226,10.1007/978-3-031-43907-0_21,2023,01
21,Weakly-Supervised Positional Contrastive Learning: Application to Cirrhosis Classification,"Emma Sarfati, Alexandre Bône, Marc-Michel Rohé, Pietro Gori, Isabelle Bloch",227-237,10.1007/978-3-031-43907-0_22,2023,01
22,Inter-slice Consistency for Unpaired Low-Dose CT Denoising Using Boosted Contrastive Learning,"Jie Jing, Tao Wang, Hui Yu, Zexin Lu, Yi Zhang",238-247,10.1007/978-3-031-43907-0_23,2023,01
23,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"Gianpaolo Bontempo, Angelo Porrello, Federico Bolelli, Simone Calderara, Elisa Ficarra",248-258,10.1007/978-3-031-43907-0_24,2023,01
24,SLPD: Slide-Level Prototypical Distillation for WSIs,"Zhimiao Yu, Tiancheng Lin, Yi Xu",259-269,10.1007/978-3-031-43907-0_25,2023,01
25,PET Image Denoising with Score-Based Diffusion Probabilistic Models,"Chenyu Shen, Ziyuan Yang, Yi Zhang",270-278,10.1007/978-3-031-43907-0_26,2023,01
26,LSOR: Longitudinally-Consistent Self-Organized Representation Learning,"Jiahong Ouyang, Qingyu Zhao, Ehsan Adeli, Wei Peng, Greg Zaharchuk, Kilian M. Pohl",279-289,10.1007/978-3-031-43907-0_27,2023,01
27,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,"Francesca De Benetti, Walter Simson, Magdalini Paschali, Hasan Sari, Axel Rominger, Kuangyu Shi et al.",290-299,10.1007/978-3-031-43907-0_28,2023,01
28,Geometry-Invariant Abnormality Detection,"Ashay Patel, Petru-Daniel Tudosiu, Walter Hugo Lopez Pinaya, Olusola Adeleke, Gary Cook, Vicky Goh et al.",300-309,10.1007/978-3-031-43907-0_29,2023,01
29,Modeling Alzheimers Disease Progression from Multi-task and Self-supervised Learning Perspective with Brain Networks,"Wei Liang, Kai Zhang, Peng Cao, Pengfei Zhao, Xiaoli Liu, Jinzhu Yang et al.",310-319,10.1007/978-3-031-43907-0_30,2023,01
30,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"Nurislam Tursynbek, Marc Niethammer",320-330,10.1007/978-3-031-43907-0_31,2023,01
31,Domain Adaptation for Medical Image Segmentation Using Transformation-Invariant Self-training,"Negin Ghamsarian, Javier Gamazo Tejero, Pablo Márquez-Neila, Sebastian Wolf, Martin Zinkernagel, Klaus Schoeffmann et al.",331-341,10.1007/978-3-031-43907-0_32,2023,01
32,Multi-IMU with Online Self-consistency for Freehand 3D Ultrasound Reconstruction,"Mingyuan Luo, Xin Yang, Zhongnuo Yan, Junyu Li, Yuanji Zhang, Jiongquan Chen et al.",342-351,10.1007/978-3-031-43907-0_33,2023,01
33,Deblurring Masked Autoencoder Is Better Recipe for Ultrasound Image Recognition,"Qingbo Kang, Jun Gao, Kang Li, Qicheng Lao",352-362,10.1007/978-3-031-43907-0_34,2023,01
34,Youve Got Two Teachers: Co-evolutionary Image and Report Distillation for Semi-supervised Anatomical Abnormality Detection in Chest X-Ray,"Jinghan Sun, Dong Wei, Zhe Xu, Donghuan Lu, Hong Liu, Liansheng Wang et al.",363-373,10.1007/978-3-031-43907-0_35,2023,01
35,Masked Vision and Language Pre-training with Unimodal and Multimodal Contrastive Losses for Medical Visual Question Answering,"Pengfei Li, Gang Liu, Jinlong He, Zixu Zhao, Shenjun Zhong",374-383,10.1007/978-3-031-43907-0_36,2023,01
36,CL-ADDA: Contrastive Learning with Amplitude-Driven Data Augmentation for fMRI-Based Individualized Predictions,"Jiangcong Liu, Le Xu, Yun Guan, Hao Ma, Lixia Tian",384-393,10.1007/978-3-031-43907-0_37,2023,01
37,"An Auto-Encoder to Reconstruct Structure with Cryo-EM Images via Theoretically Guaranteed Isometric Latent Space, and Its Application for Automatically Computing the Conformational Pathway","Kimihiro Yamazaki, Yuichiro Wada, Atsushi Tokuhisa, Mutsuyo Wada, Takashi Katoh, Yuhei Umeda et al.",394-404,10.1007/978-3-031-43907-0_38,2023,01
38,Knowledge Boosting: Rethinking Medical Contrastive Vision-Language Pre-training,"Xiaofei Chen, Yuting He, Cheng Xue, Rongjun Ge, Shuo Li, Guanyu Yang",405-415,10.1007/978-3-031-43907-0_39,2023,01
39,A Small-Sample Method with EEG Signals Based on Abductive Learning for Motor Imagery Decoding,"Tianyang Zhong, Xiaozheng Wei, Enze Shi, Jiaxing Gao, Chong Ma, Yaonai Wei et al.",416-424,10.1007/978-3-031-43907-0_40,2023,01
40,Multi-modal Variational Autoencoders for Normative Modelling Across Multiple Imaging Modalities,"Ana Lawry Aguila, James Chapman, Andre Altmann",425-434,10.1007/978-3-031-43907-0_41,2023,01
41,LOTUS: Learning to Optimize Task-Based US Representations,"Yordanka Velikova, Mohammad Farid Azampour, Walter Simson, Vanessa Gonzalez Duque, Nassir Navab",435-445,10.1007/978-3-031-43907-0_42,2023,01
42,Unsupervised 3D Out-of-Distribution Detection with Latent Diffusion Models,"Mark S. Graham, Walter Hugo Lopez Pinaya, Paul Wright, Petru-Daniel Tudosiu, Yee H. Mah, James T. Teo et al.",446-456,10.1007/978-3-031-43907-0_43,2023,01
43,Improved Multi-shot Diffusion-Weighted MRI with Zero-Shot Self-supervised Learning Reconstruction,"Jaejin Cho, Yohan Jun, Xiaoqing Wang, Caique Kobayashi, Berkin Bilgic",457-466,10.1007/978-3-031-43907-0_44,2023,01
44,Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"Ali K. Z. Tehrani, Hassan Rivaz",467-476,10.1007/978-3-031-43907-0_45,2023,01
45,Weakly Supervised Lesion Localization of Nascent Geographic Atrophy in Age-Related Macular Degeneration,"Heming Yao, Adam Pely, Zhichao Wu, Simon S. Gao, Robyn H. Guymer, Hao Chen et al.",477-485,10.1007/978-3-031-43907-0_46,2023,01
46,Can Point Cloud Networks Learn Statistical Shape Models of Anatomies?,"Jadie Adams, Shireen Y. Elhabian",486-496,10.1007/978-3-031-43907-0_47,2023,01
47,"CT-Guided, Unsupervised Super-Resolution Reconstruction of Single 3D Magnetic Resonance Image","Jiale Wang, Alexander F. Heimann, Moritz Tannast, Guoyan Zheng",497-507,10.1007/978-3-031-43907-0_48,2023,01
48,Image2SSM: Reimagining Statistical Shape Models from Images with Radial Basis Functions,"Hong Xu, Shireen Y. Elhabian",508-517,10.1007/978-3-031-43907-0_49,2023,01
49,MDA-SR: Multi-level Domain Adaptation Super-Resolution for Wireless Capsule Endoscopy Images,"Tianbao Liu, Zefeiyun Chen, Qingyuan Li, Yusi Wang, Ke Zhou, Weijie Xie et al.",518-527,10.1007/978-3-031-43907-0_50,2023,01
50,PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,"Siwoo Nam, Jaehoon Jeong, Miguel Luna, Philip Chikontwe, Sang Hyun Park",528-538,10.1007/978-3-031-43907-0_51,2023,01
51,Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"Kyungsu Lee, Haeyun Lee, Georges El Fakhri, Jonghye Woo, Jae Youn Hwang",539-550,10.1007/978-3-031-43907-0_52,2023,01
52,Decoupled Consistency for Semi-supervised Medical Image Segmentation,"Faquan Chen, Jingjing Fei, Yaqi Chen, Chenxi Huang",551-561,10.1007/978-3-031-43907-0_53,2023,01
53,Combating Medical Label Noise via Robust Semi-supervised Contrastive Learning,"Bingzhi Chen, Zhanhao Ye, Yishu Liu, Zheng Zhang, Jiahui Pan, Biqing Zeng et al.",562-572,10.1007/978-3-031-43907-0_54,2023,01
54,Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"Anamaria Vizitiu, Antonia T. Mohaiu, Ioan M. Popdan, Abishek Balachandran, Florin C. Ghesu, Dorin Comaniciu",573-582,10.1007/978-3-031-43907-0_55,2023,01
55,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"O. León Barbed, José M. M. Montiel, Pascal Fua, Ana C. Murillo",583-593,10.1007/978-3-031-43907-0_56,2023,01
56,Structured State Space Models for Multiple Instance Learning in Digital Pathology,"Leo Fillioux, Joseph Boyd, Maria Vakalopoulou, Paul-henry Cournède, Stergios Christodoulidis",594-604,10.1007/978-3-031-43907-0_57,2023,01
57,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,"Mikhail Goncharov, Vera Soboleva, Anvar Kurmukov, Maxim Pisov, Mikhail Belyaev",605-614,10.1007/978-3-031-43907-0_58,2023,01
58,Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"Krithika Iyer, Shireen Y. Elhabian",615-625,10.1007/978-3-031-43907-0_59,2023,01
59,Graph Convolutional Network with Morphometric Similarity Networks for Schizophrenia Classification,"Hye Won Park, Seo Yeong Kim, Won Hee Lee",626-636,10.1007/978-3-031-43907-0_60,2023,01
60,M-FLAG: Medical Vision-Language Pre-training with Frozen Language Models and Latent Space Geometry Optimization,"Che Liu, Sibo Cheng, Chen Chen, Mengyun Qiao, Weitong Zhang, Anand Shah et al.",637-647,10.1007/978-3-031-43907-0_61,2023,01
61,Foundation Ark: Accruing and Reusing Knowledge for Superior and Robust Performance,"DongAo Ma, Jiaxuan Pang, Michael B. Gotway, Jianming Liang",651-662,10.1007/978-3-031-43907-0_62,2023,01
62,Masked Frequency Consistency for Domain-Adaptive Semantic Segmentation of Laparoscopic Images,"Xinkai Zhao, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kensaku Mori",663-673,10.1007/978-3-031-43907-0_63,2023,01
63,Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,"Yuncheng Yang, Meng Wei, Junjun He, Jie Yang, Jin Ye, Yun Gu",674-683,10.1007/978-3-031-43907-0_64,2023,01
64,Source-Free Domain Adaptive Fundus Image Segmentation with Class-Balanced Mean Teacher,"Longxiang Tang, Kai Li, Chunming He, Yulun Zhang, Xiu Li",684-694,10.1007/978-3-031-43907-0_65,2023,01
65,Unsupervised Domain Adaptation for Anatomical Landmark Detection,"Haibo Jin, Haoxuan Che, Hao Chen",695-705,10.1007/978-3-031-43907-0_66,2023,01
66,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,"Yixiong Chen, Li Liu, Jingxian Li, Hua Jiang, Chris Ding, Zongwei Zhou",706-716,10.1007/978-3-031-43907-0_67,2023,01
67,Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,"Yili Lin, Dong Nie, Yuting Liu, Ming Yang, Daoqiang Zhang, Xuyun Wen",717-727,10.1007/978-3-031-43907-0_68,2023,01
68,Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"Jiajin Zhang, Hanqing Chao, Amit Dhurandhar, Pin-Yu Chen, Ali Tajer, Yangyang Xu et al.",728-738,10.1007/978-3-031-43907-0_69,2023,01
69,Cross-Dataset Adaptation for Instrument Classification in Cataract Surgery Videos,"Jay N. Paranjape, Shameema Sikder, Vishal M. Patel, S. Swaroop Vedula",739-748,10.1007/978-3-031-43907-0_70,2023,01
70,Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"Xingguang Wang, Zhongyu Li, Xiangde Luo, Jing Wan, Jianwei Zhu, Ziqi Yang et al.",749-758,10.1007/978-3-031-43907-0_71,2023,01
71,MedGen3D: A Deep Generative Framework for Paired 3D Image and Mask Generation,"Kun Han, Yifeng Xiong, Chenyu You, Pooya Khosravi, Shanlin Sun, Xiangyi Yan et al.",759-769,10.1007/978-3-031-43907-0_72,2023,01
72,Unsupervised Domain Transfer with Conditional Invertible Neural Networks,"Kris K. Dreher, Leonardo Ayala, Melanie Schellenberg, Marco Hübner, Jan-Hinrich Nölke, Tim J. Adler et al.",770-780 ,10.1007/978-3-031-43907-0_73,2023,01
73,OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,"Linhao Qu, Yingfan Ma, Zhiwei Yang, Manning Wang, Zhijian Song",3-13,10.1007/978-3-031-43895-0_1,2023,02
74,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,"Fan Bai, Ke Yan, Xiaoyu Bai, Xinyu Mao, Xiaoli Yin, Jingren Zhou et al.",14-24,10.1007/978-3-031-43895-0_2,2023,02
75,COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,"Han Liu, Hao Li, Xing Yao, Yubo Fan, Dewei Hu, Benoit M. Dawant et al.",25-34,10.1007/978-3-031-43895-0_3,2023,02
76,Continual Learning for Abdominal Multi-organ and Tumor Segmentation,"Yixiao Zhang, Xinyi Li, Huimiao Chen, Alan L. Yuille, Yaoyao Liu, Zongwei Zhou",35-45,10.1007/978-3-031-43895-0_4,2023,02
77,Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,"Xiaofeng Liu, Helen A. Shih, Fangxu Xing, Emiliano Santarnecchi, Georges El Fakhri, Jonghye Woo",46-56,10.1007/978-3-031-43895-0_5,2023,02
78,PLD-AL: Pseudo-label Divergence-Based Active Learning in Carotid Intima-Media Segmentation for Ultrasound Images,"Yucheng Tang, Yipeng Hu, Jing Li, Hu Lin, Xiang Xu, Ke Huang et al.",57-67,10.1007/978-3-031-43895-0_6,2023,02
79,Adapter Learning in Pretrained Feature Extractor for Continual Learning of Diseases,"Wentao Zhang, Yujun Huang, Tong Zhang, Qingsong Zou, Wei-Shi Zheng, Ruixuan Wang",68-78,10.1007/978-3-031-43895-0_7,2023,02
80,EdgeAL: An Edge Estimation Based Active Learning Approach for OCT Segmentation,"Md Abdul Kadir, Hasan Md Tusfiqur Alam, Daniel Sonntag",79-89,10.1007/978-3-031-43895-0_8,2023,02
81,Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,"Jingna Qiu, Frauke Wilm, Mathias Öttl, Maja Schlereth, Chang Liu, Tobias Heimann et al.",90-100,10.1007/978-3-031-43895-0_9,2023,02
82,CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training,"Kihyun You, Jawook Gu, Jiyeon Ham, Beomhee Park, Jiho Kim, Eun K. Hong et al.",101-111,10.1007/978-3-031-43895-0_10,2023,02
83,VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation,"Mohammad Mozafari, Adeleh Bitarafan, Mohammad Farid Azampour, Azade Farshad, Mahdieh Soleymani Baghshah, Nassir Navab",112-122,10.1007/978-3-031-43895-0_11,2023,02
84,L3DMC: Lifelong Learning Using Distillation via Mixed-Curvature Space,"Kaushik Roy, Peyman Moghadam, Mehrtash Harandi",123-133,10.1007/978-3-031-43895-0_12,2023,02
85,Weakly Supervised Medical Image Segmentation via Superpixel-Guided Scribble Walking and Class-Wise Contrastive Regularization,"Meng Zhou, Zhe Xu, Kang Zhou, Raymond Kai-yu Tong",137-147,10.1007/978-3-031-43895-0_13,2023,02
86,SATTA: Semantic-Aware Test-Time Adaptation for Cross-Domain Medical Image Segmentation,"Yuhan Zhang, Kun Huang, Cheng Chen, Qiang Chen, Pheng-Ann Heng",148-158,10.1007/978-3-031-43895-0_14,2023,02
87,SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"Zecheng Liu, Jia Wei, Rui Li, Jianlong Zhou",159-169,10.1007/978-3-031-43895-0_15,2023,02
88,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,"Zhifang Deng, Dandan Li, Shi Tan, Ying Fu, Xueguang Yuan, Xiaohong Huang et al.",170-180,10.1007/978-3-031-43895-0_16,2023,02
89,Category-Independent Visual Explanation for Medical Deep Network Understanding,"Yiming Qian, Liangzhi Li, Huazhu Fu, Meng Wang, Qingsheng Peng, Yih Chung Tham et al.",181-191,10.1007/978-3-031-43895-0_17,2023,02
90,Self-aware and Cross-Sample Prototypical Learning for Semi-supervised Medical Image Segmentation,"Zhenxi Zhang, Ran Ran, Chunna Tian, Heng Zhou, Xin Li, Fan Yang et al.",192-201,10.1007/978-3-031-43895-0_18,2023,02
91,NeuroExplainer: Fine-Grained Attention Decoding to Uncover Cortical Development Patterns of Preterm Infants,"Chenyu Xue, Fan Wang, Yuanzhuo Zhu, Hui Li, Deyu Meng, Dinggang Shen et al.",202-211,10.1007/978-3-031-43895-0_19,2023,02
92,Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"Jaeung Lee, Keunho Byeon, Jin Tae Kwak",212-221,10.1007/978-3-031-43895-0_20,2023,02
93,Federated Uncertainty-Aware Aggregation for Fundus Diabetic Retinopathy Staging,"Meng Wang, Lianyu Wang, Xinxing Xu, Ke Zou, Yiming Qian, Rick Siow Mong Goh et al.",222-232,10.1007/978-3-031-43895-0_21,2023,02
94,Few Shot Medical Image Segmentation with Cross Attention Transformer,"Yi Lin, Yufan Chen, Kwang-Ting Cheng, Hao Chen",233-243,10.1007/978-3-031-43895-0_22,2023,02
95,ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,"Yilan Zhang, Jianqi Chen, Ke Wang, Fengying Xie",244-254,10.1007/978-3-031-43895-0_23,2023,02
96,Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,"Nilesh Kumar, Prashnna K. Gyawali, Sandesh Ghimire, Linwei Wang",255-265,10.1007/978-3-031-43895-0_24,2023,02
97,Efficient Subclass Segmentation in Medical Images,"Linrui Dai, Wenhui Lei, Xiaofan Zhang",266-275,10.1007/978-3-031-43895-0_25,2023,02
98,Class Specific Feature Disentanglement and Text Embeddings for Multi-label Generalized Zero Shot CXR Classification,"Dwarikanath Mahapatra, Antonio Jose Jimeno Yepes, Shiba Kuanar, Sudipta Roy, Behzad Bozorgtabar, Mauricio Reyes et al.",276-286,10.1007/978-3-031-43895-0_26,2023,02
99,Prediction of Cognitive Scores by Joint Use of Movie-Watching fMRI Connectivity and Eye Tracking via Attention-CensNet,"Jiaxing Gao, Lin Zhao, Tianyang Zhong, Changhe Li, Zhibin He, Yaonai Wei et al.",287-296,10.1007/978-3-031-43895-0_27,2023,02
100,Partial Vessels Annotation-Based Coronary Artery Segmentation with Self-training and Prototype Learning,"Zheng Zhang, Xiaolei Zhang, Yaolei Qi, Guanyu Yang",297-306,10.1007/978-3-031-43895-0_28,2023,02
101,FairAdaBN: Mitigating Unfairness with Adaptive Batch Normalization and Its Application to Dermatological Disease Classification,"Zikang Xu, Shang Zhao, Quan Quan, Qingsong Yao, S. Kevin Zhou",307-317,10.1007/978-3-031-43895-0_29,2023,02
102,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation,"Minghui Chen, Meirui Jiang, Qi Dou, Zehua Wang, Xiaoxiao Li",318-328,10.1007/978-3-031-43895-0_30,2023,02
103,TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"Xierui Wang, Hanning Ying, Xiaoyin Xu, Xiujun Cai, Min Zhang",329-338,10.1007/978-3-031-43895-0_31,2023,02
104,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,"Yuhao Du, Yuncheng Jiang, Shuangyi Tan, Xusheng Wu, Qi Dou, Zhen Li et al.",339-349,10.1007/978-3-031-43895-0_32,2023,02
105,FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,"Faris Almalik, Naif Alkhunaizi, Ibrahim Almakky, Karthik Nandakumar",350-360,10.1007/978-3-031-43895-0_33,2023,02
106,Localized Questions in Medical Visual Question Answering,"Sergio Tascon-Morales, Pablo Márquez-Neila, Raphael Sznitman",361-370,10.1007/978-3-031-43895-0_34,2023,02
107,Reconstructing the Hemodynamic Response Function via a Bimodal Transformer,"Yoni Choukroun, Lior Golgher, Pablo Blinder, Lior Wolf",371-381,10.1007/978-3-031-43895-0_35,2023,02
108,Debiasing Medical Visual Question Answering via Counterfactual Training,"Chenlu Zhan, Peng Peng, Hanrong Zhang, Haiyue Sun, Chunnan Shang, Tao Chen et al.",382-393,10.1007/978-3-031-43895-0_36,2023,02
109,Spatiotemporal Hub Identification in Brain Network by Learning Dynamic Graph Embedding on Grassmannian Manifold,"Defu Yang, Hui Shen, Minghan Chen, Yitian Xue, Shuai Wang, Guorong Wu et al.",394-402,10.1007/978-3-031-43895-0_37,2023,02
110,Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,"Kazuma Kobayashi, Lin Gu, Ryuichiro Hataya, Mototaka Miyake, Yasuyuki Takamizawa, Sono Ito et al.",403-413,10.1007/978-3-031-43895-0_38,2023,02
111,Rethinking Semi-Supervised Federated Learning: How to Co-train Fully-Labeled and Fully-Unlabeled Client Imaging Data,"Pramit Saha, Divyanshu Mishra, J. Alison Noble",414-424,10.1007/978-3-031-43895-0_39,2023,02
112,Right for the Wrong Reason: Can Interpretable ML Techniques Detect Spurious Correlations?,"Susu Sun, Lisa M. Koch, Christian F. Baumgartner",425-434,10.1007/978-3-031-43895-0_40,2023,02
113,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,"Luisa Gallée, Meinrad Beer, Michael Götz",435-445,10.1007/978-3-031-43895-0_41,2023,02
114,Physics-Based Decoding Improves Magnetic Resonance Fingerprinting,"Juyeon Heo, Pingfan Song, Weiyang Liu, Adrian Weller",446-456,10.1007/978-3-031-43895-0_42,2023,02
115,Frequency Domain Adversarial Training for Robust Volumetric Medical Segmentation,"Asif Hanif, Muzammal Naseer, Salman Khan, Mubarak Shah, Fahad Shahbaz Khan",457-467,10.1007/978-3-031-43895-0_43,2023,02
116,Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,"Xiangyi Yan, Junayed Naushad, Chenyu You, Hao Tang, Shanlin Sun, Kun Han et al.",468-478,10.1007/978-3-031-43895-0_44,2023,02
117,A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,"Chao Qin, Jiale Cao, Huazhu Fu, Rao Muhammad Anwer, Fahad Shahbaz Khan",479-488,10.1007/978-3-031-43895-0_45,2023,02
118,A Flexible Framework for Simulating and Evaluating Biases in Deep Learning-Based Medical Image Analysis,"Emma A. M. Stanley, Matthias Wilms, Nils D. Forkert",489-499,10.1007/978-3-031-43895-0_46,2023,02
119,Client-Level Differential Privacy via Adaptive Intermediary in Federated Medical Imaging,"Meirui Jiang, Yuan Zhong, Anjie Le, Xiaoxiao Li, Qi Dou",500-510,10.1007/978-3-031-43895-0_47,2023,02
120,Inflated 3D Convolution-Transformer for Weakly-Supervised Carotid Stenosis Grading with Ultrasound Videos,"Xinrui Zhou, Yuhao Huang, Wufeng Xue, Xin Yang, Yuxin Zou, Qilong Ying et al.",511-520,10.1007/978-3-031-43895-0_48,2023,02
121,One-Shot Federated Learning on Medical Data Using Knowledge Distillation with Image Synthesis and Client Model Adaptation,"Myeongkyun Kang, Philip Chikontwe, Soopil Kim, Kyong Hwan Jin, Ehsan Adeli, Kilian M. Pohl et al.",521-531,10.1007/978-3-031-43895-0_49,2023,02
