title,extracted_keyword_sent
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,"obtaining 3d models from the intracorporeal scenes captured in
endoscopies is an essential step to enable these novel tasks and build
applications, for example, for improved monitoring of existing patients or
augmented reality during training or real explorations.3d reconstruction
strategies have been studied for long, and one crucial step in these strategies
is feature detection and matching which serves as input for structure from
motion (sfm) pipelines."
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,"firstly, we acquire 50 images from a cohort of patients with
triple negative breast cancer (tnbc), which is released by naylor et al [18]."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"yet, acquiring large training datasets and
their corresponding labels, especially from a cohort of patients, can be costly
or even infeasible, which poses a significant challenge in developing a dl model
with high performance [7]."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"this is due to
sensitive privacy issues in patients' data, particularly in collaborative
research, which restricts access to labels from different domains."
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,"• our framework is effective at preserving privacy, since it carries out da
using only pre-trained network parameters, without transferring any patient
data."
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,none
3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,"the cohort consists of 141 patients with pancreatic ductal
adenocarcinoma, of an equal ratio of male to female patients."
Mesh2SSM: From Surface Meshes to Statistical Shape Models of Anatomy,"dataset: we use the publicly available decath-pancreas dataset of 273
segmentations from patients who underwent pancreatic mass resection [24]."
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,none
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"this data is available online at http://code.sonography.ai
in [16].in vivo data was collected at johns hopkins hospital from patients with
liver cancer during open-surgical rf thermal ablation by a research antares
siemens system using a vf 10-5 linear array with the sampling frequency of 40
mhz and the center frequency of 6.67 mhz."
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,"the institutional review board
approved the study with the consent of the patients."
SLPD: Slide-Level Prototypical Distillation for WSIs,"many histopathologic features have been established based on the morphologic
phenotypes of the tumor, such as tumor invasion, anaplasia, necrosis and
mitoses, which are then used for cancer diagnosis, prognosis and the estimation
of response-to-treatment in patients [3,9]."
SLPD: Slide-Level Prototypical Distillation for WSIs,"tumors of different patients can exhibit morphological similarities in some
respects [17,21], so the correspondences across slides should be characterized
during learning."
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,none
Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,"this huge increase in pressure has led
to long patient-waiting times and fatigued radiologists who make more mistakes
[3]."
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,none
VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,"this subset consisted of 1694
healthy vessel segments reconstructed from 2d mra images of patients."
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,none
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,"on the one hand, annotating wsis requires strong medical expertise,
is expensive, time-consuming, and labels are usually provided at the slide or
patient level."
Pick the Best Pre-trained Model: Towards Transferability Estimation for Medical Image Segmentation,none
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,none
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,none
Spectral Adversarial MixUp for Few-Shot Unsupervised Domain Adaptation,"however, most uda methods
require sufficient target samples, which are scarce in medical imaging due to
the limited accessibility to patient data."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"non-ionizing
radiation, low cost, and accessibility make us a popular non-invasive diagnostic
modality for patients with suspected gall bladder (gb) afflictions."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"on the
other hand, the image-level malignancy label is usually available at a low cost,
as it can be obtained readily from the diagnostic report of a patient without
additional effort from clinicians.instead of training a classification pipeline,
we propose to solve an object detection problem, which involves predicting a
bounding box for the malignancy."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"gallbladder cancer detection in ultrasound images: we use the public gbc us
dataset [3] consisting of 1255 image samples from 218 patients."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"the dataset
contains 990 non-malignant (171 patients) and 265 malignant (47 patients) gb
images (see fig."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"we did the cross-validation splits at the patient level, and
all images of any patient appeared either in the train or validation split."
Gall Bladder Cancer Detection from US Images with only Image Level Labels,"since kvasir-seg does not contain any control images, we add 600
non-polyp images randomly sampled from the polypgen [1] dataset.since the
patient information is not available with the data, we use random stratified
splitting for 5-fold cross-validation."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"patient selection for such
treatment regimes is based principally on the assessment of tissue biopsies and
the characterisation of the tumor microenvironment."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"in our experiments, the average patch sequence length
arising from camelyon16 is 6129 (ranging from 127 to 27444).tcga-luad is a tcga
lung adenocarcinoma dataset that contains 541 wsis along with genetic
information about each patient."
Structured State Space Models for Multiple Instance Learning in Digital Pathology,"as a mil task, we chose the task of predicting the
patient mutation status of tp53, a tumor suppressor gene that is highly relevant
in oncology studies."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"based on longitudinal imaging for a given patient it requires establishing which
lesions are corresponding (i.e., same lesion, observed at different timepoints),
which lesions have disappeared and which are new compared to prior scanning."
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,"for nlst, we randomly selected a subset of 1045 test images coming from
420 patients with up to 3 studies."
Geometry-Invariant Abnormality Detection,"this can include variances in scanner quality and
resolution, in addition to the fov selected during patient scans."
Geometry-Invariant Abnormality Detection,"detection and segmentation of anomalous regions, particularly for cancer
patients, is essential for staging, treatment and intervention planning."
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,"the proposed approach is evaluated using the publicly available lidc-idri
dataset consisting of 1018 clinical thoracic ct scans from patients with
non-small cell lung cancer (nsclc) [2,3]."
Incremental Learning for Heterogeneous Structure Segmentation in Brain Tumor MRI,none
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,none
Synthetic Augmentation with Large-Scale Unconditional Pre-training,none
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,none
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,"we searched all records in our ehr archives for patients who had billing codes
from a broad set of pulmonary conditions, intending to capture pulmonary
conditions beyond just malignancy."
Longitudinal Multimodal Transformer Integrating Imaging and Latent Clinical Signatures from Routine EHRs for Pulmonary Nodule Classification,"we searched our institution's imaging archive for
patients with three chest cts within five years."
Partially Supervised Multi-organ Segmentation via Affinity-Aware Consistency Learning and Cross Site Feature Alignment,none
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,"however, the current pathology workflow is sub-optimal and
low-throughput since it is, by and large, manually conducted, and the large
volume of workloads can result in dysfunction or errors in cancer grading, which
have an adversarial effect on patient care and safety [2]."
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,"dynamic contrast-enhanced liver ct scans
consisting of 42 patients with 194 liver tumors in the portal venous phase from
the lits database [21] were used in this study."
FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling,none
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"in
hospitals, collected multi-phase cts are normally grouped by patients rather
than lesions, which makes single-phase lesion annotation insufficient for
feature fusion learning."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"however, the number of lesions inside a single patient
can vary from one to dozens and they can be of different types in realistic
cases."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"the single-phase annotated lesion has the position and class labels in all
phases but they are not aligned, so we could have difficulty finding out which
lesions in different phases are the same with 2 or more lesions in one patient."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"to reduce errors caused by unregistered data and address the situation that one
patient has multiple lesions of different types, we pre-process the multi-phase
liver cts registered and grouped by lesions.the registration network is based on
voxelmorph [1], with a u-net learning registration field and moving data
transformed by the field."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"we choose an atlas phase art as
suggested by clinicians and other phases of cts are registered to the art phase
of every patient.after registration, a lesion matcher finds the same lesions in
different phases."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"after the pre-processing unit with window
dice threshold of 0.3, we screen 761 lesions from 444 patients with four phases
of cts, seven types of lesions (13.2% of hcc, 5.3% of hm, 11.3% of icc, 22.6% of
hh, 31.1% of hc, 8.7% of fnh, and 7.8% of ha), and totally 4820 slices."
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,"lesions from the same patient are
either assigned to the training and validation set or the test set, but not
both.implementations."
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,none
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,none
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"each pcle video represents one tumour type
and corresponds to a different patient."
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,"the dataset is split into a training and testing subset, with the division done
on the patient level.implementation."
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,none
Efficient Subclass Segmentation in Medical Images,none
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,none
Localized Region Contrast for Enhancing Self-supervised Learning in Medical Image Segmentation,"abd-110 is an abdomen
dataset from [25] that contains 110 ct images from patients with various
abdominal tumors and these ct images were taken during the treatment planning
stage."
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,none
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,"however, these contrast agents are expensive and may cause nephrogenic systemic
fibrosis in patients with severely reduced kidney function [31]."
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,"moreover, [17]
reported that gadolinium accumulates inside patients with unclear health
consequences, especially after repeated application."
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,none
DeDA: Deep Directed Accumulator,none
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,none
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"medical
images may be missing due to artifacts and diverse patient conditions [11]."
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"during training, to simulate real missing modalities scenarios, each training
patient's data is fixed to one of 15 possible missing cases."
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,"for a comprehensive
evaluation, we test the performance of all 15 cases for each test patient.our
implementations are on an nvidia rtx 3090(24g) with pytorch 1.8.1."
VISA-FSS: A Volume-Informed Self Supervised Approach for Few-Shot 3D Segmentation,none
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,none
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,none
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,none
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,none
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,"it is difficult to directly learn cross-modal
dependencies using the features obtained by the encoder because ct and x-ray
data were collected from different patients."
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,"all ct images were acquired
without intravenous contrast enhancement from patients with positive reverse
transcription polymerase chain reaction (rt-pcr) for sars-cov-2."
Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,"the chestx-ray14 dataset comprises
112,120 x-ray images showing positive cases from 30,805 patients, encompassing
14 disease image labels pertaining to thoracic and lung ailments."
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,none
DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,none
MultiTalent: A Multi-dataset Approach to Medical Image Segmentation,none
Co-assistant Networks for Label Correction,none
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,"however,
ct imaging has relatively high radiation doses that can pose a risk of radiation
exposure to patients."
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,"this makes mr imaging safer for patients, particularly for those who require
frequent or repeated scans."
Robust T-Loss for Medical Image Segmentation,none
Multi-Head Multi-Loss Model Calibration,none
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,"we discard the
513 tumor-free patients, leaving us with 501 volumes."
Laplacian-Former: Overcoming the Limitations of Vision Transformers in Local Texture Detection,none
Understanding Silent Failures in Medical Image Classification,none
Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,none
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,"the main reason is that the lesion scale in the
two public datasets are relatively small, which matches the fact few patients
have very large nodule or mass."
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,none
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,"note that the breast lesion locations of neighboring ultrasound video frames are
close, while the breast lesion location distance is large for different
ultrasound videos, which are often obtained from different patients."
ACC-UNet: A Completely Convolutional UNet Model for the 2020s,none
FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,none
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the camus dataset [20] contains cardiac ultrasounds from 500 patients,
for which two-chamber and four-chamber sequences were acquired.manual
annotations for the endocardium and epicardium borders of the left ventricle
(lv) and the left atrium were obtained from a cardiologist for the end-diastolic
(ed) and end-systolic (es) frames."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the dataset is split into 400 training
patients, 50 validation patients, and 50 testing patients."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"this is a proprietary multi-site multi-vendor dataset
containing 2d echocardiograms of apical two and four chambers from 890 patients."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"data comes from patients diagnosed with coronary artery disease, covid, or
healthy volunteers."
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,"the dataset is split into a training/validation set (80/20)
and an independent test set from different sites, comprised of 994
echocardiograms from 684 patients and 368 echocardiograms from 206 patients,
respectively."
DHC: Dual-Debiased Heterogeneous Co-training Framework for Class-Imbalanced Semi-supervised Medical Image Segmentation,none
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,none
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"although contrast-enhanced ct images have better
contrast for pulmonary vessels compared to non-contrast ct images, the
acquisition of contrast-enhanced ct images needs to inject a certain amount of
contrast agent to the patients."
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,"some patients have concerns about the possible
risk of contrast media [2]."
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,"kits includes 210 annotated ct scans of kidney tumors from different
patients."
Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,"brats consists of brain mris from 285 patients with t1, t2, t1ce, and flair
scans."
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,"brats 2021 consists of four different
sequence (t1, t2, flair, t1ce) mri images for each patient."
BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,"our training set includes 55,174 2d images scanned from 1,126 patients,
and the test set comprises 3,991 2d images scanned from 125 patients."
Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,none
Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,none
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"relevant to the field of multimodal segmentation are also
developments on unpaired multimodal segmentation, where cross-modality learning
is employed to take advantage of different image modalities covering the same
anatomy, but without the constraint to collect images from the same patients
[5,10,19]."
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"although the methodologies comprising cyclegans and/or multiple
segmentation networks [10,19] seem promising, they can be excessively complex
for the task of han oar segmentation where both ct and mr image modalities from
the same patient are often available."
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"when segmenting oars in the han region for the purpose of
rt planning, a multimodal segmentation model that can leverage the information
from ct and mr images of the same patient might be beneficial compared to
separate single-modal models."
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"this can be mitigated with
image registration, but not completely, mainly due to different patient
positioning that especially affects the deformation of soft tissues, and various
modality-specific artifacts (e.g."
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,"the han-seg dataset comprises ct and t1-weighted mr images of 56 patients, which
were deformably registered with the simpleelastix registration tool, and
corresponding curated manual delineations of 30 oars (for details, please refer
to [14])."
Learning Reliability of Multi modality Medical Images for Tumor Segmentation via Evidence Identified Denoising Diffusion Probabilistic Models,none
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,"to avoid data
leakage and bias, we selected the train, test, and validation sets based on the
cases, i.e., the images from one case (patient) were assigned to only one of the
training, validation, and test sets."
SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,none
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"early diagnosis and treatment is beneficial to improve the
survival rate and prognosis of breast cancer patients."
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,"the method obtained a dice value
of 83% using the interval-slice annotation, on a testing dataset containing only
28 patients.in this study, we propose a simple yet effective weakly-supervised
strategy, by using extreme points as annotations (see fig."
Uncertainty-Informed Mutual Learning for Joint Medical Image Classification and Segmentation,"a total of 157 patients who suffer
the breast cancer are considered -43 achieve pcr and 114 non-pcr.for each case,
we cut out the slices in the 3d image and totally got 1,570 2d images, which are
randomly divided into the train, validation, and test datasets with 1,230, 170,
and 170 slices, respectively."
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,none
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,"compared with natural images,
medical image segmentation often requires higher accuracy to make subsequent
treatment plans for patients."
HartleyMHA: Self-attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation,none
MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,none
M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,none
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,"simultaneous multi-index quantification (i.e., max diameter (md), center point
coordinates (x o , y o ), and area), segmentation, and uncertainty prediction of
liver tumor have essential significance for the prognosis and treatment of
patients [6,16]."
RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,none
Certification of Deep Learning Models for Medical Image Segmentation,"indeed, segmentation techniques and variations of 2d
and 3d u-nets are currently the state-of-the-art to identify and isolate tumors,
blood vessels, organs, or other structures within an image and provide crucial
help to physicians for medical diagnosis, screening, and prognosis
[32].nowadays, segmentation models are gaining widespread adoption in modern
clinical practice and are being used with increasing frequency, making the
results of these models critical for many patients."
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"unfortunately, such ""abundance"" may be unobtainable in practice, i.e., the
local unlabeled pool is also limited due to restricted image collection
capabilities or scarce patient samples."
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"yet, due to differences
in imaging protocols and variations in patient demographics, this solution
usually introduces data heterogeneity, lead-ing to a quality problem."
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"inherently, the challenge of ms-ssl stems from
intra-class variation, which results from different imaging protocols, disease
progress and patient demographics."
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,"compared
to c1 and c2, scans from c3 to c6 are taken from patients with prostate cancer,
either for detection or staging purposes, which can cause inherent semantic
differences in the prostate region to further aggravate heterogeneity."
A Sheaf Theoretic Perspective for Robust Prostate Segmentation,none
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,none
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"it enables the
extraction of semi-quantitative metrics such as standardized uptake values
(suvs), which normalize pixel intensities based on patient weight and
radiotracer dose [20]."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"however, the performance of kspc depends heavily on the
tuning parameters of bandwidth and threshold in the model, and it lacks
information from other patients.beyond tumour delineation, another important use
of functional images, such as pet images is their use for designing imrt dose
painting (dp)."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"the hecktor training dataset consists of 224 patients
diagnosed with oropharyngeal cancer [1]."
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,"for each patient, fdg-pet input images
and corresponding labels in binary description (0 s and 1 s) for the primary
gross tumour volume are provided and co-registered to a size of 144 × 144 × 144
using bounding box information encompassing the tumour."
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,none
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"[1] proposed a random forest model [2], which adopts the radiomics features [3]
of the brain tumor images, to predict the overall survival (os) time of diffuse
glioma patients."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in this way, inconsistency between the augmented features and the corresponding
labels can be effectively reduced.our method is evaluated using pre-operative
multimodal mr brain images of 1726 diffuse glioma patients collected from
cooperation hospitals and a public dataset brats2019 [12] containing multimodal
mr brain images of 210 patients."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the survival prediction backbone is a deep cox proportional hazard model [14]
which takes the multimodal mr brain images of diffuse glioma patients as inputs
and predicts the corresponding risks."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the tumor subtyping network is a
classification network, which classifies the patient tumor types and feeds the
learned tumor-type-related features to the backbone to enhance the survival
prediction performance.the tumor subtyping network is trained independently
before being integrated into the backbone."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"assume that d = {x 1 , ...,
x n } is the dataset containing pre-operative multimodal mr brain images of
diffuse glioma patients, and n is the number of patients."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the backbone is
responsible for deriving features from x i to predict the risk of the patient."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in addition, information of patient age and tumor
position is also used."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the backbone is based on the
deep cox proportional hazard model, and the loss function is defined as:where h
θ (x i ) represents the risk of the i-th patient predicted by the backbone, θ
stands for the parameters of the backbone, x i is the input multimodal mr brain
images of the i-th patient, r(t i ) is the risk group at time t i , which
contains all patients who are still alive before time t i , t i is the observed
time (time of death happened) of x i , and δ i = 0/1 for censored/non-censored
patient."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"the cross entropy is adopted as
the loss function of the tumor subtyping network, which is defined as:where y k
i and p k i are the ground truth (0 or 1) and the prediction (probability) of
the k-th tumor type (k = 1, 2, 3) of the i-th patient, respectively."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"specifically, the augmented feature fi∼j and label ȳi∼j is defined
as:where y k i and y k j stand for the labels of the k-th tumor type of the i-th
and j-th patients, respectively, and λ ∈ [0, 1] is a weighting factor."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"as aforementioned, the survival time
of patients with different tumor types varies largely (oligodendroglioma >
astrocytoma > glioblastoma), so the tumor types can be regarded as risk grade,
which are ordered rather than categorical."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"finally, the ordinal loss, which is in the form of kl
divergence, is defined as:in our method, μ k and σ 2 k are calculated bywhere φ
θ and g are the encoder and gap of the tumor subtyping network, respectively, θ
is the parameter set of the encoder,stands for the subset containing the
pre-operative multimodal mr brain images of the patients with the k-th tumor
type, n k is the patient number in d k ."
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,"in the training stage of the
tumor subtyping network, each input batch contains pre-operative multimodal mr
brain images of n patients and can be divided into k = 3 subsets according to
their corresponding tumor types, i.e., d k , k = 1, 2, 3."
