title,paper name,vol,Does the article contain any of these keywords: cancer/tumor/tumour?,notes,Study subject labelled as ‘patient/patients’ in dataset(s),age,sex/gender,ethnicity,geographical location ,dataset quantity,quantity of public datasets,quantity of private datasets,image type in datasets,organ/body part in datasets,sex-specific cancer/organ,location ,location as a healthcare facility,name of healthcare facility,location as other (center/department/laboratory/university/institution/online),name of location as other (center/department/laboratory/university/institution/online),location as large-scale geographical entity,name of location as large-scale geographical entity,location as subnational geographical entity,name of  location as subnational geographical entity,Information found outside article (such as sup material and/or by references,links/sup material 
Automatic Bleeding Risk Rating System of Gastric Varices,1,5,1,"Dataset details such as gender and age in supplementary material (outside of paper, however references to it in paper for more dataset details)",1,1,1,0,1,1,1,0,"gastroscopy, endoscopy",gastric/stomach/abdomen,0,1,1,grade-III class-A hospital,0,0,0.0,0,0.0,0,1.0,https://static-content.springer.com/esm/chp%3A10.1007%2F978-3-031-43904-9_1/MediaObjects/554074_1_En_1_MOESM1_ESM.pdf
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,20,2,1,"the dataset (that is referred to in the paper) labels subjects as patients.

location and location information from sup. material.

the article say there are two publicly available colorectal cancer datasets, however the referred article (that contain the details of dataset does not show they are public. However, the referred article talks about 2 other publicly prostate datasets)",0,0,0,0,1,2,2,0,"wsi, wsis,  tissue microarrays (TMAs) ",colorectal ,1,1,1,kangbuk samsung hospital,0,0,0.0,0,0.0,0,1.0,https://www.sciencedirect.com/science/article/pii/S1361841521002516#sec0006
Certification of Deep Learning Models for Medical Image Segmentation,58,4,1,"demographic information such as age, gender and location details  were outside paper's content, and study subjects labelled as patients. 
Chest X-rays Datasets:
JSRT dataset
Original posteroanterior chest films for this database were collected from 13 medical centers in Japan and one institution in the United States under the following conditions: only one nodule on an image for nodule cases; confirmation of presence or absence of a lung nodule by CT examination; and nodule classification as malignant based on histologic and cytologic examination or as benign based on histology, definitive isolation of a pathogenic organism, shrinkage and disappearance with the use of antibiotics, or no change observed during a follow-up period of 2 year.
Of the patients with nodules, 68 were men and 86 were women, whereas patients without nodules included 51 men and 42 women. The average age of patients with nodules was 60 years old. Two patients were 21-30 years old, seven were 31-40 years old, 24 were 41-50 years old, 37 were 51-60 years old, 53 were 61-70 years old, and 29 were 71 years old or older. Two patients' ages were unknown.

MC dataset
The MC set has been collected in collaboration with the Department of Health and Human Services, Montgomery County, Maryland, USA. The set contains 138 frontal chest X-rays from Montgomery County’s Tuberculosis screening program, of which 80 are normal cases and 58 are cases with manifestations of TB.
Each reading contains the patient’s age, gender, and abnormality seen in the lung, if any.

The Shenzhen dataset 
was collected in collaboration with Shenzhen No.3 People’s Hospital, Guangdong Medical College, Shenzhen, China. The chest X-rays are from outpatient clinics and were captured as part of the daily hospital routine within a 1-month period.
Each reading contains the patient’s age, gender, and abnormality seen in the lung, if any.

ISIC 2018:
Unknown

CVC-ClinicDB database 
We introduce in this paper the CVC-ClinicDB database built in collaboration with Hospital Clinic of Barcelona, Spain.","0, {chest x-rays datasets:1,  ISIC 2018: 0,  cvc-clinicDB dataset:0}","0, {chest x-rays datasets: 1, ISIC 2018: 0,  cvc-clinicDB dataset:0}","0, {chest x-rays datasets:1,  ISIC 2018: 0,  cvc-clinicDB dataset:0}","0, {chest x-rays datasets:1,  ISIC 2018: 0,  cvc-clinicDB dataset:0}","0, {chest x-rays datasets:1,  ISIC 2018: 0,  cvc-clinicDB dataset:1}",5,5,0,"{chest x-rays datasets: x-rays,  ISIC 2018: rgb dermatocopy,  cvc-clinicDB dataset: colonoscopy}","{chest x-rays datasets: chest, lung, heart, ISIC 2018: skin, cvc-clinicDB dataset: colon}


",0,1,1,"{chest x-rays datasets: Shenzhen No.3 People’s Hospital, ISIC 2018: unknown, cvc-clinicDB dataset:  Hospital Clinic of Barcelona} ",1,"{chest x-rays datasets:
Department of Health and Human Services}",1.0,"{chest x-rays datasets:
usa, japan, china , ISIC 2018: unknown, cvc-clinicDB dataset: spain}",1.0,"{chest x-rays datasets:
montgomery county maryland, shenzhen, ISIC 2018: unknown,  cvc-clinicDB dataset: barcelona}",1.0,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4256233/

http://mv.cvc.uab.es/projects/colon-qa"
Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,16,5,1,"location details dervied outside paper:

The data set for CAMELYON17 is collected from 5 medical centres in the Netherlands. 

AIDA BRLN dataset:
The cases are anonymised and exported from the digital archive at the Department of Clinical Pathology in Linköping, Region Östergötland.",1,0,0,0,1,2,1,1,"wsi, wsis, h&e",lymp nodes,0,1,0,0,1,{AIDA BRLN dataset: department of clinical pathology} ,1.0,{CAMELYON17:netherlands},1.0,{AIDA BRLN dataset: Linköping Region Östergötland},1.0,https://camelyon17.grand-challenge.org/Data/
Detection of Basal Cell Carcinoma in Whole Slide Images,26,6,1,,0,0,0,0,1,1,0,0,wsi,skin,0,1,0,0,1,south sun pathology laboratory,0.0,0,0.0,0,0.0,0
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,46,3,1,"location details of  data collection outside the paper's content.

qubiq dataset: prostate, brain, kidney
we use QUBIQ 2020, which contains 7 segmentation tasks in 4 differen CT and MR datasets: Prostate (55 cases, 2 tasks, 6 raters), Brain Growth (39 cases, 1 task, 7 raters), Brain Tumor (32 cases, 3 tasks, 3 raters), and Kidney 24 cases, 1 task, 3 raters).

lits dataset: private, liver
LiTS contains 201 high-quality CT scans of liver tumors

info outside the paper
The image data for the LiTS challenge are collected from seven clinical sites all over the world, including a) Rechts der Isar Hospital, the Technical University of Munich in Germany, b) Radboud University Medical Center, the Netherlands, c) Polytechnique Montr´eal and CHUM Research Center in Canada, d) Sheba Medical Center in Israel, e) the Hebrew University of Jerusalem in Israel, f) Hadassah University Medical Center in Israel, and g) IRCAD in France. The distribution of the number of scans per institution is described in Table 2. The LiTS benchmark dataset contains 201 computed tomography images of the abdomen, of which 194 CT scans contain lesions. All data are anonymized, and the images have been reviewed visually to preclude the presence of personal identifiers

kits dataset: public,  kidney (abdominal cts)
KiTS includes 210 annotated CT scans of kidney tumors from different patients",1,0,0,0,0,3,1,1,"ct, mr","prostate, brain, {abdomen: kidney, live}",1,1,1,{lits: Rechts der Isar Hospital),1,"{lits: the Technical University of Munich, Polytechnique Montreal and CHUM Research Center,  Sheba Medical Center, the Hebrew University of Jerusalem, Hadassah University Medical Center,  IRCAD}",1.0,"{lits: Germany, Netherlands, Canada, Israel, France}",1.0,"{lits: munich, jerusalem)",1.0,"https://qubiq.grand-challenge.org/

https://arxiv.org/pdf/2108.09987.pdf

https://arxiv.org/pdf/1901.04056.pdf

https://competitions.codalab.org/competitions/17094"
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,10,4,1,"age and race provided outside paper's content

Breast-MRI-NACT-Pilot
Recurrence-free survival (RFS) was assessed for each patient at 6-month or 1-year intervals following surgery. Other clinical and endpoint data includes patient age, lesion characteristics including pretreatment tumor size, histologic type, pathologic size, tumor subtype, and lymph node involvement. These data are included as supplemental information for the collection in the accompanying clinical information workbook.

Clinical and DFS Metadata shows:
race and age",1,1,0,1,0,1,1,0,"dce-mri, mri",breast,0,0,0,0,0,0,0.0,0,0.0,0,1.0,"Clinical and DFS Metadata (XLS, 103 kB) in
https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=22513764

https://www.kaggle.com/datasets/alexnguyen10/breast-mri-nact-pilot"
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,72,10,1,"gender/sex info, location details of data collection  found outside article, 

dataset 1: public
Our neural network is trained using patches from the “Gold Atlas- Male Pelvis - Gentle Radiotherapy” [14] dataset, which is comprised of 18 patients each with a CT, MR T1, and MR T2 volumes. 
Info outside article:
Magnetic resonance images (MRI) (T1w and T2w) with flat table top, and CT images of 19 male patients. The imaging was performed over the pelvic region.
The patients were recruited and included from three different Swedish radiotherapy departments. Male patients with prostate or rectal cancer referred for curative radiotherapy were eligible for inclusion. Patients with locally advanced tumors (prostate cT3-4 and rectal cT4) were not included.

dataset 2: public
Evaluation of Cerebral Tumors (RESECT) MICCAI challenge dataset [23]. This dataset consists of 22 pairs of pre operative brain MRs and intra-operative ultrasound volumes.
info outside article:
All medical images used for the challenge were acquired for routine clinical care at St Olavs University Hospital (Trondheim, Norway), after patients gave their informed consent.

dataset 3: public
Our second application is the Abdomen MR-CT task of the Learn2Reg challenge 2021 [8]. The dataset comprises 8 sets of MR and CT volumes, both depicting the abdominal region of a single patient and exhibiting notable deformations

We are using a heterogeneous dataset of 27 cases, comprising liver cancer patients and healthy volunteers, different ultrasound machines, as well as optical",1,0,"1, {gold atlas: male}",0,"0, {gold atlas: 1, RESECT: 1}",3,3,0,"ct, mr, mr t1 volumes, mr t2 volumes, ultrasound volumes, us volumes,  intra-operative ultrasound volumes, mr-ct","{RESECT: brain, Learn2Reg: abdomen, gold atlas: pelvic region, prostate}, liver","1, {gold atlas: prostate cancer}",1,"{gold atlas: 1, RESECT: 1}","{gold atlas: unknown, RESECT: st olavs university hospital}",0,0,1.0,"{gold atlas: sweden, RESECT: norway}",1.0,{RESECT: trondheim},1.0,"https://zenodo.org/records/583096

https://aapm.onlinelibrary.wiley.com/doi/full/10.1002/mp.12748

https://curious2018.grand-challenge.org/Data/

https://aapm.onlinelibrary.wiley.com/doi/full/10.1002/mp.12268

https://learn2reg.grand-challenge.org/Learn2Reg2021/"
Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,74,5,1*,"*(not sure if dataset contain cancer-related data such as tumor (which was the search word), the paper has healthy data and stroke data)

dataset 1:
Our dataset included MRI brain scans from 226 patients performed at an urban
tertiary referral academic medical center that is a comprehensive stroke center.
Clinical scans of adult patients aged 18–89 years with recent (acute or subacute)
strokes were identified between 1/1/2013 and 1/1/2021 for inclusion in this study
via a search of the Philips Performance Bridge.
No patient demographic information was retained for the scans, as it was considered to represent an unnecessary risk for accidental release of protected health information.

As our dataset is unbalanced, we also considered the Area Under Precision-Recall Curve (AUPRC)

dataset 2:
using the T1/T2-weighted brain MR images in the IXI dataset [1].

Info outside the article
IXI dataset:
In this project we have collected nearly 600 MR images from normal, healthy subjects. The MR image acquisition protocol for each subject includes:

T1, T2 and PD-weighted images MRA images Diffusion-weighted images (15 directions)
The data has been collected at three different hospitals in London:
Hammersmith Hospital using a Philips 3T system. Guy’s Hospital using a Philips 1.5T system. Institute of Psychiatry using a GE 1.5T system 

Demographic information <spreadsheet-link> (link not working)",1,1,0,0,1,2,1,1,"mri, mr",brain,0,1,1,"{ixi dataset: hammersmith hospital, guy's hospital, institute of psychiatry}",1, {ixi dataset:  institute of psychiatry},1.0,0,1.0,{ixi data: london},1.0,https://brain-development.org/ixi-dataset/
FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,66,9,1,"location details of data collection found outside paper's content.

we used the RESECT (REtro-Spective Evaluation of Cerebral Tumors) dataset [16], MRI and iUS scans at different surgical stages from 23 subjects who underwent low-grade glioma resection surgeries.

One limitation of our work lies in the limited patient data, as public iUS datasets are scarce, while the settings and properties of US scanners can vary, potentially affecting the DL model designs

Info outside the paper:
Pre-operative magnetic resonance images (MRI), and intra-operative ultrasound (US) scans were acquired from 23 patients with low-grade gliomas who underwent surgeries at St. Olavs University Hospital between 2011 and 2016",1,0,0,0,0,1,1,0,"mri, ius","brain, cerebral",0,1,"1, {RESECT: 1}",{RESECT: st olavs university hospital},0,0,1.0,{ RESECT: norway},1.0,{RESECT: trondheim},1.0,https://pubmed.ncbi.nlm.nih.gov/28391601/
Gene-Induced Multimodal Pre-training for Image-Omic Classification,49,6,1,"We verify the effectiveness of our method on The Caner Genome Atlas (TCGA) non-small cell lung cancer (NSCLC) dataset, which contains two cancer subtypes, i.e., Lung Squamous Cell Carcinoma (LUSC) and Lung Adeno carcinoma (LUAD).
 TCGA-NSCLC dataset, i.e., only pathological WSIs are included as input.",1,0,0,0,0,1,0,0,"wsis, wsi",lung,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
Geometry-Invariant Abnormality Detection,29,1,1,"demographics and data collection details (location) found outside paper's content

For this work we leveraged whole-body PET/CT data from different sources to explore the efficacy of our approach for varying image geometries. 211 scans from NSCLC Radiogenomics [2,3,10,16] combined with 83 scans from a proprietary dataset constitute our lower resolution dataset.

For evaluation, we use four testing sets: a lower resolution set derived from both the NSCLC and the private dataset

The models were trained on the NVIDIA Cambridge-1. Private dataset was obtained through King’s College London (14/LO/0220 ethics application number). 

Info outside article: NSCLC
Between 2008 and 2012, we collected clinical and imaging data for 211 subjects referred for surgical treatment and obtained tissue samples from the excised tumors, where available. Tissue samples were analyzed to produce molecular phenotypes using gene microarrays, RNA sequencing technology, or both, in addition to standard-of-care NSCLC mutational testing. We also collected clinical data, such as: age, gender, weight, ethnicity, smoking status, TNM stage, histopathological grade. 

The R01 cohort consisted of 162 NSCLC subjects (38 females, 124 males, age at scan: mean 68, range 42–86) from Stanford University School of Medicine (69) and Palo Alto Veterans Affairs Healthcare System (93). Subjects were recruited between April 7th, 2008 and September 15th, 2012.

",0,1,1,1,0,2,1,1,"pet, ct",whole body,,1,0,0,1,"{nsclc: standford university school of medicine, palo alto veterans affairs healtcare system}",0.0,0,0.0,0,1.0,https://www.nature.com/articles/sdata2018202
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,11,5,1,"We evaluated our method with two studies on retrospectively collected patient datasets
that were manually annotated by an expert radiologist.

DLIVER dataset, DLUNG dataset.

Lung and liver CT studies were retrospectively obtained from two medical
centers (Hadassah Univ Hosp Jerusalem Israel) during the routine clinical examination
of patients with metastatic disease. Each patient study consists of at least 3 scans.

",1,0,0,0,1,2,0,0,"mri, ct","lung, liver",0,1,1,Hassadah University Hospital,0,0,1.0,Israel,1.0,Jerusalem,0.0,0
Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images,61,3,1,"sex, age was found outside the paper's content, and the location details of data collections.

We conduct our study on the MSD Spleen and the AutoPET datasets to explore the segmentation of both anatomy (spleen) and pathology (tumor lesions).

We trained and evaluated all of our models on the openly available AutoPET [1] and MSD Spleen [2] datasets.

Info outside the paper
MSD spleen
Task09_Spleen The spleen dataset was comprised of patients undergoing
chemotherapy treatment for liver metastases at Memorial Sloan Kettering Cancer Center (New York, NY, USA) and previously reported [32]. 
AutoPet
Publication of anonymized data was approved by the institutional ethics committee of the Medical Faculty of the University of Tübingen as well as the institutional data security and privacy review board. Data from 1,014 whole-body FDG-PET/CT examinations of 900 patients acquired between 2014 and 2018 as part of a prospective registry study9 were included in this dataset.

The selection criteria for positive and negative samples were: age >18 years
patient characteristics: https://www.nature.com/articles/s41597-022-01718-3/tables/2",1,1,1,0,0,2,2,0,"ct, computed tomography, pet/ct, pet, Positron Emission Tomography, ","splen, lung",0,1,0,0,1,"{msd spleen: memorial sloan kettering cancer center, autopet: unknown ´}",1.0,usa,1.0,new york,1.0,"https://arxiv.org/pdf/1902.09063.pdf

https://www.nature.com/articles/s41597-022-01718-3

https://www.nature.com/articles/s41597-022-01718-3/tables/2"
Histopathology Image Classification Using Deep Manifold Contrastive Learning,66,6,1,"We tested our proposed method on two different tasks: (1) intrahepatic cholangiocarcinomas(
IHCCs) subtype classification and (2) liver cancer type classification. 

The dataset for the former task was collected from 168 patients with 332 WSIs from Seoul National University hospital. IHCCs can be further categorized into small duct type (SDT) and large duct type (LDT). Using gene mutation information as prior knowledge, we collected WSIs with wild KRAS and mutated IDH genes for use as training samples in SDT, and WSIs with mutated KRAS and wild IDH genes for use in LDT. The rest of the WSIs were used as testing samples. 
The liver cancer dataset for the latter task was composed of 323 WSIs, in which the WSIs can be further classified into hepatocellular carcinomas (HCCs) (collected from Pathology AI Platform [1]) and IHCCs.We collected 121 WSIs for the training set, and the remaining WSIs were used as the testing set.",1,0,0,0,1,2,0,0,"wsis, wsi",liver,0,1,1,seoul national university hospital,0,0,1.0,south korea,1.0,seoul,0.0,http://wisepaip.org/paip
Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,8,5,1,"We collect a large-scale dataset with both tumor and non-tumor subjects, where the non-tumor subjects includes not only healthy ones, but also patients with various diffuse liver diseases such as steatosis and hepatitis to improve the robustness of the algorithm

Our dataset contains 810 normal subjects and 939 patients with liver tumors. Each normal subject has a non-contrast (NC) CT, while each patient has a dynamic contrast-enhanced (DCE) CT scan with NC, arterial, and venous phases.

We first train an nnU-Net on public datasets to segment liver and surrounding organs (gallbladder, hepatic vein, spleen, stomach, and pancreas), and then crop the liver region to train PLAN.

The NC test set contains 198 tumor cases, 202 completely normal cases, and 100 “hard” non-tumor cases which may have larger image noise, artifact, ascites, diffuse liver diseases such as hepatitis and steatosis. These cases are used to test the robustness of the model in real-world screening scenario with diverse tumor-free images.",1,0,0,0,0,2,1,1,"nc-ct, dce-ct, ct","liver, gallbladder, hepatic vein, spleen, stomach, pancreas",0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
